Chemical.Number,Chemical.Name,Chemical.Class.Sarah.orig,Chemical.Class,casn,Peak_Frequency_up,Peak_Frequency_dn,Peak_Decay_Rise_Ratio_up,Peak_Frequency_zero,Total_Cells_zero,Min,Chen cardio
969,Naphthalene,PAH,PAH,91-20-3,5.44113,1751.2,1510.985,44445.8,2627.545,5.44113,43.32450932
471,Fluoranthene,PAH,PAH,206-44-0,122.4065,65.46215,538.661,468.7695,2417.19,65.46215,1.68066617
815,Acenaphthene,PAH,PAH,83-32-9,23.97,220.068,168.67,1663.53,647.8875,23.97,8.242887003
914,Benzidine,Chemical intermediate,Chemical intermediate,92-87-5,722.3585,603.884,1000,39964.25,2047.085,300,31.7014046
443,p-Cresol,Chemical intermediate,Chemical intermediate,106-44-5,34.79965,1628.04,507.845,53045.4,2234.24,34.79965,94.60244026
37,"1,2,3-Trichlorobenzene",Solvent,Solvent,87-61-6,0.582583,1164.025,567.2195,34478.8,2610.315,0.582583,50.40243934
922,Dieldrin,Pesticide,Pesticide,60-57-1,11.6467,23.4127,199.51,156.451,1415.815,11.6467,0.719796244
499,Aldrin,Pesticide,Pesticide,309-00-2,4.629085,1467.29,1388.23,40442.45,1832.695,4.629085,0.59000133
145,Heptachlor,Pesticide,Pesticide,76-44-8,0.8719205,245.1895,309.803,9357.855,286.055,0.8719205,0.488293179
781,Lindane,Pesticide,Pesticide,58-89-9,127.852,0.8851395,58.79645,34.88915,1091.22,0.8851395,1.759302115
923,Pentachlorophenol,Microbiocide,Microbiocide,87-86-5,294.963,7.219395,254.9735,2508.485,488.0115,7.219395,1.353402635
749,Azinphos-methyl,Pesticide,Pesticide,86-50-0,53.2627,736.0845,266.1985,27272.05,23.76095,23.76095,1.023759464
682,Dicofol,Pesticide,Pesticide,115-32-2,1.72413,722.691,578.4255,33586.15,929.2615,1.72413,0.50741052
871,Endosulfan,Pesticide,Pesticide,115-29-7,0.26734,261.949,6.141225,6679.805,419.0345,0.26734,0.232862242
607,Chlorpyrifos,Pesticide,Pesticide,2921-88-2,777.6245,54.952,786.003,837.844,2942.595,54.952,1.019909193
