"Chemical","casn","POD","value","Sex","Bwa","DAF","Classification","UFs","poddaf","Css_h","poddaf.Css"
"4-nitroaniline","100-01-6","BMDL",0.37,"M",0.38,0.271438464,"Intermediate",1,0.10043223168,804.6,80.807773609728
"caprolactam","105-60-2","NOAEL",50,"M/F",0.1722278,0.222715941,"Intermediate",1,11.13579705,5.442,60.6010075461
"1,4-dichlorobenzene","106-46-7","BMDL",7,"F",10.1,0.616319393,"Intermediate",1,4.314235751,0.6005,2.5906985684755
"p-chloroaniline","106-47-8","LOAEL",1.4,"M/F",0.152,0.215867065,"Intermediate",1,0.302213891,18.05,5.45496073255
"phenol","108-95-2","BMDL",93,"F",0.338,0.26360562,"Intermediate",1,24.51532266,0.7144,17.513746508304
"tris(2-chloroethyl)phosphate","115-96-8","BMDL",6.9,"F",0.124,0.205154436,"Flame retardant",3,0.4718552028,4.232,1.9968912182496
"di-n-octyl phthalate","117-84-0","NOAEL",36.8,"M",0.267,0.248515399,"Plasticizer",1,9.1453666832,853.1,7801.91231743792
"tris(1,3-dichloro-2-propyl) phosphate","13674-87-8","BMDL",1.94,"M",0.523,0.294002425,"Flame retardant",1,0.5703647045,12.42,7.08392962989
"2-mercaptobenzothiazole","149-30-4","BMDL",14.8,"F",0.124,0.205154436,"Pesticide",10,0.30362856528,2.941,0.89297161048848
"perfluorooctanesulfonic acid","1763-23-1","NOAEL",0.1,"F",0.3542721,0.266722546,"Surfactant",1,0.0266722546,336.5,8.9752136729
"mirex","2385-85-5","NOAEL",0.07,"M",0.38,0.271438464,"Pesticide",1,0.01900069248,5721,108.70296167808
"potassium perfluorobutanesulfonate","29420-49-3","BMDL",22.09,"F",0.033,0.147351301,"Flame retardant",1,3.25499023909,70.29,228.793263905636
"perfluorononanoic acid","375-95-1","NOAEL",1,"F",0.05065,0.164010009,"Surfactant",1,0.164010009,998.2,163.7147909838
"p,p'-DDE","72-55-9","LOAEL",5,"F",0.204,0.23234484,"Pesticide",1,1.1617242,0.1896,0.22026290832
"cacodylic acid","75-60-5","BMDL",1.8,"F",0.0353,0.149854285,"Pesticide",1,0.269737713,3.742,1.009358522046
"hexachlorocyclopentadiene","77-47-4","BMDL",6,"F",0.124,0.205154436,"Intermediate",3,0.410308872,25010,10261.82488872
"methyl ethyl ketone","78-93-3","LED05",639,"F",0.1865,0.227193132,"Food additive",1,145.176411348,0.07283,10.5731980384748
"butyl benzyl phthalate","85-68-7","NOAEL",159,"M",0.18,0.225187156,"Plasticizer",10,3.5804757804,3.863,13.8313779396852
"biphenyl","92-52-4","BMDL",58,"M",0.38,0.271438464,"Intermediate",1,15.743430912,10.66,167.82497352192
"phenothiazine","92-84-2","NOAEL",1.59,"F",1.97,0.409583117,"Intermediate",10,0.065123715603,1079,70.268489135637
"2,4,5-trichlorophenoxyacetic acid","93-76-5","NOAEL",3,"M/F",0.4305,0.280039168,"Pesticide",1,0.840117504,208.4,175.0804878336
"1,2,4,5-tetrachlorobenzene","95-94-3","LOAEL",0.041,"M",0.057,0.168925107,"Intermediate",1,0.006925929387,59.35,0.41105390911845
"nitrobenzene","98-95-3","BMDL",1.8,"M",0.18,0.225187156,"Intermediate",3,0.1351122936,0.7494,0.10125315282384
"3-nitrotoluene","99-08-1","BMDL",1.1,"F",0.124,0.205154436,"Intermediate",10,0.02256698796,2.055,0.0463751602578
"1,3-dinitrobenzene","99-65-0","NOAEL",0.4,"M/F",0.152,0.215867065,"Intermediate",10,0.0086346826,8.315,0.071797385819
"4-nitrotoluene","99-99-0","BMDL",1.1,"M/F",0.152,0.215867065,"Intermediate",1,0.2374537715,0.5573,0.13233298685695
