bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,MichaelisMenten,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,1,0.700693093,0.699400289,0.78610829,0.388302217,1.078551188,0.680008373,0.633401958,0.474214134,0.572892488
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,2,0.955596637,0.712634324,0.704573658,0.411762456,0.727727689,0.675506862,0.71907779,0.457190592,0.633837231
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,3,0.703662359,0.710455157,0.73401469,0.346793854,0.71001991,0.58498972,0.710142148,0.403014947,0.631553177
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,4,0.711095545,0.664211129,0.766071373,0.352916757,1.039272156,0.725149928,0.693373588,0.445441245,0.576111779
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,5,0.747326809,0.646127957,0.686828479,0.354733368,0.771567188,0.670685657,0.676577178,0.480557153,0.591448697
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,6,1.180988397,0.684229019,0.638148584,0.33500795,0.851677119,0.724425242,0.732788408,0.488812902,0.600330278
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,7,1.161805726,0.6533315,0.761481994,0.363380807,0.585688896,0.708802081,0.626483342,0.470204237,0.581454288
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,8,0.742071583,0.651353566,0.679179025,0.32763915,0.642944259,0.791781427,0.681791043,0.471639904,0.582344231
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,9,0.724289001,0.669307807,0.682377238,0.38206976,0.630642329,0.739054557,0.594447296,0.452826105,0.576266073
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,10,0.821424721,0.673738196,0.652431008,0.311916995,0.71523525,0.784920065,0.655277424,0.332968067,0.648308874
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,11,0.909589761,0.726448622,0.658357403,0.343301217,0.719699334,0.848502577,0.679140641,0.393187329,0.632698301
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,12,0.737318867,0.723820391,0.667474118,0.365364754,0.879674177,0.856293131,0.668861608,0.437407436,0.617337895
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,13,0.741057903,0.728256987,0.694780644,0.387247566,0.824272071,0.94471888,0.634196955,0.432707317,0.613927414
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,14,1.009234663,0.662543953,0.690667687,0.409425985,0.864497709,0.985682615,0.568506845,0.516071752,0.613927414
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,15,0.688695948,0.719078383,0.694361785,0.353296439,0.732531773,1.1420948,0.652450851,0.467553254,0.599299455
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,16,0.662604489,0.708694166,0.728383021,0.329378385,0.78080426,1.133095496,0.649667305,0.332074621,0.611688677
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,17,0.852020199,0.657103733,0.722423547,0.339196477,0.975826575,1.135494119,0.64806435,0.381868879,0.596713983
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,18,0.866358606,0.673159471,0.752560274,0.392866176,0.967553508,1.154429779,0.668337517,0.402835646,0.580501581
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,19,0.895392064,0.683956737,0.818990966,0.40518207,1.11856232,1.154429779,0.595470507,0.385393313,0.651379649
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,20,1.018541748,0.678486237,0.878298286,0.348456175,0.704585322,1.152630639,0.636560308,0.379270174,0.595500711
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,21,0.813018469,0.679068064,0.858902249,0.405181679,0.870103623,1.152630639,0.627758907,0.364146133,0.567380487
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,22,1.136618325,0.67551656,0.825200977,0.394267343,0.711208511,1.152630639,0.620303818,0.353736829,0.584710154
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,23,0.836776093,0.697503777,0.737970075,0.372005645,0.695281908,1.046769123,0.678402229,0.51156805,0.608852832
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,24,0.824225312,0.6695478,0.689772518,0.332793863,0.683823372,1.100845596,0.767683626,0.431298983,0.603673114
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,25,1.147725743,0.687663432,0.765964667,0.397492625,0.966005581,0.873131527,0.686156809,0.428763513,0.635305177
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,26,0.880810904,0.701723619,0.839708496,0.38888428,0.956220571,0.770911291,0.675271325,0.398627472,0.655287642
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,27,0.825225493,0.70061844,0.848980465,0.319757222,1.035305902,0.843196985,0.628090474,0.35632334,0.561625198
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,28,0.839012293,0.690293456,0.717726859,0.361043065,0.779602115,0.966947871,0.661194399,0.390620982,0.558336159
