bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,MichaelisMenten,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,1,0.517701026,0.552166265,0.538960081,0.189691922,0.216563913,0.211851384,0.418400912,0.190448684,0.461624653
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,2,0.179425373,0.554498127,0.548031714,0.190720138,0.197235449,0.204025688,0.536423624,0.1713823,0.498936991
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,3,0.189912923,0.544275376,0.571036029,0.22397338,0.186374144,0.319629506,0.539653293,0.218240113,0.480600515
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,4,0.212930283,0.53590804,0.599954451,0.202772664,0.251632311,0.206139909,0.471887434,0.168909997,0.465175526
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,5,0.198954071,0.546283636,0.569852842,0.189002631,0.175358909,0.204461821,0.522682639,0.20906923,0.450976966
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,6,0.198427686,0.521424919,0.550339683,0.193157836,0.215297513,0.220726422,0.515265778,0.195674711,0.481078976
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,7,0.209341451,0.542110654,0.566809896,0.202562448,0.244634361,0.207651926,0.477509905,0.230845295,0.47255118
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,8,0.193728067,0.500505275,0.545944709,0.190184033,0.260589758,0.216267838,0.511509187,0.210492793,0.493007226
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,9,0.195918926,0.486403739,0.555716156,0.181097625,0.235104203,0.174124544,0.538221529,0.228788349,0.467390841
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,10,0.215624337,0.513126473,0.576766881,0.207185547,0.198054738,0.193683872,0.555893463,0.211021513,0.481329745
