bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,MichaelisMenten,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,1,15.63994665,207.0796263,323.0862612,2.938402604,13.37300791,63.38036605,157.5768248,6.23005769,223.3600278
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,2,3.776144066,169.8066664,399.105201,2.83429472,14.26564102,41.31874152,197.7616762,22.26688871,200.0562433
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,3,19.63839142,266.9902605,308.2369368,2.787727045,11.95049341,13.38691023,202.7856679,11.05559516,201.6869976
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,4,32.84884331,224.2537608,229.3461956,4.578801095,10.49948347,76.57763993,280.4215458,25.8069097,206.320964
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,5,4.583835791,280.7557803,302.7912294,4.336512396,11.33628721,64.83361264,259.1733932,4.784475054,204.449633
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,6,17.23864608,238.2101997,226.7215842,2.895017059,13.18564987,61.54865523,251.7799025,3.275747119,248.1535
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,7,13.65288108,283.6729847,312.1981877,3.531526632,13.18564987,28.10766429,264.6950866,3.550920095,157.0043571
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,8,20.75525125,322.6727213,428.6711877,2.934816818,11.70601423,21.02396617,156.8298386,2.773755859,199.8972164
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,9,9.724405583,237.4449188,771.3648032,3.809961794,12.31016649,28.12713429,398.5812927,7.978932107,216.8896305
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,10,18.61233061,149.0390003,489.2596278,2.720080883,12.31016649,16.68402073,316.7039759,9.219040722,259.8530807
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,11,16.51730179,341.9378988,591.773429,3.254444355,12.81524333,22.55358764,344.2273988,42.50904097,301.767997
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,12,41.06304835,292.3184743,585.595939,7.906155191,10.63716527,25.60656038,568.6557772,17.42853348,141.1079669
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,13,14.8325718,299.8603587,612.2859037,15.77642752,10.63716527,38.53230169,212.1920277,36.72990105,161.8161163
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,14,20.04163387,330.4429523,924.4372143,11.10573601,9.542611627,23.32976236,188.0224623,34.23513915,172.0803455
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,15,3.94888207,280.01107,719.7268392,17.68504795,9.542611627,31.34652727,236.6433674,38.97765932,214.7061729
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,16,22.47811368,193.7711493,825.3896512,25.9769754,17.78951524,51.21784386,268.4877816,13.78017194,204.2444694
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,17,21.06157696,197.3422932,544.4357018,27.33203119,12.49330448,36.30589339,182.9099696,18.6877758,254.8547548
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,18,15.3472684,267.9225053,386.1176031,3.374694474,9.886171015,18.73994374,375.5729705,18.29734321,253.9651528
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,19,15.88942175,238.61267,442.4941755,2.27250232,10.14402543,48.88334785,225.9551727,17.37602656,252.319503
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,20,3.637839716,181.5216204,313.0880086,2.283243527,11.15877904,29.33999452,195.5130701,19.48955487,146.8478637
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,21,4.341118893,208.3079829,233.4891645,2.362356814,11.3766634,58.26007825,231.5981903,32.86270376,168.52962
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,22,13.63975821,280.9308715,224.7464931,2.988931042,18.5006947,32.71733213,167.8501171,19.15182042,164.1684138
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,23,20.48775242,194.0006379,234.3749279,2.867682022,12.67523905,77.90371594,203.2211108,16.26746953,240.7544868
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,24,16.47284033,210.5142406,287.8074689,3.245016157,14.25488561,70.79715461,179.1998012,21.38652602,213.3257187
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,25,16.83068264,241.0874849,428.7889808,2.806421153,14.60164099,17.29114761,248.5013105,20.94304218,214.2461532
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,26,5.285253558,194.5553733,435.1966025,3.023380013,10.87450641,47.80283694,152.68348,19.80402987,233.1873527
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,27,7.10786632,197.4168492,435.1966025,3.31301552,8.365766267,15.0213072,196.4305534,15.0307788,214.4208882
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,28,17.00064748,209.7638225,263.8711242,4.143241864,10.94420225,35.69198918,262.6934263,17.62178983,168.3933342
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,29,3.650418476,204.724402,232.6261239,5.632683723,7.709940022,23.14817444,307.2167608,38.82132147,250.8566029
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,30,2.450125907,200.7949132,259.2363122,4.815314971,7.709940022,22.98105513,251.6623186,33.22259457,241.7653604
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,31,4.808260806,204.1581005,322.8752568,3.086492286,8.461968065,32.26791596,276.3902833,18.11401182,208.7643706
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,32,19.37910809,331.7983962,423.2778369,1.818886851,8.859295106,21.42814742,259.6820098,13.16283023,229.519061
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,33,8.435878544,315.997326,442.1114017,1.868944633,11.16928676,54.8808481,235.2603112,13.838873,234.9310077
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,34,5.476927399,204.068803,242.9920677,1.786102645,13.93350939,52.59845084,192.5089458,20.74659488,275.1152326
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,35,2.599949281,216.3567497,638.9632315,1.739948374,14.70195656,50.94986043,167.7773368,11.41924166,138.3362519
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,36,23.06382244,200.2800466,418.0008985,1.692985091,11.76080719,63.84789891,221.465286,12.97328714,217.8073861
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,37,18.86132371,209.0722584,289.1762312,1.64402884,9.740593995,68.99822739,293.0216539,27.65237282,206.8866879
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,38,11.40584682,251.3541511,314.7878003,1.64402884,9.513486063,60.2187225,297.854209,26.05734074,182.1976592
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,39,25.59600941,271.5974647,300.5444253,2.782538716,7.757827315,62.97872527,282.4829257,14.77044113,203.0747187
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,40,17.8809207,242.8668772,226.1727169,2.432619449,8.16342499,62.97872527,392.1683301,22.12519119,186.4062627
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,41,15.60291094,344.442022,334.4188651,2.311402687,8.275118722,57.89273584,739.9084984,16.68173715,244.6274238
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,42,10.86822053,192.5444965,237.2134402,1.982067628,7.484634631,55.64491403,332.6538321,16.50364628,172.3162766
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,43,15.39354176,296.157162,196.6076614,1.973687503,7.484634631,55.64491403,332.6538321,14.60705623,176.0866032
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,44,18.91438936,241.6449281,239.1560609,2.161116663,7.484634631,55.64491403,257.484279,31.97907444,174.278288
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,45,11.65495822,237.9368612,208.2820861,2.034409459,22.02529248,57.19278771,231.7716103,21.29275531,141.6036561
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,46,20.31829205,179.2998982,250.7102009,1.897397254,18.21329862,50.90271463,248.2366667,16.83970653,150.3253804
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,47,19.41325596,225.8364595,450.7664359,1.8243831,32.46429367,45.72570905,201.0924766,25.6348571,258.6683863
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,48,12.91385089,301.9029357,261.9037061,1.878442545,36.29967084,42.3484383,245.7505152,12.32180039,231.7470631
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,49,3.453664678,249.9068166,233.3560097,1.878442545,23.77959074,54.73047871,218.6957982,13.64470527,212.8575895
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,50,4.65857939,241.5075581,627.5454714,1.851129567,17.57248756,40.0010535,415.80973,24.61860858,191.2731707
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,51,1.786896603,270.5456334,624.0546754,1.914031665,14.62541156,40.0010535,251.4944113,31.49655754,188.3450421
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,52,20.64639029,182.6586845,575.040916,2.239137315,12.26568699,64.22145082,248.1795338,20.69819806,192.7162562
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,53,45.74274213,173.9524286,807.5701846,3.080775445,13.00793163,64.22145082,282.6610553,9.680224695,210.0796534
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,54,4.244309329,166.1597987,1176.146346,2.277247031,13.46479262,64.22145082,276.6129553,23.06716916,202.0221861
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,55,7.945027561,203.0624597,488.8506639,3.030310231,13.1401325,55.38572319,294.520479,23.2851582,200.5597415
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,56,11.8942209,183.8184895,657.4831786,2.681500082,13.11644001,51.66875364,188.3362567,9.215137575,176.3058701
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,57,17.38710844,197.7223706,526.5925967,15.44934603,18.30453842,51.37966107,219.1760985,10.89079291,183.0307495
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,58,11.92373982,217.3547932,362.4747375,16.95527761,17.2074404,51.37966107,226.0807095,18.24384304,199.9968035
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,59,13.07523972,299.628238,251.7732799,11.7755564,50.97162832,54.74436986,286.4431321,7.646453986,220.3182489
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,60,24.47329734,332.4274179,282.9052299,30.78281895,68.91015608,54.01875755,236.2618401,7.294263179,202.0120963
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,61,27.55255443,203.2876054,377.9222277,39.85812074,55.59008862,54.01875755,217.3174133,15.87681094,197.4001545
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,62,2.093392752,170.1262114,303.9189618,2.994808811,51.17978276,62.08534843,164.5678398,13.01445748,185.4165847
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,63,16.82900757,207.9589681,317.7693719,3.430178002,21.73694111,63.14263542,466.7260501,5.347998544,268.1416954
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,64,25.97969357,213.343673,281.7506336,3.634847258,22.77954673,52.13514466,781.7995645,54.54588299,256.2438734
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,65,16.23868423,186.1921411,213.6402254,23.67219067,19.70936049,53.23070058,495.3995948,35.66288643,194.2598986
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,66,28.48479913,203.575887,240.8878944,13.01823807,13.94053782,53.23070058,507.5412557,24.99991774,170.8115121
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,67,5.231530919,221.4248248,346.2360324,11.44658427,23.00659093,87.81524681,139.1047287,16.2741197,165.1976804
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,68,15.51744838,198.8676537,228.0057073,21.68862096,24.35352805,97.41637916,405.1467202,25.23181506,161.7627321
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,69,1.875640561,204.4272624,238.8571074,23.42953227,21.73098738,102.021359,362.9126349,31.69853519,180.8672939
