bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,1,142.7670521,195.6063784,31.79994718,0.07149855,0.594212475,77.14109823,27.285268,33.43931582
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,2,34.71975286,142.3989848,30.71607193,0.085266946,0.440917076,90.44728827,27.32471263,21.44851039
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,3,622.2494453,101.8357029,30.71607193,0.0902421,0.529032611,85.98207509,26.26293118,23.61742
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,4,14.62958816,16.98675978,30.71607193,0.097201485,0.675712127,105.2672987,26.17215619,14.72673486
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,5,37.81391815,18.95573417,31.31670436,0.109652436,0.792849048,116.8347439,26.70194694,23.37426936
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,6,147.3026235,16.79086371,32.43669909,0.11531088,0.837340682,124.4763062,26.88041253,11.27257812
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,7,18.91157605,12.29621819,33.29306238,0.145735142,0.613566632,122.7828741,25.45412907,74.20866008
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,8,27.87770429,16.89540771,32.99238571,0.117930511,0.552707749,102.4170041,26.28718727,78.83505339
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,9,66.75262915,11.08061505,31.65985677,0.182529285,0.188440695,102.0183295,28.09405341,22.01947057
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,10,29.19247634,12.83411305,30.8007624,0.138375814,0.168072404,153.5724542,28.1504222,25.56954472
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,11,11.37759565,13.34644775,30.8007624,0.129683505,0.165342921,123.2157188,28.21302305,34.34024921
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,12,20.88518715,25.95663313,31.20677649,0.261346473,0.153458226,97.32140401,28.28450781,30.6847661
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,13,98.43871392,53.75694776,30.87015483,0.268159198,0.14409506,86.67459185,28.28125003,41.84481915
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,14,82.08535037,20.71080285,30.84874143,0.253927811,0.144691567,86.67459185,28.26221482,44.07209153
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,15,32.33077974,55.05154319,30.70130905,0.177652447,0.253852547,75.92503454,28.30110441,38.48273235
