bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,MichaelisMenten,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,1,21.98987838,3.731504235,16.64754112,3.706801842,22.0960525,16.81790844,21.23224864,5.420292499,15.42892734
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,2,25.50657888,3.648244614,19.90712659,4.232968427,20.20672695,17.74528826,23.83008828,10.23903223,8.99078552
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,3,25.13598337,4.595894025,22.22212471,4.01920477,22.15296607,21.0308591,23.60909588,8.803652043,13.12856402
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,4,24.92345264,6.35539612,21.14100479,3.779708093,24.30709565,15.9956129,24.40208479,6.269933721,2.063147762
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,5,24.34693655,4.220444231,21.31087149,3.835440858,23.3277833,16.1531784,24.56605788,2.862844765,3.243182588
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,6,18.04849472,4.215679282,23.90900495,4.404034762,24.0607062,17.51331428,23.92028892,9.357275433,3.114974421
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,7,22.37834221,6.071373448,23.43000931,3.753263805,24.05109349,23.72467461,23.62915429,4.541205023,5.090528604
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,8,17.89189973,7.627555017,21.53042494,4.133825059,23.77554296,21.70722448,22.81249953,5.476064434,6.392084566
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,9,18.49330338,3.249594108,18.19620919,5.2253844,24.7888164,10.96784916,22.26918055,2.948784402,4.78690571
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,10,25.64191788,4.347207975,21.51259433,3.960655433,24.61536497,17.15769342,24.20754301,5.513851831,4.449476545
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,11,25.78328775,4.403841878,23.86840467,3.225628939,24.21815865,16.62089109,22.35322486,3.958988121,4.588380791
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,12,20.60522036,4.317013243,25.57778465,4.345563661,24.32206987,19.7892573,24.65851378,4.526338212,6.672377712
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,13,24.4424885,3.753214659,25.57778465,3.706910058,23.90882269,20.71637945,25.76283923,3.439190916,5.021875024
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,14,19.53278538,2.818834002,25.57778465,5.32215366,24.84807458,23.39308366,25.09175102,1.942167354,2.914603288
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,15,25.84389676,2.776617317,25.37996943,7.127165925,24.86049001,21.87015863,25.19071109,2.374763743,5.840784501
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,16,22.26791293,3.235007283,25.45419025,6.876790739,24.54720791,17.06508402,24.7358115,2.252757886,5.313362425
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,17,24.65077365,3.502742274,25.45419025,6.876790739,23.42119873,18.44103204,24.83535505,4.508546939,3.493759484
