bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,MichaelisMenten,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,1,204.4925599,198.3305869,202.0832588,167.2288531,260.8612872,204.7095177,205.3733056,145.4991518,171.0069455
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,2,196.358485,199.9868749,205.9125482,174.1409812,262.8557899,204.135537,235.2878743,145.5764703,175.0489992
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,3,199.3634693,196.8432007,207.6876939,167.6824523,269.3658623,248.7741691,201.4253697,137.0740776,166.1713273
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,4,200.6951403,198.9074727,201.0829069,170.51981,253.4455423,236.3511927,214.9557793,143.2812639,170.7404816
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,5,195.8012598,199.1796723,199.398724,165.0535665,281.7237143,232.4299345,217.7270018,141.795696,169.4798384
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,6,204.0128265,202.2474531,202.850588,171.1806966,276.1909154,277.1344927,216.8527652,135.7849676,172.3536889
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,7,195.7923877,201.346264,213.5716751,167.8750879,274.6312158,280.3724293,233.994653,140.2651215,178.8693957
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,8,198.8382522,196.1228628,227.6098698,164.0765526,255.0813711,290.0383597,208.5649935,147.59587,174.6789302
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,9,206.0325448,200.5990571,212.7292014,167.2025557,284.2420264,282.374748,196.72716,144.0638095,170.8012509
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,10,201.0499883,206.6249126,227.0080932,164.984542,275.8233822,282.9031362,192.6037203,149.7914579,173.1616374
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,11,199.2324793,190.9524264,207.1372575,171.9186366,258.1707486,269.1370957,224.8504273,142.8562861,170.7508106
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,12,196.8202248,191.673471,211.7394303,165.7686628,268.2490198,217.8540645,207.16405,141.8106474,169.4559268
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,13,196.846003,205.7504907,210.4240694,174.9968143,306.9133563,225.8716448,198.9508564,150.7288777,175.5364892
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,14,202.27053,202.9057272,203.2648376,166.7458244,312.0864089,245.508001,190.9626994,144.8684966,171.2714626
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,15,198.1878822,211.5281916,202.2737788,171.8391282,332.8400801,226.0860928,183.8369126,143.9131256,171.3229431
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,16,206.6749452,192.8126154,245.9407087,168.4383119,410.1475516,221.7511365,213.4247792,147.6129874,182.2527881
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,17,200.9015934,191.9065074,211.7439263,170.0583499,411.3815643,258.9224084,196.1337145,147.4598679,182.4833851
