bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,MichaelisMenten,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,1,96.77541845,81.45361204,133.7822028,55.5597376,334.0284748,244.0867745,430.8631615,73.30884652,89.43185877
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,2,90.6158699,88.41445841,271.8696417,55.5597376,292.6029525,246.1440936,430.8631615,75.87859385,94.36989002
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,3,83.2880754,90.05048119,445.3063931,54.93722605,216.64677,239.0903553,425.5883178,70.05689964,103.7605049
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,4,73.55290391,99.97952274,274.3895841,62.16294025,243.9829826,281.0946193,382.7608565,96.26168862,96.48862192
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,5,77.41215573,92.33317442,369.0161907,62.16294025,250.5703943,262.8998638,401.9983333,101.5285335,102.2815078
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,6,88.03841652,92.14971235,375.5790418,62.16294025,234.4649494,238.7470405,393.56624,63.50534169,101.0245013
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,7,81.01004843,92.50635616,343.415221,61.24624645,293.6684012,300.8562549,361.3889033,65.54900811,104.1252215
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,8,81.13537045,76.62165523,309.4328079,64.44495958,295.5043819,171.8731807,420.5355372,94.90652368,107.2872358
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,9,77.87924313,78.83295739,329.9825208,64.44495958,303.9975765,181.5175893,420.5355372,88.16929154,98.32995016
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,10,94.44887381,87.26020616,362.7299502,55.65414757,289.3459066,322.811703,420.9135088,65.34992231,96.63065874
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,11,94.42001301,86.87535464,421.7469386,73.34697134,290.5429813,233.7588027,414.8589906,68.25975547,100.5698638
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,12,74.15647817,96.88582673,421.7469386,70.5663433,293.3364191,266.901905,426.8139268,72.55417469,101.9472702
