bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,MichaelisMenten,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,1,93.90214298,87.50613201,104.4464032,78.07819351,255.3516939,249.4075708,305.5001864,81.22639508,90.72260697
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,2,87.2219236,88.83432465,102.014687,99.77300606,181.7732159,231.4861174,288.8345168,99.62814752,102.1162274
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,3,89.64569485,89.91787897,331.3180127,117.0347906,205.9956575,222.3368482,360.0242246,88.73343996,99.09533828
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,4,84.68208597,72.89126894,181.2887743,91.22824686,278.5741782,240.8648305,311.0117631,78.61628418,102.7206418
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,5,82.0810907,104.689166,190.5156419,100.8086147,270.9306805,226.6022187,251.5908718,88.78467278,110.3639181
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,6,81.09150212,84.12267179,231.4361831,94.40494926,274.1217682,235.4645432,209.6670665,84.10614149,120.1739826
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,7,79.72026556,101.0784976,166.5945277,67.67543805,243.9951589,286.0546611,323.4232378,88.16028907,90.50472553
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,8,96.94002613,77.17664234,180.0472188,86.71370498,231.5334116,192.0757716,125.1151337,81.92221016,94.48288181
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,9,95.73323775,100.3295747,263.2019784,75.84972682,241.1147722,366.9455614,145.4834586,87.59861308,90.52707724
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,10,94.05331923,89.24732638,265.0022469,84.90323524,243.9423843,177.4234666,294.8705647,81.65649052,97.13313988
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,11,93.48660285,92.57347177,309.9504925,86.00439771,231.9583501,181.5323479,197.8253449,92.60359859,128.6497763
