bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,MichaelisMenten,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,1,0.333477418,0.38477577,0.44003801,0.061307826,0.084209338,0.046961343,0.09925757,0.065026416,0.112568988
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,2,0.054275647,0.344062274,0.492347605,0.050603104,0.066267777,0.077961703,0.105185087,0.068757349,0.130719518
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,3,0.045373728,0.325926351,0.447984681,0.029370618,0.053056588,0.054247015,0.124222088,0.049981715,0.089750855
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,4,0.052786187,0.356205144,0.365742157,0.056503401,0.050576948,0.082193756,0.110054494,0.05409636,0.099119186
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,5,0.040345453,0.371715923,0.602111324,0.040749257,0.057866477,0.069099957,0.106538147,0.056927923,0.108187913
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,6,0.036210017,0.36433755,0.404986212,0.042722511,0.048708442,0.08863721,0.115625038,0.045184908,0.08658747
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,7,0.044199286,0.36433755,0.966431051,0.037014595,0.054356506,0.047182654,0.138413507,0.030013192,0.107202942
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,8,0.035019924,0.376595713,0.423903415,0.036564893,0.058672808,0.031504725,0.096547562,0.043485936,0.098166128
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,9,0.041283443,0.40519218,0.482851288,0.038596836,0.047301679,0.084948232,0.110968201,0.046424708,0.105499928
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,10,0.043081196,0.549510741,0.382203335,0.056760923,0.047651928,0.073662759,0.072935853,0.028505767,0.099209743
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,11,0.057256239,0.328567015,0.395309599,0.046422343,0.054473953,0.071370142,0.093886006,0.033136206,0.099209743
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,12,0.044781079,0.424299479,0.592008848,0.045465458,0.041498552,0.063231348,0.100963223,0.047566961,0.10060276
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,13,0.036450362,0.399069916,0.458469947,0.049952057,0.047020907,0.056623167,0.101191258,0.049835572,0.106526689
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,14,0.036951636,0.36370173,0.411093806,0.045085763,0.047270526,0.050695833,0.113891834,0.041606896,0.085975969
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,15,0.053826803,0.334676762,0.335693764,0.055525063,0.053556218,0.033799918,0.115527062,0.047937044,0.098906476
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,16,0.040914234,0.334676762,0.57614748,0.064207156,0.044046711,0.056639756,0.106758011,0.041692842,0.089219528
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,17,0.040168086,0.3344047,1.261697502,0.031378395,0.049449598,0.030729848,0.128273377,0.031234893,0.083708053
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,18,0.055077218,0.466255115,0.319028701,0.056970328,0.071981422,0.03742233,0.170616564,0.034654588,0.085701968
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,19,0.053296193,0.344529356,0.780025996,0.064142676,0.032177789,0.038411238,0.136123294,0.039310906,0.107234392
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,20,0.049019137,0.469731411,0.712674545,0.050754095,0.089464034,0.052780785,0.100974733,0.038905336,0.113157067
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,21,0.046554813,0.453410788,0.343213769,0.034024392,0.168209942,0.052440283,0.105869293,0.068879702,0.127167844
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,22,0.04419896,0.41425702,0.611954227,0.04090932,0.102050765,0.043778553,0.083196521,0.069877452,0.107654645
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,23,0.046689058,0.405711949,0.978119006,0.045329444,0.099348384,0.046817078,0.103031321,0.069309101,0.115087854
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,24,0.030414939,0.358224407,0.582024007,0.032397645,0.056292515,0.037686526,0.144350985,0.079692687,0.145994453
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,25,0.075502389,0.442415187,0.380006075,0.040030918,0.05273411,0.095567617,0.136960123,0.082238203,0.074221962
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,26,0.047586041,0.325510001,0.550484172,0.04729618,0.060715611,0.07477449,0.142372115,0.077121018,0.125395541
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,27,0.055728948,0.325510001,0.380628191,0.033248642,0.146642013,0.049212336,0.116728862,0.086659393,0.102732444
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,28,0.090670392,0.286053974,0.396935233,0.040174054,0.046786681,0.070118537,0.105718801,0.045602975,0.090906414
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,29,0.043001359,0.493815949,0.550410693,0.047070749,0.048721907,0.051216718,0.09440494,0.031779609,0.108062103
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,30,0.038741622,0.34030815,0.540787129,0.040949177,0.064203917,0.073318395,0.098802743,0.033389375,0.094542882
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,31,0.035760124,0.351102363,0.407713648,0.03041632,0.060557264,0.045091419,0.098236807,0.035660829,0.087043037
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,32,0.03879879,0.33507409,0.413447918,0.055927276,0.04178584,0.038866075,0.118259401,0.039170756,0.072934445
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,33,0.06886508,0.360398721,0.595384598,0.02955895,0.071552438,0.056394074,0.125421679,0.032063816,0.104813744
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,34,0.04877811,0.375508241,0.485080956,0.039048625,0.060048407,0.06926871,0.122259326,0.034786117,0.07869346
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,35,0.039846316,0.362455509,0.377518687,0.043174967,0.049468182,0.040388085,0.082738078,0.034491557,0.122141505
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,36,0.056881738,0.33617656,0.396022172,0.044675736,0.053777594,0.08370153,0.16502996,0.035645972,0.115025799
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,37,0.034849024,0.348252421,0.400528273,0.053663098,0.070515835,0.059610392,0.126536627,0.037352427,0.076476566
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,38,0.03919475,0.323331116,0.382598432,0.041488026,0.038565635,0.064555348,0.114103561,0.058099333,0.105724003
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,39,0.040076639,0.308568391,0.389391226,0.070009476,0.060859175,0.072113671,0.142083773,0.063961021,0.097830401
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,40,0.025331699,0.377137295,0.373133992,0.034546406,0.05507866,0.066201216,0.093256627,0.050339232,0.105337249
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,41,0.031669355,0.43048967,0.414711017,0.041984484,0.042188926,0.065616611,0.081024026,0.056876531,0.105027354
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,42,0.0516063,0.397266392,0.440848634,0.045646638,0.060674765,0.050361221,0.114133485,0.037886718,0.098499989
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,43,0.037602777,0.424439683,0.435107163,0.041355095,0.039343098,0.050885668,0.129363856,0.026982564,0.100200283
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,44,0.041072746,0.412890077,0.414348386,0.036089569,0.047422352,0.051744125,0.137045049,0.057954107,0.119724401
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,45,0.02667213,0.376102875,0.447359548,0.040750025,0.04673053,0.051252893,0.388294988,0.057363703,0.114685203
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,46,0.046229286,0.405549868,0.452248753,0.044642224,0.051910007,0.040930113,0.125096018,0.050086584,0.089932199
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,47,0.054966121,0.411874145,0.448991863,0.024925751,0.102456705,0.060650692,0.117960008,0.082662429,0.10310313
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,48,0.040421145,0.421949892,0.445412158,0.036759161,0.079226437,0.039760092,0.143883787,0.085031514,0.097569969
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,49,0.044194107,0.459944839,0.671681054,0.044493235,0.067918046,0.052412875,0.100239391,0.079284438,0.099863232
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,50,0.040016351,0.428406301,1.350043636,0.047732811,0.033731013,0.045058095,0.123977881,0.078481712,0.09788961
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,51,0.041311954,0.396960712,0.584088114,0.059130702,0.049378313,0.04421922,0.154758837,0.072193338,0.098383787
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,52,0.039222943,0.376979173,0.444655907,0.050452283,0.035995998,0.074107879,0.092086475,0.070046238,0.102658676
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,53,0.059311884,0.426331449,0.400018318,0.03053465,0.068211267,0.042203238,0.134331226,0.072959285,0.121838064
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,54,0.04316723,0.34438043,0.385005661,0.048375795,0.08196957,0.053501484,0.136353038,0.061322196,0.120243659
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,55,0.042986558,0.339233304,0.443060594,0.042987982,0.061127566,0.043227552,0.099162827,0.050078555,0.114010107
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,56,0.050935582,0.360266693,0.443565137,0.039663294,0.073390342,0.041786505,0.114356265,0.05649235,0.101961841
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,57,0.075412771,0.369320978,0.349966288,0.041898713,0.033387003,0.059651247,0.096558304,0.04332538,0.084934711
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,58,0.036547024,0.41154558,0.336299288,0.032255059,0.073478725,0.062700495,0.14896646,0.044759135,0.083232177
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,59,0.025303571,0.351241479,0.347664561,0.058894621,0.040949047,0.074031325,0.091855345,0.041192712,0.106248168
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,60,0.032865238,0.40148829,0.432741175,0.029096711,0.067669485,0.053184366,0.096082128,0.03467543,0.087215378
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,61,0.051545078,0.357362009,0.39430543,0.053384845,0.037320671,0.05527848,0.133002811,0.032399497,0.10703349
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,62,0.04566699,0.388207538,0.364279335,0.044965729,0.071124116,0.039292936,0.084679665,0.039652652,0.078569009
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,63,0.043763632,0.356104376,0.360787515,0.055671198,0.069461485,0.098167755,0.068849928,0.035491818,0.084154011
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,64,0.046049336,0.379955881,0.535109323,0.034361382,0.070045729,0.093079797,0.064285414,0.031958392,0.114347694
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,65,0.052834915,0.394532102,0.46752662,0.046679416,0.063431688,0.066207275,0.073336285,0.045821407,0.117215904
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,66,0.053700339,0.459457987,0.447466903,0.036250185,0.045631323,0.118264084,0.135279108,0.039188733,0.102432861
