bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,1,38.91991743,58.44589331,48.52463277,1.159159101,0.507537704,2.827816623,49.81449947,21.93613264
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,2,35.45023917,52.52071022,48.52463277,0.900973379,0.488017302,1.159252498,44.81765474,80.11492119
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,3,18.26006533,32.02509237,48.37815171,1.191368304,0.497324066,1.706452506,45.22953002,31.14037529
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,4,28.02624668,42.70608454,48.27199907,0.594102908,0.502814498,6.004344883,43.25561338,25.86529364
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,5,30.6200839,38.037793,48.27199907,0.485101184,0.503892364,8.870632629,52.48103957,18.41139751
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,6,30.45513651,28.24688363,48.2315327,0.305933991,0.498172803,7.215168439,49.42112986,24.74286588
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,7,53.20616986,21.58169263,50.12569831,0.288062048,0.528741891,2.594595685,51.82736736,25.44518102
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,8,63.75615694,42.72246356,50.38096052,0.31888873,0.499697251,3.364236699,50.45289315,47.5723648
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,9,43.58724224,27.18078654,50.38096052,0.40348857,0.485781374,2.20660467,56.58299956,20.24483157
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,10,46.41695794,27.95837727,45.81148869,0.620704436,0.504747142,0.504533908,54.14615267,33.41009413
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,11,821.0238645,21.4226846,46.42283736,0.532036933,0.492257811,0.865179938,48.40589774,39.56426859
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,12,20.93243816,23.66111432,49.00221898,0.644183296,0.488289172,1.048730548,48.40589774,31.59485918
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,13,26.40414724,49.20664925,49.00221898,0.671591647,0.499583013,4.422148398,49.92990323,42.85746784
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,14,36.20802152,52.05150315,48.22831403,0.536679413,0.500764208,0.822027065,50.21484718,28.49248887
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,15,25.70888314,21.31542892,47.85199393,0.657550225,0.518583081,0.534417638,47.10853859,42.30984031
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,16,35.04829031,37.74908523,50.55838945,1.302352903,0.495496925,0.628277909,43.68542089,31.36361548
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,17,68.28650869,51.92431588,49.8925038,0.75105892,0.510847609,0.73776931,50.41666154,27.98409981
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,18,30.92012518,34.07472261,49.738723,1.43480291,0.500450147,0.569247037,51.53251096,26.1616964
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,19,37.22456597,17.42120108,45.42780008,3.279723707,0.504665374,0.231731946,57.14369242,95.34869357
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,20,24.51532978,23.69696937,42.68007888,3.935392214,0.498937089,0.226621362,52.53510661,35.3130718
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,21,31.07155041,24.10628875,43.775135,5.050940687,0.513370529,0.287167998,50.75390264,44.168992
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,22,25.7566562,41.82396462,42.1331872,3.420219147,0.501249309,0.566091653,51.25678267,63.9860959
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,23,70.877407,23.25799854,37.50755885,2.345556506,0.521811794,0.425721417,50.89873966,41.91344508
