bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,MichaelisMenten,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,1,1.613723077,1.884410984,5.016768562,0.578096019,29.60144452,5.601617819,11.70471588,0.648533849,0.481125211
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,2,1.639197399,1.64147687,3.348365307,0.701427451,15.18473059,7.546785954,6.821161262,0.614900783,0.759453241
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,3,1.649036882,1.555974195,4.95776432,0.438231483,16.61790191,1.00329402,12.5726068,0.5779355,0.812993592
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,4,1.586300579,1.530271746,3.02149754,0.507068404,20.3034703,3.602071821,8.434379748,0.69974379,0.968714672
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,5,1.597394026,1.908111794,1.902306432,0.577022739,15.17050882,7.476572204,7.664838598,0.800170022,1.603254371
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,6,1.490079329,1.748425532,3.873998454,0.754733868,13.47802744,6.691129352,18.62264072,0.637954153,0.465356791
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,7,1.49058312,1.739796751,6.48935962,0.755052235,19.15839842,14.64806371,13.02309229,0.622174794,0.517087111
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,8,1.525856096,1.622416164,7.192585808,0.850035477,20.8719136,3.158726994,11.90145335,0.611067133,0.80405148
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,9,1.719028841,1.692394857,5.360101395,0.850035477,22.17516274,2.380426641,6.197000351,0.511150852,1.144897842
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,10,1.559694781,1.538300177,10.49038745,0.815547547,17.10148653,3.522238088,4.011303012,0.709015331,0.389139612
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,11,1.63641183,1.598349923,9.817092901,0.815547547,13.37991863,5.159281331,11.79188375,0.480959863,0.441411122
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,12,1.84118459,1.490783517,2.881396921,0.368759453,8.015825243,8.98977398,15.33121205,0.671944698,0.459099545
