bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,MichaelisMenten,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,1,264.1720543,261.2121325,2506.381889,285.0363833,1447.873349,1790.421799,2770.256578,452.1420724,572.200839
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,2,297.3430451,297.9754439,2453.128127,267.7255895,1795.9289,1768.467388,2770.256578,445.0988889,553.0429841
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,3,338.6104064,288.6720874,2491.168728,299.4488128,1611.551181,1721.690318,2770.256578,445.0988889,553.1273603
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,4,317.1174743,289.1187384,2471.090412,329.041677,1935.987098,1845.511792,2695.737042,445.0988889,561.4446166
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,5,308.2635333,297.8773374,1716.179639,369.4445781,1721.502565,1937.136422,2649.823829,418.6655632,551.7667698
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,6,293.7098607,290.1838457,1028.711017,259.0396342,2041.305367,1825.879814,2753.896478,371.6119699,558.7444991
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,7,353.9986583,282.2117396,1777.150937,267.4942259,1574.155504,1823.958975,2753.896478,169.1228126,565.5494808
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,8,2642.474161,264.0718599,1718.01453,332.1421625,1568.592072,1799.911877,2753.896478,400.2575653,548.4339424
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,9,1841.768915,249.0085773,1696.185044,352.7687721,1637.458429,1817.414368,2735.236844,295.4499595,564.6291319
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,10,1173.614728,257.784293,1925.900855,306.3995606,1553.04881,1827.7167,2735.236844,292.0821263,544.0084883
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,11,2592.350079,316.9586746,1136.019967,271.9336145,1645.06397,2017.466942,2700.447468,321.8250127,538.6553726
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,12,1467.942837,288.5810505,1056.841012,278.4737031,1763.232551,2044.634228,2640.247168,275.6578761,536.7840879
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,13,2460.498656,314.5517466,1411.852467,264.5559055,1755.981724,1990.42664,2670.373045,270.9884668,542.6538981
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,14,2241.731742,314.8993681,1862.690072,270.1245727,1743.413052,1945.980015,2722.905374,344.1435706,533.9471089
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,15,2462.002312,327.7795144,1690.78477,330.6898409,1729.926872,1854.638655,2722.838865,257.1656929,548.9792812
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,16,2404.376931,225.1189154,1940.245581,267.3929592,1585.826808,1915.566107,2722.838865,251.5469527,549.9541118
