bmr,index,model_average,Logistic,LogLogistic,Probit,LogProbit,QuantalLinear,Multistage2,Weibull,DichotomousHill
"BMR = 10%: Added, BMR: 0.1",1,4.050659715,3.836438194,4.064832758,4.156799586,4.202703284,4.549753841,3.226969853,3.83444202,0.72395328
"BMR = 10%: Added, BMR: 0.1",2,6.053601467,5.509756968,4.048749709,2.846765247,4.40146826,3.181669435,2.898532501,3.770569287,0.72395328
"BMR = 10%: Added, BMR: 0.1",3,7.096845976,7.564276913,4.075784781,3.095011406,3.668010112,3.088551469,2.805167243,3.747888304,0.72395328
"BMR = 10%: Added, BMR: 0.1",4,3.595025801,8.25620998,4.195060353,3.095011406,4.393247572,2.945670576,2.329165686,3.768616065,0.72395328
"BMR = 10%: Added, BMR: 0.1",5,2.605001528,8.571279833,4.22860589,4.74665151,5.859884955,2.826859375,4.467858509,3.757763584,1.062882926
"BMR = 10%: Added, BMR: 0.1",6,4.727530315,7.546519992,4.246749158,12.74518952,5.66661131,3.382264229,3.795633244,3.651196961,0.506098596
"BMR = 10%: Added, BMR: 0.1",7,3.964020007,3.853191137,4.279023623,7.525115025,3.829828218,2.954624998,3.618156385,3.652845569,0.481822786
"BMR = 10%: Added, BMR: 0.1",8,3.140386446,3.047441027,4.226281951,29.85697314,4.694302316,3.810361053,2.660076021,3.640327083,1.069113006
"BMR = 10%: Added, BMR: 0.1",9,6.151332215,5.157982076,4.325756431,10.89294549,6.962325391,5.158751338,3.536221178,3.674121675,0.874649088
"BMR = 10%: Added, BMR: 0.1",10,3.617806719,4.007915414,4.35130948,10.15665241,14.33357764,2.705626796,3.510927073,3.694411354,0.874649088
"BMR = 10%: Added, BMR: 0.1",11,3.31194051,4.12801325,4.338458909,5.636690353,2.774917537,2.748496557,2.43314633,3.694411354,0.761425886
"BMR = 10%: Added, BMR: 0.1",12,2.827247549,3.324308634,4.505396618,7.416932109,5.188545489,2.46012707,2.760316186,3.701603386,0.618920614
