bmr,index,model_average,Logistic,LogLogistic,Probit,LogProbit,QuantalLinear,Multistage2,Weibull,DichotomousHill
"BMR = 10%: Added, BMR: 0.1",1,21.595309,11.30308813,9.730118038,5.06412264,8.936772227,4.644008325,5.681836478,9.53108454,10.87792446
"BMR = 10%: Added, BMR: 0.1",2,23.82304201,7.032065335,9.626121778,17.36834048,9.897569945,4.644008325,6.261846454,9.055560824,11.58742582
"BMR = 10%: Added, BMR: 0.1",3,9.240728416,6.633732974,9.483830591,52.55092355,9.71261902,15.5887452,7.16025077,9.022536449,14.00423666
"BMR = 10%: Added, BMR: 0.1",4,6.013732902,72.10455625,9.91584744,70.4893124,9.912789863,14.69925491,11.04553013,9.313773443,10.21774512
"BMR = 10%: Added, BMR: 0.1",5,5.399556913,347.3531959,10.14302308,14.17157788,10.21447277,30.95224506,15.1887798,9.764072684,9.511416783
"BMR = 10%: Added, BMR: 0.1",6,6.493404762,5203.080077,11.40223664,14.04869053,8.827617683,7.669155899,10.9116835,9.548483496,16.81636625
"BMR = 10%: Added, BMR: 0.1",7,21.15877325,3264.024244,11.80754477,6.665749968,9.173269641,16.85831361,10.35188077,9.480157893,15.34093143
"BMR = 10%: Added, BMR: 0.1",8,6.321504728,518.3218393,18.99476441,21.39406029,8.513465967,3.013813251,2.870998352,9.491608231,15.34093143
"BMR = 10%: Added, BMR: 0.1",9,12.61392807,276.4817026,10.49482551,6.024349766,9.513419918,9.037504578,3.024368104,9.491608231,15.34093143
"BMR = 10%: Added, BMR: 0.1",10,15.94649186,300.5713032,10.48490499,8.282743233,9.559553662,3.819411619,7.587084308,9.491608231,13.37996325
"BMR = 10%: Added, BMR: 0.1",11,33.28616349,35.37996478,10.48490499,9.308535504,8.814320801,15.90486091,5.70693905,9.497873657,13.37996325
"BMR = 10%: Added, BMR: 0.1",12,4.789688912,92.54048275,10.48490499,19.16298603,9.196855452,5.21658814,8.215863638,9.499634301,13.37996325
"BMR = 10%: Added, BMR: 0.1",13,13.90382448,6.199012815,10.62998473,14.20413026,9.196855452,5.928442057,9.532491639,9.520125349,13.3138355
"BMR = 10%: Added, BMR: 0.1",14,36.40505573,4.280551093,10.78968934,15.38268096,8.787831733,6.597647324,9.12725751,9.520125349,16.11658352
"BMR = 10%: Added, BMR: 0.1",15,14.23822399,5.514052578,9.836690374,3.892703788,8.687061547,8.272866368,10.4257457,9.634920742,18.41646648
"BMR = 10%: Added, BMR: 0.1",16,135.5549819,6.740014356,9.296540155,4.723631147,8.138074243,5.70314695,7.85573785,9.634920742,0.849014378
"BMR = 10%: Added, BMR: 0.1",17,10.41203668,16.74681486,14.11978633,5.349435958,8.531041918,2.790990021,7.318937781,9.634920742,0.866629503
"BMR = 10%: Added, BMR: 0.1",18,9.631424344,6.882113361,16.79737902,5.349435958,10.65107287,2.881156635,6.051063237,9.634920742,0.006461559
"BMR = 10%: Added, BMR: 0.1",19,6.686007244,16.19593508,14.40849444,5.349435958,12.49046976,6.818182241,9.971888384,9.97095546,0.00054708
"BMR = 10%: Added, BMR: 0.1",20,28.50453543,16.15867746,17.76568725,5.948734667,8.232862253,8.622005314,18.348473,9.833464098,0.00051304
"BMR = 10%: Added, BMR: 0.1",21,6.457129828,27.88828812,9.317607962,10.51380459,10.58506105,15.3746892,13.35144433,9.833464098,0.047166322
"BMR = 10%: Added, BMR: 0.1",22,6.830062526,19.54520441,10.07179313,13.66570071,10.8693322,9.705161907,8.620870754,9.736797637,1.590489047
"BMR = 10%: Added, BMR: 0.1",23,6.974095491,9.337839322,11.74086659,8.260716475,13.00722351,13.67760977,8.898825041,9.842021525,1.350692603
"BMR = 10%: Added, BMR: 0.1",24,12.53073692,6.068567853,10.69087864,17.20489817,10.91502477,5.739868062,6.622482372,9.682683999,4.920495186
"BMR = 10%: Added, BMR: 0.1",25,9.300346987,7.719878955,11.36795749,17.22898776,10.61181796,8.080386009,12.34864246,9.604192019,4.750373002
"BMR = 10%: Added, BMR: 0.1",26,2.739366519,9.553654749,10.97980614,11.53461253,10.24115525,5.491439358,10.85569286,9.591647072,13.72167875
"BMR = 10%: Added, BMR: 0.1",27,3.009323944,8.185762461,13.02469194,8.098903033,10.34360781,11.73259304,9.848006514,9.397258789,17.13012759
"BMR = 10%: Added, BMR: 0.1",28,7.546486415,4.370195022,12.31674549,8.614143937,10.34360781,11.49057552,7.017738748,9.379405744,16.87052932
"BMR = 10%: Added, BMR: 0.1",29,9.340121767,34.89509754,12.66744165,60.2837434,10.08019203,23.40585414,3.843909662,9.657590913,14.90135582
"BMR = 10%: Added, BMR: 0.1",30,3.971162596,37.13841534,54.01523188,5.861037632,10.08019203,19.73252715,7.398025665,9.826616465,0.039671753
"BMR = 10%: Added, BMR: 0.1",31,10.0286017,17.96411558,55.96599658,5.861037632,10.08019203,6.013408418,9.954106902,9.844837466,0.109637675
"BMR = 10%: Added, BMR: 0.1",32,12.94073248,6.276412924,49.08166826,8.415785976,10.08019203,12.37810762,4.949243749,15.32940798,0.285747703
"BMR = 10%: Added, BMR: 0.1",33,11.1751475,6.276412924,44.33826641,44.15582376,10.08019203,23.87114697,8.81461347,19.90857494,0.116985351
"BMR = 10%: Added, BMR: 0.1",34,2.73425681,19.68597743,16.01457764,81.27287221,10.08019203,17.51046678,5.960228617,14.8931432,0.065225618
"BMR = 10%: Added, BMR: 0.1",35,22.51800924,9.929145393,14.76057171,70.42682781,10.36830742,5.183626127,13.74085053,18.25837134,0.119829355
"BMR = 10%: Added, BMR: 0.1",36,4.13234102,9.929145393,13.0438984,30.43248834,10.4471433,21.61099113,7.729019028,16.32959521,0.06769014
"BMR = 10%: Added, BMR: 0.1",37,14.63118013,8.924206887,12.42244541,8.01128655,9.95697071,19.31009107,7.649739292,11.48440779,0.224477072
"BMR = 10%: Added, BMR: 0.1",38,3.779694645,12.15194583,11.98788058,11.73474659,9.70008288,9.419719977,11.50507478,11.05711755,0.224477072
"BMR = 10%: Added, BMR: 0.1",39,91.2076337,3.518777957,14.59661935,22.32118979,9.693530699,8.37289118,16.12249893,17.26386629,1.033525401
"BMR = 10%: Added, BMR: 0.1",40,12.3735933,5.960133023,16.78084965,10.56811224,9.290751634,3.21735535,8.415604973,11.17334146,0.757372973
"BMR = 10%: Added, BMR: 0.1",41,7.197182539,15.22869966,13.07631145,13.24772844,9.290751634,18.91831898,5.153551064,9.874602802,0.447700825
"BMR = 10%: Added, BMR: 0.1",42,2.876077,6.776292906,15.11859906,9.789727134,9.290751634,8.223628987,4.213983018,9.874602802,0.455178229
"BMR = 10%: Added, BMR: 0.1",43,5.872903336,18.28820376,27.4875425,27.36370013,9.802173792,5.604193235,4.752261421,9.912467131,1.139124308
"BMR = 10%: Added, BMR: 0.1",44,7.564955519,4.449963184,11.08215271,26.03370134,9.743767445,6.532409816,6.335867253,9.859407144,1.951951724
"BMR = 10%: Added, BMR: 0.1",45,6.183505305,7.312631873,10.80493947,7.149198642,9.537831897,3.006246281,6.744562008,9.795919913,0.228363141
"BMR = 10%: Added, BMR: 0.1",46,8.642597964,11.0339866,9.616223783,6.773150657,10.33003017,3.006246281,5.293843553,9.978616408,0.15080701
