bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,MichaelisMenten,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,1,2.716220319,2.697377497,2.419550028,0.178949137,0.505920097,1.659984992,0.508700393,0.249491189,0.506272242
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,2,0.214947662,2.459727166,2.024725143,0.300456268,0.371268525,0.608069746,0.684657064,0.275821899,0.504239022
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,3,0.160729504,2.841395137,1.964682043,0.284153917,0.887111101,0.651568469,0.619117087,0.179642184,0.600709174
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,4,0.196745724,2.739809607,3.343354973,0.283658731,0.302558216,0.418053042,0.640505901,0.310602483,0.614708924
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,5,0.234008126,1.919844657,3.032198032,0.270626804,0.329410243,0.77740661,0.728108599,0.344528606,0.463028102
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,6,0.274244609,2.609546242,3.428463426,0.248518689,0.981559847,0.554195069,0.977232903,0.255519476,0.487132583
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,7,0.307114571,2.44126592,2.174184738,0.227795149,0.518642552,0.442892375,0.792884524,0.259257778,0.497492439
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,8,0.263781847,1.919310961,2.131400539,0.239324271,0.413709656,0.447827939,0.542115553,0.256445367,0.529110201
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,9,0.259950691,2.712131685,2.269121117,0.250921772,0.940748889,0.602473878,0.50459074,0.264417736,0.489022568
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,10,0.178694299,2.477764899,3.111723226,0.25189227,0.731202632,0.341091662,0.389640482,0.249677077,0.538320973
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,11,0.234604262,2.131927868,3.193549483,0.281174528,0.522545439,0.368887614,0.625946336,0.277992816,0.538695115
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,12,0.183660973,2.285753209,3.83239203,0.272035016,0.253857327,0.384169179,0.749393461,0.191806209,0.506759739
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,13,0.285717858,2.050328518,2.901130041,0.219750233,0.941396396,0.740373184,0.602252225,0.389515213,0.444741129
