bmr,index,model_average,Logistic,LogLogistic,Probit,QuantalLinear,DichotomousHill
"BMR = 10%: Added, BMR: 0.1",1,27.54526092,22.54807315,31.74112128,26.07969729,7.257901333,39.32118706
"BMR = 10%: Added, BMR: 0.1",2,24.16697772,22.54807315,42.96913095,24.76127607,6.196557339,31.3729745
"BMR = 10%: Added, BMR: 0.1",3,34.59115957,28.64720532,34.90922888,21.47081051,8.754206641,21.40139882
"BMR = 10%: Added, BMR: 0.1",4,28.77888173,23.16912781,42.59711271,23.29479918,9.049389947,29.0997691
"BMR = 10%: Added, BMR: 0.1",5,33.82122914,26.59616087,38.95345943,33.16878788,7.231656794,24.79067385
"BMR = 10%: Added, BMR: 0.1",6,20.73654454,23.46001445,35.36202571,29.85472558,6.327248423,6.410395028
"BMR = 10%: Added, BMR: 0.1",7,21.84581271,25.24865449,26.64669511,36.20690737,7.84214136,35.35112963
"BMR = 10%: Added, BMR: 0.1",8,21.27406764,22.42607716,25.79429528,32.51785551,10.50978746,45.82142205
"BMR = 10%: Added, BMR: 0.1",9,31.41637431,23.6535965,28.42900846,33.05949881,7.025859093,30.03355174
"BMR = 10%: Added, BMR: 0.1",10,20.10726212,24.27396801,50.92009942,30.98286523,6.406667626,38.74743742
"BMR = 10%: Added, BMR: 0.1",11,30.4836604,21.28302223,41.82744636,31.91175062,7.51118093,62.77700571
"BMR = 10%: Added, BMR: 0.1",12,20.39860065,29.53813312,54.37627896,22.23504281,6.836948724,26.59720291
"BMR = 10%: Added, BMR: 0.1",13,22.22468075,19.37573243,60.89119148,22.32495118,5.32111232,24.46952155
"BMR = 10%: Added, BMR: 0.1",14,18.28905191,29.33731731,36.19553588,23.87776598,6.077465199,20.84787896
"BMR = 10%: Added, BMR: 0.1",15,21.06712453,18.88565207,41.51945423,22.43509867,5.591686253,38.49521816
"BMR = 10%: Added, BMR: 0.1",16,21.333469,27.26968467,36.19916699,24.31707305,7.414891004,32.54474429
"BMR = 10%: Added, BMR: 0.1",17,18.31647715,22.75202481,35.91961857,25.32114335,7.433118393,19.24547951
"BMR = 10%: Added, BMR: 0.1",18,26.50011819,23.16375269,17.31214263,24.55318177,5.56969047,27.06026445
"BMR = 10%: Added, BMR: 0.1",19,34.37287203,24.07757208,31.57914981,22.34502457,8.949903686,22.76530238
"BMR = 10%: Added, BMR: 0.1",20,21.50996007,30.6631487,14.01149123,25.12920827,7.306820796,40.60145375
"BMR = 10%: Added, BMR: 0.1",21,22.78230154,46.31234145,40.31313586,23.8548235,11.83356018,24.73646624
"BMR = 10%: Added, BMR: 0.1",22,20.60686194,52.10358688,20.03815182,26.23187195,6.398666531,40.84796969
"BMR = 10%: Added, BMR: 0.1",23,33.44234262,46.6737562,29.07260094,26.76006368,9.348193628,38.06578636
"BMR = 10%: Added, BMR: 0.1",24,19.06930364,44.80521986,50.24047618,26.46338221,9.427837641,31.39016938
"BMR = 10%: Added, BMR: 0.1",25,33.17624566,37.47054754,48.47519729,24.5338243,8.489939624,38.75346912
"BMR = 10%: Added, BMR: 0.1",26,29.01814906,30.29759683,49.11187562,24.86501656,8.426577818,36.2333523
"BMR = 10%: Added, BMR: 0.1",27,22.99474001,34.86309575,35.25241492,25.15241958,4.139595836,37.41684713
"BMR = 10%: Added, BMR: 0.1",28,16.63117105,40.31719068,50.43707289,26.81209607,12.67315713,37.41684713
"BMR = 10%: Added, BMR: 0.1",29,17.88743824,28.59152734,53.81627579,23.68979277,11.51273743,27.08462588
"BMR = 10%: Added, BMR: 0.1",30,22.26638216,32.766452,61.67486553,23.7378745,11.71561222,31.25554282
"BMR = 10%: Added, BMR: 0.1",31,22.97163568,31.59650773,49.66588746,24.5612346,9.393639473,18.98784743
"BMR = 10%: Added, BMR: 0.1",32,23.21495081,32.27468042,31.28114018,30.28953924,6.646895521,27.39342058
"BMR = 10%: Added, BMR: 0.1",33,35.49238139,32.27468042,16.15774875,24.759625,5.861695274,29.47695092
"BMR = 10%: Added, BMR: 0.1",34,37.20168972,23.33486244,44.90919088,24.62997721,7.291340872,32.5757182
"BMR = 10%: Added, BMR: 0.1",35,23.64078572,22.36033483,20.71694651,24.6903559,5.455796026,27.83172264
"BMR = 10%: Added, BMR: 0.1",36,17.54703616,20.70888086,34.25482195,23.81043619,7.35597489,22.11905664
"BMR = 10%: Added, BMR: 0.1",37,18.63950457,24.14223387,62.09913115,24.13353146,7.250314187,21.37563737
"BMR = 10%: Added, BMR: 0.1",38,33.13136882,24.96459116,28.00501745,25.58150216,9.092270485,33.98052322
"BMR = 10%: Added, BMR: 0.1",39,23.30357725,25.76447572,19.85063247,24.57855532,8.379653067,29.20055709
"BMR = 10%: Added, BMR: 0.1",40,17.91077029,19.97515375,35.28519847,26.00054224,5.879948979,62.99045668
"BMR = 10%: Added, BMR: 0.1",41,22.51091609,25.34551226,27.6272274,26.70871799,5.284018554,24.81223494
"BMR = 10%: Added, BMR: 0.1",42,21.64399628,25.34551226,32.95348946,28.96050688,9.807198067,29.81776451
"BMR = 10%: Added, BMR: 0.1",43,30.18125717,25.34551226,28.19734756,29.52801904,4.575706045,10.99869434
"BMR = 10%: Added, BMR: 0.1",44,20.32230232,25.22158096,28.86492626,27.40076775,6.818695402,12.01431716
"BMR = 10%: Added, BMR: 0.1",45,30.22595045,40.31623159,54.25750611,28.90062232,7.323460773,15.1373628
"BMR = 10%: Added, BMR: 0.1",46,20.66280719,40.31623159,49.28567248,28.19380705,9.536175267,21.94155793
"BMR = 10%: Added, BMR: 0.1",47,27.10840306,43.40753442,63.15376972,24.36855065,8.135829528,22.55581219
"BMR = 10%: Added, BMR: 0.1",48,26.64438385,43.40753442,63.15376972,20.77034914,7.569477862,7.977866421
"BMR = 10%: Added, BMR: 0.1",49,21.98937164,43.40753442,63.15376972,20.77034914,8.645394283,9.469999511
"BMR = 10%: Added, BMR: 0.1",50,41.14785576,43.40753442,57.72507184,22.51373093,5.706909199,17.48427371
"BMR = 10%: Added, BMR: 0.1",51,23.47583419,40.76179912,53.49407801,22.77133947,6.655161602,8.332228791
"BMR = 10%: Added, BMR: 0.1",52,23.89885275,40.76179912,43.23652887,20.71835849,6.637683115,20.05822858
"BMR = 10%: Added, BMR: 0.1",53,21.73382032,40.76179912,54.20167058,20.71835849,6.637683115,28.82332214
"BMR = 10%: Added, BMR: 0.1",54,40.11931066,40.76179912,27.84828949,21.62219073,7.065230011,16.9788337
"BMR = 10%: Added, BMR: 0.1",55,21.35854853,40.76179912,34.85481194,22.50394367,6.161305372,21.12888264
"BMR = 10%: Added, BMR: 0.1",56,35.22682011,40.76179912,4.953716364,29.38816264,7.460670059,21.30146674
"BMR = 10%: Added, BMR: 0.1",57,33.71470165,40.76179912,11.31277005,24.41585121,6.496624064,41.12760033
"BMR = 10%: Added, BMR: 0.1",58,22.96074752,40.76179912,12.30056801,24.63870022,6.496624064,57.60493671
"BMR = 10%: Added, BMR: 0.1",59,23.38253763,40.76179912,19.30424229,31.90479931,5.161812845,60.18399198
"BMR = 10%: Added, BMR: 0.1",60,21.52438978,40.76179912,37.23642671,26.34562755,9.508713459,60.18399198
"BMR = 10%: Added, BMR: 0.1",61,21.28548856,40.76179912,33.48722016,26.73779807,10.4398888,60.18399198
"BMR = 10%: Added, BMR: 0.1",62,31.0704728,40.76179912,57.55743621,28.20259427,9.761978632,60.18399198
"BMR = 10%: Added, BMR: 0.1",63,22.25015824,40.76179912,53.08494524,26.74732852,4.684245899,60.18399198
"BMR = 10%: Added, BMR: 0.1",64,23.24373105,40.76179912,19.53675141,25.35164701,5.303458242,61.53247314
"BMR = 10%: Added, BMR: 0.1",65,27.56787365,40.76179912,33.76670326,26.73647361,6.279447975,59.16424899
"BMR = 10%: Added, BMR: 0.1",66,23.70609101,40.76179912,19.29050942,28.75045833,4.671852032,57.16049134
"BMR = 10%: Added, BMR: 0.1",67,29.1834588,40.42919241,20.02905459,32.41281691,4.403783488,38.78431502
"BMR = 10%: Added, BMR: 0.1",68,25.07374611,33.77600969,52.12519272,27.09477462,3.877770169,35.26731077
"BMR = 10%: Added, BMR: 0.1",69,20.44023571,33.77600969,35.64564807,24.65845096,4.337175311,68.31671712
"BMR = 10%: Added, BMR: 0.1",70,25.39874454,33.77600969,30.28650729,24.60207224,9.233162399,15.71127655
"BMR = 10%: Added, BMR: 0.1",71,25.39630622,33.77600969,22.0264433,22.29418261,6.84342062,48.79869772
"BMR = 10%: Added, BMR: 0.1",72,27.55900772,33.77600969,14.84192012,23.21031418,6.493633056,67.89631893
"BMR = 10%: Added, BMR: 0.1",73,20.96892713,22.00508861,28.0685393,24.38441404,7.436991506,63.26228427
"BMR = 10%: Added, BMR: 0.1",74,20.6421123,29.00821936,32.21476369,27.09453617,4.779306878,31.19498177
"BMR = 10%: Added, BMR: 0.1",75,16.75163978,20.75439019,25.51191474,24.38578066,8.217580072,18.55150211
"BMR = 10%: Added, BMR: 0.1",76,22.57230069,20.75439019,20.92804567,25.65572454,9.367155366,64.50792255
"BMR = 10%: Added, BMR: 0.1",77,27.6946121,38.53435767,18.29851455,29.87256182,6.047522725,44.49519513
"BMR = 10%: Added, BMR: 0.1",78,22.09529814,38.53435767,13.65185874,29.38794572,6.939913104,51.68003366
"BMR = 10%: Added, BMR: 0.1",79,26.4393897,19.62463888,12.70573072,29.39647333,9.581698368,64.55294664
"BMR = 10%: Added, BMR: 0.1",80,20.06133442,32.87266701,12.08484517,29.963507,6.525273271,27.04133334
"BMR = 10%: Added, BMR: 0.1",81,26.74323359,35.49238139,37.39291986,32.37339329,5.436828047,38.40485346
"BMR = 10%: Added, BMR: 0.1",82,23.5185169,15.34147479,25.77189088,34.34819055,9.059317728,28.09087931
"BMR = 10%: Added, BMR: 0.1",83,23.73252626,21.07496711,37.85602442,24.9002306,5.181939058,76.43341883
"BMR = 10%: Added, BMR: 0.1",84,19.23133408,21.82135064,45.54376331,22.37900417,9.907444801,38.31408549
"BMR = 10%: Added, BMR: 0.1",85,31.59224272,26.53363982,47.05605954,25.48652204,7.918425955,51.09872917
"BMR = 10%: Added, BMR: 0.1",86,26.15516379,23.67555505,25.01150767,29.20209408,6.107176387,37.51128113
"BMR = 10%: Added, BMR: 0.1",87,30.19892944,29.76943697,23.49635782,29.29794335,6.364735865,27.20328333
"BMR = 10%: Added, BMR: 0.1",88,35.74882766,31.83012357,35.35592149,27.92527713,7.5887468,31.22126993
"BMR = 10%: Added, BMR: 0.1",89,17.46110185,27.81671059,26.22214688,29.17528529,7.5887468,32.65751452
"BMR = 10%: Added, BMR: 0.1",90,23.57366361,17.28771231,23.57642567,28.21456249,7.367880757,21.65147412
"BMR = 10%: Added, BMR: 0.1",91,25.93909917,16.29828441,15.89883526,24.34246987,7.930593061,31.28859754
"BMR = 10%: Added, BMR: 0.1",92,25.67644994,23.09923507,25.84666468,25.56671425,7.281657813,35.94807934
"BMR = 10%: Added, BMR: 0.1",93,24.25715783,20.06809836,26.2092998,24.74847112,7.665439865,21.12244233
"BMR = 10%: Added, BMR: 0.1",94,34.43430353,24.72448749,26.07763671,24.24278989,6.598098204,36.94905757
"BMR = 10%: Added, BMR: 0.1",95,27.00627673,23.61695227,38.60834572,24.049203,12.00216324,29.53445955
"BMR = 10%: Added, BMR: 0.1",96,18.08167984,22.8522771,47.58131198,27.43056779,11.07691625,38.61977245
"BMR = 10%: Added, BMR: 0.1",97,30.08006833,30.170487,42.88856002,22.99244412,9.760332432,31.62817122
"BMR = 10%: Added, BMR: 0.1",98,23.01978166,33.77262703,37.6214378,24.22289969,10.78326788,26.33035702
"BMR = 10%: Added, BMR: 0.1",99,17.36589001,20.66091382,16.33330165,24.65728329,9.219837335,26.48838564
"BMR = 10%: Added, BMR: 0.1",100,29.87989951,20.27432044,23.83026626,22.09804303,7.898900806,43.62941129
"BMR = 10%: Added, BMR: 0.1",101,25.50204067,21.33724924,27.63583349,26.13475797,5.823614672,20.56931213
"BMR = 10%: Added, BMR: 0.1",102,23.12615131,25.07374611,37.88202161,25.43370356,9.464707866,16.02870287
"BMR = 10%: Added, BMR: 0.1",103,18.30685496,19.83791928,50.69801648,22.94739279,5.570729816,33.98186171
"BMR = 10%: Added, BMR: 0.1",104,23.45936083,20.91412531,63.54528607,22.76924759,10.88529752,24.92362116
"BMR = 10%: Added, BMR: 0.1",105,25.53032454,34.09021888,50.01741635,22.77965295,10.42334422,30.62548924
"BMR = 10%: Added, BMR: 0.1",106,19.8133268,16.02117177,48.02167294,27.18249953,9.833866661,24.91630365
"BMR = 10%: Added, BMR: 0.1",107,20.03870061,19.04635765,53.17448948,22.27844227,5.473562652,42.76663855
"BMR = 10%: Added, BMR: 0.1",108,33.66924874,17.07058007,49.71965009,21.55414528,6.07067878,52.98570845
"BMR = 10%: Added, BMR: 0.1",109,31.58083556,15.88121909,47.25296696,21.9312419,12.58579672,53.38062833
"BMR = 10%: Added, BMR: 0.1",110,20.83279058,14.99123596,44.55809759,23.19560312,7.867180319,33.41825708
"BMR = 10%: Added, BMR: 0.1",111,29.81089119,24.90635476,52.97048751,22.7190562,9.478666335,43.42932989
"BMR = 10%: Added, BMR: 0.1",112,26.4032523,23.02780594,27.07138454,22.7190562,4.190592542,37.13306325
"BMR = 10%: Added, BMR: 0.1",113,27.57353146,25.51994467,31.07912448,22.7190562,3.801989727,52.47592207
"BMR = 10%: Added, BMR: 0.1",114,24.78747428,21.92968707,18.86522913,22.11585893,6.621468361,68.13789879
"BMR = 10%: Added, BMR: 0.1",115,36.37830004,23.28131464,67.75314005,26.07584517,9.293395068,26.63686728
"BMR = 10%: Added, BMR: 0.1",116,35.72689602,25.59382186,29.60752355,26.07584517,7.75587913,23.99830211
"BMR = 10%: Added, BMR: 0.1",117,29.5270558,22.29716521,40.22228259,29.3361736,9.841333738,15.65090196
"BMR = 10%: Added, BMR: 0.1",118,18.72649869,22.29716521,35.7322805,30.77826963,17.53909106,30.52428097
"BMR = 10%: Added, BMR: 0.1",119,23.87433085,22.29716521,58.15808574,26.77641158,13.6763228,55.74857892
"BMR = 10%: Added, BMR: 0.1",120,23.86910426,22.94233787,74.32712588,28.14865638,15.42153219,90.45652432
"BMR = 10%: Added, BMR: 0.1",121,45.91146136,22.62980079,22.97759322,28.30993611,4.392717976,75.86431459
"BMR = 10%: Added, BMR: 0.1",122,23.73367211,12.3131913,28.60331341,24.22377644,5.26053826,67.31226328
"BMR = 10%: Added, BMR: 0.1",123,24.15211405,19.8776998,14.98968853,23.37908403,9.504438054,67.00263043
"BMR = 10%: Added, BMR: 0.1",124,16.51267043,20.51030039,32.18383642,22.66766507,6.211729021,45.01799925
"BMR = 10%: Added, BMR: 0.1",125,15.07455578,23.898312,59.47237425,28.05240497,6.667477979,48.17046693
"BMR = 10%: Added, BMR: 0.1",126,21.41203276,22.96648682,30.00576606,29.2802749,7.648700533,59.128728
"BMR = 10%: Added, BMR: 0.1",127,33.29906863,23.06743129,26.11839238,27.75180543,6.846238412,67.42736917
"BMR = 10%: Added, BMR: 0.1",128,17.35644122,24.4916559,13.46392135,37.5762757,8.814143171,24.38483486
"BMR = 10%: Added, BMR: 0.1",129,24.82894392,22.14901445,26.27548987,36.5305424,5.623663201,56.89813635
"BMR = 10%: Added, BMR: 0.1",130,32.92029891,21.76724638,12.96232963,38.22407654,9.722188543,67.49526431
"BMR = 10%: Added, BMR: 0.1",131,33.19170168,21.72210876,21.61431205,35.32632278,5.469724046,43.8090406
"BMR = 10%: Added, BMR: 0.1",132,18.60562901,30.40471798,30.04065714,25.56544999,6.457105687,43.8090406
"BMR = 10%: Added, BMR: 0.1",133,20.54517403,24.9804336,81.08464468,26.90926596,4.246415492,43.8090406
