model,index,a,b,c,g
Logistic,1,-3.01655,37.8691,,
Logistic,2,-3.01655,37.8691,,
Logistic,3,-3.44283,36.8052,,
Logistic,4,-2.95269,35.6602,,
Logistic,5,-2.91976,30.5386,,
Logistic,6,-2.67208,30.3764,,
Logistic,7,-2.90445,31.9129,,
Logistic,8,-2.8634,35.1666,,
Logistic,9,-2.71186,30.7744,,
Logistic,10,-1.45425,15.5671,,
Logistic,11,-1.72715,20.2441,,
Logistic,12,-2.84657,26.4646,,
Logistic,13,-2.76984,38.7444,,
Logistic,14,-3.15276,31.1894,,
Logistic,15,-2.18402,28.9913,,
Logistic,16,-2.84922,28.706,,
Logistic,17,-2.5496,29.3274,,
Logistic,18,-2.71395,31.4602,,
Logistic,19,-2.7424,30.7278,,
Logistic,20,-3.44317,34.391,,
Logistic,21,-4.28016,32.6869,,
Logistic,22,-4.60665,32.8198,,
Logistic,23,-4.43647,34.4266,,
Logistic,24,-4.58462,37.8653,,
Logistic,25,-4.30611,40.8086,,
Logistic,26,-3.73413,39.7915,,
Logistic,27,-4.03672,39.3792,,
Logistic,28,-3.98389,33.3109,,
Logistic,29,-3.33415,35.0019,,
Logistic,30,-3.47575,32.6834,,
Logistic,31,-3.4011,32.7122,,
Logistic,32,-3.47706,33.2019,,
Logistic,33,-3.47706,33.2019,,
Logistic,34,-3.04085,37.0506,,
Logistic,35,-2.27466,25.7152,,
Logistic,36,-1.38407,17.6812,,
Logistic,37,-1.59012,16.6825,,
Logistic,38,-1.44692,15.086,,
Logistic,39,-1.48871,14.9007,,
Logistic,40,-1.65809,20.8413,,
Logistic,41,-3.30439,38.9167,,
Logistic,42,-3.30439,38.9167,,
Logistic,43,-3.30439,38.9167,,
Logistic,44,-3.21817,37.4829,,
Logistic,45,-4.4025,39.3502,,
Logistic,46,-4.4025,39.3502,,
Logistic,47,-4.56732,38.8414,,
Logistic,48,-4.56732,38.8414,,
Logistic,49,-4.56732,38.8414,,
Logistic,50,-4.56732,38.8414,,
Logistic,51,-4.51035,40.5132,,
Logistic,52,-4.51035,40.5132,,
Logistic,53,-4.51035,40.5132,,
Logistic,54,-4.51035,40.5132,,
Logistic,55,-4.51035,40.5132,,
Logistic,56,-4.51035,40.5132,,
Logistic,57,-4.51035,40.5132,,
Logistic,58,-4.51035,40.5132,,
Logistic,59,-4.51035,40.5132,,
Logistic,60,-4.51035,40.5132,,
Logistic,61,-4.51035,40.5132,,
Logistic,62,-4.51035,40.5132,,
Logistic,63,-4.51035,40.5132,,
Logistic,64,-4.51035,40.5132,,
Logistic,65,-4.51035,40.5132,,
Logistic,66,-4.51035,40.5132,,
Logistic,67,-4.44179,39.8231,,
Logistic,68,-4.00495,40.1137,,
Logistic,69,-4.00495,40.1137,,
Logistic,70,-4.00495,40.1137,,
Logistic,71,-4.00495,40.1137,,
Logistic,72,-4.00495,40.1137,,
Logistic,73,-2.8983,36.4996,,
Logistic,74,-3.17189,31.8471,,
Logistic,75,-2.84203,37.5753,,
Logistic,76,-2.84203,37.5753,,
Logistic,77,-4.35333,40.4086,,
Logistic,78,-4.35333,40.4086,,
Logistic,79,-2.75118,37.8763,,
Logistic,80,-3.41381,31.634,,
Logistic,81,-3.54447,31.1596,,
Logistic,82,-1.92182,31.0377,,
Logistic,83,-1.89773,22.3112,,
Logistic,84,-2.31205,26.8893,,
Logistic,85,-2.03813,19.0827,,
Logistic,86,-2.30475,24.6856,,
Logistic,87,-2.68172,24.062,,
Logistic,88,-2.77719,23.6766,,
Logistic,89,-2.68806,25.8385,,
Logistic,90,-1.37768,21.1207,,
Logistic,91,-1.02833,19.5146,,
Logistic,92,-1.84225,19.7785,,
Logistic,93,-1.41578,18.5049,,
Logistic,94,-1.58316,16.2352,,
Logistic,95,-1.47745,16.1713,,
Logistic,96,-2.91466,35.4475,,
Logistic,97,-3.59485,37.5193,,
Logistic,98,-3.5638,33.0411,,
Logistic,99,-2.44198,30.4708,,
Logistic,100,-2.67917,35.2829,,
Logistic,101,-2.65755,33.1398,,
Logistic,102,-2.67029,28.3942,,
Logistic,103,-1.5683,20.0908,,
Logistic,104,-1.6265,19.5999,,
Logistic,105,-2.92914,23.9418,,
Logistic,106,-2.13997,33.3739,,
Logistic,107,-2.15336,28.2759,,
Logistic,108,-2.18938,32.1667,,
Logistic,109,-2.12339,33.3695,,
Logistic,110,-1.93688,32.0146,,
Logistic,111,-2.48438,25.8635,,
Logistic,112,-2.58916,29.6002,,
Logistic,113,-2.82705,30.3187,,
Logistic,114,-2.38291,27.8038,,
Logistic,115,-2.82922,33.272,,
Logistic,116,-2.38364,23.8327,,
Logistic,117,-1.75589,19.6053,,
Logistic,118,-1.75589,19.6053,,
Logistic,119,-1.75589,19.6053,,
Logistic,120,-2.20515,24.1386,,
Logistic,121,-2.41354,27.3945,,
Logistic,122,-1.50031,31.347,,
Logistic,123,-2.25421,28.6086,,
Logistic,124,-2.22273,27.2584,,
Logistic,125,-2.87023,33.1185,,
Logistic,126,-2.43948,27.3748,,
Logistic,127,-1.64628,17.943,,
Logistic,128,-1.74771,17.775,,
Logistic,129,-1.47748,17.2433,,
Logistic,130,-1.74357,19.958,,
Logistic,131,-2.21881,25.6833,,
Logistic,132,-3.48287,35.3405,,
Logistic,133,-3.19859,37.4782,,
Logistic,134,-3.15953,30.4488,,
Logistic,135,-2.76494,32.4151,,
Logistic,136,-3.29217,38.347,,
Logistic,137,-3.03465,38.6982,,
Logistic,138,-3.08672,37.7057,,
Logistic,139,-3.08672,37.7057,,
Logistic,140,-3.13364,36.0748,,
Logistic,141,-2.93386,36.8661,,
Logistic,142,-2.92643,34.071,,
Logistic,143,-2.70199,33.4856,,
Logistic,144,-2.78042,30.0107,,
Logistic,145,-3.0467,25.2357,,
Logistic,146,-2.9633,26.5668,,
Logistic,147,-2.9724,22.5154,,
Logistic,148,-2.28626,26.6871,,
Logistic,149,-1.88698,28.4228,,
Logistic,150,-2.27765,29.2511,,
Logistic,151,-2.30855,24.7595,,
Logistic,152,-2.9325,33.6697,,
Logistic,153,-2.79631,39.4943,,
Logistic,154,-2.88744,35.517,,
Logistic,155,-2.82114,25.2789,,
Logistic,156,-2.91402,32.9125,,
Logistic,157,-2.86548,26.2032,,
Logistic,158,-2.0798,25.5218,,
Logistic,159,-1.89396,25.3466,,
Logistic,160,-2.30634,23.1438,,
Logistic,161,-1.8339,20.9034,,
Logistic,162,-2.29527,28.7866,,
Logistic,163,-2.28355,23.7244,,
Logistic,164,-2.08191,20.4219,,
Logistic,165,-1.94917,22.2625,,
Logistic,166,-1.51617,17.316,,
Logistic,167,-1.3795,16.4699,,
Logistic,168,-1.4482,16.5458,,
Logistic,169,-1.4741,16.5631,,
Logistic,170,-2.85633,32.656,,
Logistic,171,-3.0609,39.2818,,
Logistic,172,-3.0609,39.2818,,
Logistic,173,-3.05075,39.2835,,
Logistic,174,-2.81287,27.6342,,
Logistic,175,-2.51691,33.7096,,
Logistic,176,-2.56582,30.9171,,
Logistic,177,-3.301,33.6538,,
Logistic,178,-1.84382,25.4271,,
Logistic,179,-2.05563,31.7297,,
Logistic,180,-1.79654,25.8247,,
Logistic,181,-3.09955,22.1295,,
Logistic,182,-2.70081,26.6175,,
Logistic,183,-2.80617,28.6147,,
Logistic,184,-3.02142,28.7595,,
Logistic,185,-2.79387,33.9797,,
Logistic,186,-2.9693,31.8685,,
Logistic,187,-3.25885,33.8236,,
Logistic,188,-3.80621,39.8448,,
Logistic,189,-3.64362,39.0354,,
Logistic,190,-3.64362,39.0354,,
Logistic,191,-3.51525,37.9881,,
Logistic,192,-2.56705,30.6719,,
Logistic,193,-2.80995,32.4575,,
Logistic,194,-1.97028,21.196,,
Logistic,195,-2.20388,21.2751,,
Logistic,196,-2.24693,19.5009,,
Logistic,197,-2.2809,24.2065,,
Logistic,198,-2.41624,23.3633,,
Logistic,199,-2.87781,38.9708,,
Logistic,200,-3.10494,29.0494,,
Logistic,201,-2.6962,31.4755,,
Logistic,202,-1.93416,19.5616,,
Logistic,203,-1.60373,21.3968,,
Logistic,204,-1.48207,18.3716,,
Logistic,205,-1.47088,18.3069,,
Logistic,206,-1.95344,18.4331,,
Logistic,207,-1.59221,20.5805,,
Logistic,208,-3.3043,34.5262,,
Logistic,209,-3.28786,31.0712,,
Logistic,210,-3.03428,29.3481,,
Logistic,211,-2.76666,31.6663,,
Logistic,212,-3.08907,27.9099,,
Logistic,213,-3.1819,30.8974,,
Logistic,214,-2.7806,34.711,,
Logistic,215,-2.35393,29.6807,,
Logistic,216,-2.01769,32.7004,,
Logistic,217,-2.24936,29.6769,,
Logistic,218,-2.49698,30.395,,
Logistic,219,-2.73761,37.2342,,
Logistic,220,-2.73615,36.9737,,
Logistic,221,-2.78125,29.1232,,
Logistic,222,-3.17045,30.2675,,
Logistic,223,-3.54425,32.3347,,
Logistic,224,-2.8347,36.541,,
Logistic,225,-2.85347,35.4481,,
Logistic,226,-2.89046,34.3146,,
Logistic,227,-2.49141,28.6971,,
Logistic,228,-2.43384,29.3804,,
Logistic,229,-3.16771,34.0857,,
Logistic,230,-2.83502,33.1415,,
Logistic,231,-2.63411,33.1458,,
Logistic,232,-3.18308,36.4566,,
Logistic,233,-2.05608,24.1171,,
Logistic,234,-1.54705,20.6074,,
Logistic,235,-1.6987,16.9787,,
Logistic,236,-1.19688,16.6301,,
Logistic,237,-1.15006,17.2261,,
Logistic,238,-1.08503,17.5168,,
Logistic,239,-1.31722,15.4644,,
Logistic,240,-2.12909,19.1385,,
Logistic,241,-1.61089,15.7794,,
Logistic,242,-3.15456,36.5146,,
Logistic,243,-3.62136,39.8585,,
Logistic,244,-2.91851,38.3739,,
Logistic,245,-3.10329,34.7922,,
Logistic,246,-1.70571,31.1054,,
Logistic,247,-1.81661,27.5213,,
Logistic,248,-1.98159,17.1977,,
Logistic,249,-1.81913,21.5831,,
Logistic,250,-2.37996,29.58,,
Logistic,251,-3.18432,39.7181,,
Logistic,252,-3.02714,29.8923,,
Logistic,253,-1.78696,24.7175,,
Logistic,254,-2.00947,25.6858,,
Logistic,255,-1.86604,23.123,,
Logistic,256,-2.17228,21.6164,,
Logistic,257,-2.34241,22.2025,,
Logistic,258,-1.98094,23.9676,,
Logistic,259,-2.22583,24.1985,,
Logistic,260,-1.26648,16.5754,,
Logistic,261,-1.43257,15.8453,,
Logistic,262,-2.1505,17.8087,,
Logistic,263,-2.10757,18.4593,,
Logistic,264,-2.98995,31.174,,
Logistic,265,-2.83952,30.0745,,
Logistic,266,-2.46152,30.1132,,
Logistic,267,-2.85383,27.0922,,
Logistic,268,-2.30075,27.6651,,
Logistic,269,-2.97742,31.7137,,
Logistic,270,-2.18487,27.6701,,
Logistic,271,-2.18487,27.6701,,
Logistic,272,-2.79142,25.3565,,
Logistic,273,-2.87649,30.2375,,
Logistic,274,-2.42465,31.8742,,
Logistic,275,-2.98013,28.0378,,
Logistic,276,-1.91308,27.8048,,
Logistic,277,-2.49176,26.8494,,
Logistic,278,-2.82143,28.1304,,
Logistic,279,-2.58403,23.7714,,
Logistic,280,-3.03587,33.9732,,
Logistic,281,-2.56273,25.268,,
Logistic,282,-2.61554,33.6617,,
Logistic,283,-2.90001,33.2929,,
Logistic,284,-3.18935,30.4928,,
Logistic,285,-2.9207,36.1658,,
Logistic,286,-2.62176,32.5959,,
Logistic,287,-2.81128,34.5802,,
Logistic,288,-2.81773,34.6039,,
Logistic,289,-2.31993,36.8649,,
Logistic,290,-3.29332,32.3236,,
Logistic,291,-2.10416,24.9124,,
Logistic,292,-2.26487,28.5637,,
Logistic,293,-2.60328,23.7742,,
Logistic,294,-1.56116,23.4221,,
Logistic,295,-3.78769,40.5136,,
Logistic,296,-3.35855,28.1202,,
Logistic,297,-3.27489,29.6104,,
Logistic,298,-2.81707,34.3655,,
Logistic,299,-2.6636,34.112,,
Logistic,300,-3.29476,36.4553,,
Logistic,301,-3.21765,35.552,,
Logistic,302,-3.30626,34.2322,,
Logistic,303,-3.60722,36.679,,
Logistic,304,-2.73563,34.4214,,
Logistic,305,-3.4047,36.8346,,
Logistic,306,-3.36756,34.3969,,
Logistic,307,-2.05507,27.3926,,
Logistic,308,-2.82145,38.4968,,
Logistic,309,-2.82145,38.4968,,
Logistic,310,-2.89415,30.4833,,
Logistic,311,-2.5123,30.1121,,
Logistic,312,-2.36169,26.181,,
Logistic,313,-2.55126,23.1907,,
Logistic,314,-2.6286,20.8946,,
Logistic,315,-2.71816,25.3051,,
Logistic,316,-2.80619,36.1529,,
Logistic,317,-2.55486,36.4126,,
Logistic,318,-2.42613,31.262,,
Logistic,319,-2.44058,31.2765,,
Logistic,320,-2.23917,35.046,,
Logistic,321,-2.27773,33.7414,,
Logistic,322,-2.50633,26.2098,,
Logistic,323,-2.44492,30.4901,,
Logistic,324,-2.42137,33.1058,,
Logistic,325,-1.72167,21.8753,,
Logistic,326,-2.47917,26.5688,,
Logistic,327,-2.80214,25.5629,,
Logistic,328,-2.76453,26.335,,
Logistic,329,-2.21437,26.326,,
Logistic,330,-1.97287,28.218,,
Logistic,331,-1.90563,27.4712,,
Logistic,332,-2.94707,31.5113,,
Logistic,333,-3.18526,30.7899,,
Logistic,334,-3.18526,30.7899,,
Logistic,335,-2.91138,31.717,,
Logistic,336,-2.55331,34.6951,,
Logistic,337,-1.41238,14.7887,,
Logistic,338,-1.62374,17.0512,,
Logistic,339,-1.01487,18.1521,,
Logistic,340,-1.59345,19.4405,,
Logistic,341,-2.02803,19.8056,,
Logistic,342,-2.24381,24.8924,,
Logistic,343,-2.23836,38.0011,,
Logistic,344,-2.23836,38.0011,,
Logistic,345,-2.56378,19.7252,,
Logistic,346,-2.6015,19.4627,,
Logistic,347,-2.57747,27.1183,,
Logistic,348,-2.27213,30.467,,
Logistic,349,-3.52684,38.4077,,
Logistic,350,-3.32486,35.9737,,
Logistic,351,-3.32486,35.9737,,
Logistic,352,-3.40069,37.5692,,
Logistic,353,-3.40069,37.5692,,
Logistic,354,-3.42944,39.5146,,
Logistic,355,-3.42944,39.5146,,
Logistic,356,-3.42944,39.5146,,
Logistic,357,-4.05446,39.2591,,
Logistic,358,-4.05446,39.2591,,
Logistic,359,-4.05446,39.2591,,
Logistic,360,-4.05446,39.2591,,
Logistic,361,-3.96583,37.2966,,
Logistic,362,-3.88904,38.5843,,
Logistic,363,-3.88904,38.5843,,
Logistic,364,-4.38105,38.6687,,
Logistic,365,-1.51327,20.4555,,
Logistic,366,-1.74969,18.9061,,
Logistic,367,-1.43593,19.0379,,
Logistic,368,-1.2955,18.3547,,
Logistic,369,-1.87839,25.3858,,
Logistic,370,-1.30021,19.392,,
Logistic,371,-0.80926,12.2789,,
Logistic,372,-1.74236,18.7722,,
Logistic,373,-1.67411,15.3897,,
Logistic,374,-1.75405,15.2315,,
Logistic,375,-1.16337,18.1087,,
Logistic,376,-1.67014,16.7382,,
Logistic,377,-1.6899,26.1263,,
Logistic,378,-2.83267,25.467,,
Logistic,379,-2.41795,26.3315,,
Logistic,380,-2.12167,28.71,,
