bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,1,34.73564573,30.98540076,37.54880946,17.42776407,50.20653798,29.50171008,48.22619945,54.98770224
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,2,34.42563051,33.28580631,33.2534363,15.06457945,52.76932763,50.16401489,64.90436506,50.09556552
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,3,34.90303743,34.74129213,33.97756031,15.66954626,44.45971223,82.87823463,56.80712523,51.46012747
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,4,34.73625733,34.34113601,37.88385755,19.36855404,24.02312332,25.60391747,49.91727377,51.3516762
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,5,40.3252974,34.25682647,42.82713133,18.25247174,38.55841613,63.63430684,68.51090541,52.94394656
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,6,40.95632701,33.71887951,34.92001842,14.37651929,32.52561764,29.71838858,66.16721566,52.44980923
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,7,34.50808078,32.76819089,35.71492154,14.91729842,35.17464541,46.16960575,64.49352474,54.33108328
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,8,30.29949883,33.76109186,36.54975239,19.11998849,59.33301774,40.46371161,51.21972402,47.90186847
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,9,36.72200343,36.29780146,35.37441836,18.61300523,106.7572541,59.50872167,65.53849634,51.38538889
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,10,33.05457385,35.22741091,43.71989166,19.20945994,114.7063203,30.25348808,52.70914441,45.1123664
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,11,33.10577574,35.03156968,44.32066102,17.4152145,89.01414322,37.69510893,49.4566164,45.1123664
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,12,33.84480714,35.38410528,36.71827044,18.71769552,44.85240645,34.17709427,67.26183263,55.31304102
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,13,36.44309685,37.31870733,38.14341243,18.94667194,79.02603095,25.55788828,56.28989143,55.479841
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,14,32.64414905,34.41870045,39.15363119,18.70571626,41.44456077,24.9090082,61.26279496,63.50955264
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,15,37.17632753,32.32205698,36.76755624,19.523162,21.01871582,26.66042696,80.85664951,52.37718523
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,16,29.9909924,38.00364704,38.12164242,15.88638203,34.11638162,30.84593355,66.38569164,46.65726957
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,17,33.91718258,34.34279148,44.76849478,14.63698796,24.33673082,25.10929602,100.7172822,47.03350084
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,18,32.81074132,40.57898223,50.42017261,15.07083952,26.04319825,32.87370861,118.7470777,47.70598761
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,19,34.72779087,34.10095627,38.03975636,15.8194193,22.66497897,35.39118878,112.0140055,48.46160639
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,20,37.81486605,35.77152771,44.12771845,19.09718505,41.77940962,23.93922625,118.8974282,47.16250318
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,21,32.20079752,35.42281195,40.36827355,16.1875797,23.61252719,50.1932989,56.53625379,50.11129055
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,22,31.27292848,35.54284019,51.21448292,21.62538013,50.82348581,30.62921977,55.75874048,48.26860559
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,23,30.61405278,31.6793057,41.79093206,18.47581532,73.23844011,30.75492927,83.78329611,51.47301317
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,24,33.68641556,31.84036172,67.87813199,20.09835992,128.8261513,52.50625283,56.29423482,51.03224818
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,25,34.36999167,36.33189336,52.73562876,16.08929143,47.69885184,63.30001413,55.03706012,48.05820834
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,26,38.11372183,35.62855769,49.70383088,13.29775302,45.58505595,71.36089726,68.16079215,51.81913374
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,27,33.9571504,36.43134556,43.28940774,24.09309063,82.73979894,37.87238897,51.50946803,50.07010597
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,28,30.96523616,36.96132057,82.69665426,17.35262773,92.1035679,43.99028718,82.55648375,49.87352951
