bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,MichaelisMenten,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,1,0.346431187,0.327614935,1.351098881,0.329503607,2.703461043,0.993501904,0.696937987,0.392765678,0.481518289
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,2,0.347246875,0.34101455,1.635558055,0.360351427,2.65240566,0.828535581,0.711445836,0.359016421,0.464521509
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,3,0.368449783,0.344110806,1.47446048,0.360351427,2.637981984,0.845560523,0.801737929,0.347873781,0.486852551
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,4,0.328998459,0.344110806,1.211078306,0.322184431,2.601276652,0.935367446,0.700195161,0.348825658,0.477751736
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,5,0.371057053,0.345530849,1.226393873,0.317176485,2.573415484,0.769360069,0.788592137,0.362849354,0.472321121
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,6,0.365666058,0.34903845,1.683041296,0.316440515,2.55230318,1.37517443,0.609483556,0.360897713,0.464633848
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,7,0.358612613,0.319523868,1.449036775,0.356562939,2.485670316,1.324255534,0.702717131,0.371010033,0.463561327
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,8,0.367366265,0.320602326,1.535378979,0.374837092,2.0993783,1.569162251,1.000221048,0.34746718,0.479688328
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,9,0.315524832,0.349337972,1.483579458,0.341181601,1.670904012,0.892758263,1.396666897,0.352568683,0.497846541
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,10,0.331872565,0.320540218,1.410216404,0.342720869,1.358320735,1.318206372,1.396666897,0.334658307,0.478078694
