bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,MichaelisMenten,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,1,1.664510239,0.926966956,1.801602948,0.766088403,1.852191414,1.998923252,1.990058115,0.697078028,0.774186165
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,2,2.025167522,0.905997953,1.941113216,0.757548541,1.86406893,2.150855516,2.04688655,0.763025082,0.759406787
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,3,1.889264785,0.918520661,2.028611093,0.744715402,1.882051471,2.077828682,1.883377198,0.68696315,0.811755444
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,4,2.247525979,0.836221235,2.486937672,0.899942715,1.888790209,2.090357768,1.774165556,0.66373629,0.763054433
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,5,2.02557405,0.808354306,2.214738324,0.803242513,1.95450504,2.019246933,1.901134621,0.754746869,0.780186699
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,6,1.866361117,0.870857935,2.081612121,0.814809264,2.166663965,2.087008524,2.007734946,0.717801428,0.882214456
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,7,2.393663788,0.849088684,1.66193409,0.804573871,2.078853403,1.705616575,2.079580179,0.75038456,0.775262281
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,8,1.803014204,0.895035298,2.609815905,0.890730477,2.11973516,1.670738693,2.068053478,0.65096056,0.860437343
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,9,1.972231072,0.889027124,2.088918787,0.810805874,2.095714799,2.313852676,2.082920341,0.704010088,0.930112468
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,10,2.26533119,0.962114321,1.954312789,0.805674372,1.894881023,2.203941077,1.597131449,0.70910788,0.943611033
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,11,2.022997529,0.903100112,1.625011991,0.782282301,1.924468943,2.096964137,2.333276123,0.801520278,0.743169674
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,12,1.803676018,0.88476455,1.681204818,0.813770534,1.924468943,2.217225146,2.191403691,0.781278594,0.83646775
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,13,1.818724258,0.915294964,2.136972835,0.871810429,1.954386223,1.894263793,2.226209218,0.902020385,0.803627594
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,14,2.709362313,0.891743933,2.147876337,0.818644419,2.042500422,2.134163592,2.202891155,0.778430746,0.841923307
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,15,1.722232483,0.912770971,2.262568925,0.783138935,2.066444736,2.065072241,2.288131679,0.778430746,0.898459582
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,16,1.872220591,0.87369929,2.262568925,0.758131619,1.921882358,2.384338301,2.177733087,0.893769819,0.768468183
