bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,1,0.156614769,0.164108346,0.359341991,0.121201298,0.115977046,0.23495715,0.352205946,0.214013339
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,2,0.210459067,0.262487945,0.379662303,0.056951889,0.129466295,0.311870982,0.349646384,0.243197575
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,3,0.144850279,0.15279959,0.379612983,0.04033545,0.121025234,0.139229894,0.349282542,0.203907617
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,4,0.192562274,0.158638237,0.374632665,0.096782972,0.193714083,0.173192837,0.350701513,0.249231065
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,5,0.144747067,0.177096326,0.374546167,0.109885071,0.11504065,0.214025893,0.350701513,0.215388164
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,6,0.147860838,0.151476332,0.375040659,0.141829827,0.111302647,0.167330595,0.350701513,0.231049514
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,7,0.133446837,0.245225342,0.375040659,0.100745195,0.246362307,0.231156866,0.351674153,0.236045478
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,8,0.155159171,0.155706712,0.362807323,0.140811393,0.350005376,0.464118642,0.340885965,0.267017466
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,9,0.176893253,0.211360546,0.375828047,0.155615875,0.376933632,0.383331899,0.347079919,0.247344646
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,10,0.171237358,0.177728364,0.375828047,0.650844769,0.215148065,0.336819299,0.364469271,0.257374775
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,11,0.348949999,0.122027381,0.355893336,0.03327782,0.139650526,0.21432295,0.372562313,0.304062021
