bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,MichaelisMenten,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,1,30.36808267,36.48294253,155.7987818,31.42996137,125.1412568,68.70703689,207.6684192,45.32359036,47.04541097
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,2,37.97393625,37.70603089,101.9888161,32.0924228,124.4322069,95.3885143,288.7275851,45.5499376,47.01856019
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,3,38.4835202,35.65996551,112.787818,30.5143722,228.1572348,162.7165455,306.0196532,42.16497269,50.59513706
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,4,38.04944515,36.32676721,200.0730272,30.87462184,244.1294966,188.0375443,311.5401299,46.16933993,45.57123331
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,5,30.15094749,35.72246658,82.8354839,31.79220502,220.4922584,156.75543,309.9531757,46.43447133,44.99529771
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,6,33.65180369,37.58852,98.38004387,29.60660355,259.5871727,166.5687046,304.9317482,32.49761368,48.10184667
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,7,37.49723015,35.84805871,129.5901508,31.66866733,229.9371648,177.1293867,304.9317482,39.19923886,52.18006275
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,8,45.3478176,37.05672013,68.8731718,30.69097389,229.1546771,87.19783417,298.0070654,46.33344573,44.26292412
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,9,42.5640076,37.31823671,115.3150842,34.538821,181.4993252,91.80141224,285.9589829,48.71191079,42.12281571
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,10,43.79540022,35.19084396,186.1813209,34.538821,186.5572242,84.5661306,309.434419,47.28151134,46.14024586
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,11,38.79137348,44.56045691,193.193677,36.85581824,190.3102271,64.1344938,309.434419,39.04621134,50.20484768
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,12,38.47734562,38.11132732,61.98517054,36.29876855,126.7028616,145.1213695,309.434419,27.82215698,52.02850589
