bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,1,12.92121585,43.62864496,32.62601839,0.394093002,1.454202183,281.1593292,19.75424073,26.5364557
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,2,14.50690897,44.27988927,34.72096599,1.486383055,1.711893671,273.7277787,40.96414353,11.64289707
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,3,12.08859941,23.16513601,48.7690243,1.895584981,1.551087089,300.3046804,59.00432777,13.71584948
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,4,14.21375288,14.18540131,26.54019429,2.13090973,1.703849316,342.6043324,56.20497231,11.54591256
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,5,10.84312119,14.13569077,33.6204129,0.691389148,1.703849316,199.7403014,58.4390626,10.95083807
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,6,8.480857443,32.86445574,43.61092859,0.529792293,1.703849316,277.242443,61.32908295,12.34009697
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,7,9.278432656,12.44131095,61.14940529,0.681037931,1.703849316,287.0687063,61.32908295,15.43971765
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,8,10.08807306,8.294217814,70.24776761,0.911287407,1.703849316,240.1634214,59.23434263,10.86722758
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,9,20.11869639,15.15159329,84.69517673,0.527797242,1.718183113,242.9970041,59.80860158,7.481690161
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,10,6.682300821,17.20348609,84.69517673,0.411997297,1.511822378,334.6696515,59.80860158,14.64626137
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,11,20.1545175,8.530438487,84.69517673,1.368570432,1.511822378,319.3078922,58.34371567,13.90648581
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,12,42.20057982,9.541419139,61.8795034,0.218184983,1.926592793,373.7970188,55.63110136,16.49363647
