bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,MichaelisMenten,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,1,92.00633067,116.7643828,89.83851857,27.06694666,49.23499057,27.73002819,104.2968578,29.44577607,91.17474176
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,2,49.76328577,102.4394715,103.532761,38.67402944,32.64781958,26.64439623,106.8285775,31.64582308,80.71488456
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,3,31.4622044,91.85290599,99.89756037,40.52127716,34.1953715,26.97354991,110.812595,27.76483008,92.39419159
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,4,48.82792682,82.25385081,100.4459221,38.24446477,35.4584855,30.48246263,108.5574379,24.21364647,76.24608689
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,5,42.77164071,80.9434441,96.44600923,37.49755785,35.4584855,27.73714763,97.84804672,34.65496842,93.71718414
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,6,42.68126896,94.75868543,94.23159129,38.32113834,31.60748234,33.96327324,84.83712477,29.04370026,95.53310425
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,7,37.90069786,103.485507,101.7201222,31.15201575,37.25811794,27.34275736,98.28530594,39.79703964,90.650486
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,8,27.0100558,94.63894978,95.99646233,36.88361702,36.74651062,34.80669523,84.26094703,47.0692257,89.30716291
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,9,35.88827079,110.9162664,99.13119938,34.15992737,41.22973225,32.25993637,91.67967131,43.85216664,93.69920205
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,10,21.89809359,88.2824235,100.4491457,35.43280273,62.03671479,24.44557972,94.6941602,41.51086708,90.20912893
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,11,44.86478944,94.23940674,94.49356984,38.94058338,60.21881418,30.55983678,79.70290597,45.3074132,83.9931394
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,12,40.22881132,93.06786636,92.33073321,39.76168386,24.28704399,30.43217295,85.12514689,37.20671875,87.34509797
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,13,46.2323196,85.43276546,88.25266885,44.24970456,31.06741409,31.23932064,91.84931606,37.64242163,88.1907709
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,14,36.40294661,87.78682963,91.34348624,34.36438339,40.74202829,26.31288941,100.9907362,46.32107237,81.94526693
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,15,33.27076227,91.70590978,97.71202307,29.74576683,44.26872636,28.71334914,89.35102738,22.34788041,87.76028421
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,16,34.2487678,89.46507884,98.74079609,39.98637829,46.50598784,29.89901055,75.70990451,27.32333465,96.86878253
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,17,39.08709354,89.69109925,92.23127155,36.64825929,38.97508894,21.78645618,98.05434557,23.58070144,81.81394016
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,18,35.06098267,89.69109925,92.0068554,30.63390529,37.10935648,23.00301978,91.06594431,22.8402402,81.81394016
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,19,29.23643675,89.69109925,108.0720488,28.09794337,26.26589947,20.91816892,88.8353998,30.18046217,81.03846973
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,20,43.14463419,99.84947907,108.9741634,36.56851936,44.27449812,28.69186285,98.07561339,29.62935863,76.33484782
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,21,43.47604956,90.39711528,97.07968412,45.81477693,44.74562663,37.69453901,84.7986328,23.70230348,86.30512613
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,22,37.07995188,92.68899753,91.3508335,48.9100903,42.77265217,28.57601807,79.26462854,31.37500487,81.33739417
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,23,42.14936506,100.577539,117.0471543,39.34734157,42.74165106,33.56073916,81.19521896,26.21055521,79.66715444
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,24,46.18420235,95.13667489,88.91123433,27.80078348,38.92369268,44.41000274,85.10865226,30.93599664,88.70563082
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,25,34.432141,96.479361,99.26298365,23.1538178,33.21741995,40.85976972,84.65880294,30.41452924,90.90495064
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,26,31.10290298,98.13267511,91.17031692,25.12661109,26.28092983,41.07043307,85.66649303,32.43408611,77.38939675
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,27,31.45703505,91.47845408,106.3200973,23.86692021,33.75615972,36.73127986,93.41900748,23.64837667,99.74971713
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,28,30.1824205,82.45561303,107.9536447,38.31486408,43.88365946,32.23821038,93.23425371,19.35588777,90.39227223
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,29,32.71830081,91.14108078,102.4271224,36.77111525,41.74432237,34.81546071,71.16941165,27.92597802,78.57467128
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,30,38.38358333,92.63720697,96.27300096,36.69033407,37.111802,44.94529831,101.1211497,30.063007,94.38618015
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,31,31.87666465,95.34543143,102.5650426,45.20378422,31.14707584,45.80479476,91.99855182,36.35264839,94.25738093
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,32,33.39086006,85.21831595,103.6089279,46.39321199,36.35109417,29.93827714,99.78497552,28.98725914,88.3481377
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,33,35.14370599,83.649978,124.0279581,49.49368173,45.49322302,38.35233298,93.49918681,38.993636,93.17433926
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,34,28.8044877,96.38950486,88.59736316,40.56112042,44.99924491,32.52169227,94.12946573,36.39100401,93.00703555
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,35,26.69542397,95.17909572,100.4287464,38.01079006,60.47505301,41.61128921,90.64034651,44.82688091,86.92644457
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,36,33.60945309,91.81635961,98.86735391,39.34342191,48.70191733,33.75633847,87.54932225,41.55349887,91.63991922
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,37,29.82081674,87.58017386,100.0111817,35.80100251,42.84147591,34.66444821,86.67472339,42.18996694,80.94648271
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,38,36.2083457,83.61720991,101.9248521,31.82687643,41.02656814,33.7028874,85.43393687,43.42550939,87.52595615
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,39,48.27679926,88.19123725,100.0729309,28.95551238,45.14821223,28.70404762,98.42699355,31.62960696,88.26567293
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,40,35.29269503,86.48679119,105.5545562,23.53574504,47.88902294,28.82808064,96.99831856,46.25571314,80.45295628
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,41,38.681122,93.01970508,122.6573689,44.14864838,39.54820625,32.06135023,81.26719723,45.96022749,87.50333357
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,42,25.23176178,98.01101675,116.9507049,30.59964737,32.19996654,28.9370272,95.6819081,39.85008525,83.40629706
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,43,37.96573375,89.94478689,94.07389653,34.16660903,35.34623336,24.10879722,88.7804184,27.62605254,85.39846818
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,44,40.93291322,89.32234952,99.14460369,31.35834505,33.69548233,30.24012691,86.76292475,31.14832138,91.49917585
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,45,29.33576282,100.7686484,98.62703733,36.41493218,26.5623806,25.56069219,86.07576121,22.08464944,95.60137975
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,46,23.30654326,94.41082217,103.5005741,38.48800981,34.38720941,29.8384321,100.342689,25.5996806,101.5709026
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,47,31.45499214,90.94449808,103.1406661,32.61890156,29.75331324,38.39416861,82.32880571,29.15702758,85.05606922
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,48,35.35463458,100.974216,101.5645548,32.81730432,41.22984936,45.9566779,88.70854051,26.66854202,86.49227887
