"X50.","X5.","X95.","CAS"
2.4338580445,0.08101881715,12.5933013985,"100-01-6"
109.886369,78.874148189,392.477909335,"105-60-2"
3.492671543,1.38668985845,19.497001425,"106-46-7"
0.047900053,0.03030291305,0.0822875505,"106-47-8"
43.51905228,30.6601258885,277.04512458,"108-95-2"
30.97438821,23.087973713,42.083786575,"115-96-8"
279.11291215,52.909683369,324.508395,"117-84-0"
4.6135441465,2.7565300083,11.2107899615,"13674-87-8"
19.43763738,4.1064522701,66.4244858805,"149-30-4"
0.2651103435,0.11094358035,0.4122545376,"1763-23-1"
0.1816743565,0.0670804301,0.40155663255,"2385-85-5"
30.201387645,14.6425590295,154.9125569,"29420-49-3"
0.7933309625,0.45967321515,1.5516183491,"375-95-1"
0.9676155675,0.3244471665,50.8515839424998,"72-55-9"
3.874168249,1.85059459155,5.11923900245,"75-60-5"
11.379251815,3.76396829005,20.873662745,"77-47-4"
1737.947205,1154.71172305,2605.95921825,"78-93-3"
221.08715685,171.026668305,412.663192775,"85-68-7"
200.36168235,106.378265105,400.93891199,"92-52-4"
2.899559235,0.2937233153,56.2112305335,"92-84-2"
0.3903467065,0.07200328485,65.2298354549998,"93-76-5"
3.279781896,0.96798170265,24.936766151,"95-94-3"
0.272491805,0.1812258402,0.814653166849998,"98-95-3"
2.815000765,0.01236321925,18.5842675735,"99-08-1"
0.1995491535,0.16782395585,0.2467023862,"99-65-0"
10.1940661,3.78565699665,26.856664517,"99-99-0"
