NAME,DESCRIPTION,SEQAPASS,GENE_SYMBOLS,GENE_NAMES,GENE_URLS,AOP,EVENT,HIT_CALL,TOP,SCALED_TOP,AC50,LOGAC50,BMAD,MAXMED,MAXMED_UNITS,MAXMEDCONC,CUTOFF,FLAGS,MODLACC,MODLAC10,MODLACB,STOCK_CONCENTRATION,INTENDED_TARGET_FAMILY
ATG_RORb_TRANS_dn,ATG_RORb_TRANS_dn was not developed or optimized to detect loss of signal. Use data with caution.,NP_008845.2,RORB,RAR-related orphan receptor B,https://www.ncbi.nlm.nih.gov/gene/6096,,,Active,2.3818621567844027,1.5092244474872794,0.09231460273917473,-1.0347295948849922,0.3156405477992336,2.049432221403482,log2_fold_induction,-0.522878745280338,1.5782027389961681,"[""Hit-call potentially confounded by overfitting""]",-0.9980932393356913,-1.057294583599105,-1.1540099452055328,20,nuclear receptor
ATG_RXRb_TRANS_up,"Data from the assay component ATG_RXRb_TRANS was analyzed into 1 assay endpoint. This assay endpoint, ATG_RXRb_TRANS_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene RXRB. Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is non-steroidal.",NP_068811.1,RXRB,"retinoid X receptor, beta",https://www.ncbi.nlm.nih.gov/gene/6257,,,Active,4.830775952161531,4.862890987012881,74.29226012860568,1.8709435707117472,0.19867917932204862,4.025646626837223,log2_fold_induction,2.30102999566398,0.9933958966102431,,1.4685639125100738,1.2871297595564928,1.2167271312781374,20,nuclear receptor
BSK_3C_TissueFactor_down,"Data from the assay component BSK_3C_TissueFactor was analyzed into 2 assay endpoints. This assay endpoint, BSK_3C_TissueFactor_down, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene F3. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cytokine"" intended target family, where the subfamily is ""coagulation factor"".",NP_001984.1,F3,"coagulation factor III (thromboplastin, tissue factor)",https://www.ncbi.nlm.nih.gov/gene/2152,,,Active,0.2570025959747111,1.9740481026786645,39.99999999999999,1.6020599913279623,0.04339688170481999,0.209389695,log10_fold_induction,1.60205999132796,0.13019064511446,"[""Only one conc above baseline, active"",""Less than 50% efficacy""]",1.6020599913279623,1.6020599913279623,-0.7926264223290655,20,cytokine
LTEA_HepaRG_CYP1A1_up,Change in transcription factor expression relative to control (delta-delta-ct) for HepaRG cell cultures in an induction preparation. The adherent cells have some metabolic capability. Expression measured by inducible reporter assay using Fluidigm qRT-PCR to monitor. Suffix _up indicates curve fitting for increase in expression (induction).,NP_000490.1,CYP1A1,"cytochrome P450, family 1, subfamily A, polypeptide 1",https://www.ncbi.nlm.nih.gov/gene/1543,"[57,57]",,Active,2.24062408661146,2.4879770368303524,48.100043630006226,1.6821454703086,0.300193564683644,1.73090140005415,log2_fold_induction,2,0.900580694050932,"[""Only highest conc above baseline, active"",""Only highest conc above baseline, active""]",1.55480528675006,1.55480528675006,0.978112612814751,20,cyp
LTEA_HepaRG_IL6R_dn,Change in transcription factor expression relative to control (delta-delta-ct) for HepaRG cell cultures in an induction preparation. The adherent cells have some metabolic capability. Expression measured by inducible reporter assay using Fluidigm qRT-PCR to monitor. Suffix _dn indicates curve fitting for decrease in expression (down).,NP_000556.1,IL6R,interleukin 6 receptor,https://www.ncbi.nlm.nih.gov/gene/3570,,,Active,0.48809666733241,1.2465330926299074,32.303006490536085,1.50924294466813,0.130521114981027,0.39619983419953,log2_fold_induction,2,0.391563344943081,"[""Only highest conc above baseline, active"",""Borderline active"",""Less than 50% efficacy"",""Only highest conc above baseline, active"",""Borderline active"",""Less than 50% efficacy""]",2.26064551548772,2.26064551548772,0.330175255318197,20,cytokine receptor
TOX21_ARE_BLA_agonist_ratio,"Data from the assay component TOX21_ARE_BLA_Agonist_ratio was analyzed into 1 assay endpoint.  This assay endpoint, TOX21_ARE_BLA_Agonist_ratio, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity.  Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene NFE2L2. Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints and this ratio serves a reporter gene function to understand target activity.  To generalize the intended target to other relatable targets, this assay endpoint is annotated to the DNA binding intended target family, where the subfamily is basic leucine zipper.  ",NP_006155.2,NFE2L2,"nuclear factor, erythroid 2-like 2",https://www.ncbi.nlm.nih.gov/gene/4780,"[61,61]",[478],Active,28.7995635261559,1.439978176307795,62.042769703828874,1.79269117728212,2.50978290890691,21.0373345407,percent_activity,1.95424250943932,20,"[""Only highest conc above baseline, active"",""Borderline active"",""Less than 50% efficacy"",""Borderline active"",""Only highest conc above baseline, active"",""Less than 50% efficacy""]",1.94353311073255,1.60189523179539,1.38901099279622,20,dna binding
TOX21_DT40,"Data from the assay component TOX21_DT40 was analyzed into 1 assay endpoint. This assay endpoint, TOX21_DT40, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of viability reporter, loss-of-signal activity can be used to understand changes in the viability. Furthermore, this assay endpoint can be referred to as a primary readout, because the performed assay has only produced 1 assay endpoint.",, , , ,,,Active,37.1582859583166,1.5482220401523965,75.17685897445651,1.87608417614557,4.0001030208237,28.5290338177,percent_activity,1.95424250943932,24.0006181249422,"[""Only highest conc above baseline, active"",""Less than 50% efficacy"",""Borderline active"",""Only highest conc above baseline, active"",""Less than 50% efficacy"",""Borderline active""]",1.91499454570728,1.8281648334707,1.73384762368565,20,cell cycle
TOX21_ERa_LUC_VM7_Agonist,"Data from the assay component TOX21_ERa_LUC_VM7_Agonist was analyzed into 1 assay endpoint. This assay endpoint, TOX21_ERa_LUC_VM7_Agonist, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity.  Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene ESR1.  Furthermore, this assay endpoint can be referred to as a primary readout, because the performed assay has only produced 1 assay endpoint. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is steroidal.",NP_000116.2,ESR1,estrogen receptor 1,https://www.ncbi.nlm.nih.gov/gene/2099,"[200,200,29,165,53,52,167,112,30,67,29,165,53,52,30,67,112,167]",[1181],Active,49.3029165133818,2.46514582566909,54.020916409320414,1.73256194727341,2.77515618820713,33.8144021562,percent_activity,1.95424250943932,20,"[""Less than 50% efficacy"",""Less than 50% efficacy""]",1.60117110195597,1.18433493893245,0.976725885557382,20,nuclear receptor
TOX21_RT_HEPG2_FLO_16hr_ctrl_viability,"TOX21_RT_HEPG2_FLO_16hr_ctrl_viability used a dead cell DNA stain where an increase in measured fluorescence indicated a loss of cell viability.  The assay component endpoint is part of a kinetic analysis of cell death with additional exposure times measured in other assay components as well as live cells measured with a vital dye, e.g. TOX21_RT_HEK293_GLO_08hr_viability",, , , ,,,Active,37.5647081620034,1.3587283608794525,5.737425660350437,0.758717071441396,4.60782660753093,31.3039237365,percent_activity,0.845098040014257,27.6469596451856,"[""Only one conc above baseline, active"",""Borderline active"",""Hit-call potentially confounded by overfitting"",""Cell viability assay fit with gnls winning model"",""Less than 50% efficacy"",""Only one conc above baseline, active"",""Borderline active"",""Cell viability assay fit with gnls winning model"",""Hit-call potentially confounded by overfitting"",""Less than 50% efficacy""]",0.814371357338437,0.729356346162307,0.63943675767905,20,cell cycle
TOX21_RT_HEPG2_FLO_24hr_viability,"TOX21_RT_HEPG2_FLO_24hr_viability used a dead cell DNA stain where an increase in measured fluorescence indicated a loss of cell viability.  The assay component endpoint is part of a kinetic analysis of cell death with additional exposure times measured in other assay components as well as live cells measured with a vital dye, e.g. TOX21_RT_HEK293_GLO_08hr_viability",, , , ,,,Active,44.8931313749156,1.6366410751939082,5.735784290966185,0.758592810197292,4.57167345723585,37.4109445276,percent_activity,0.845098040014257,27.4300407434151,"[""Hit-call potentially confounded by overfitting"",""Borderline active"",""Cell viability assay fit with gnls winning model"",""Less than 50% efficacy"",""Hit-call potentially confounded by overfitting"",""Cell viability assay fit with gnls winning model"",""Borderline active"",""Less than 50% efficacy""]",0.783105978354767,0.714011142340071,0.63931249619941,20,cell cycle
