NAME,DESCRIPTION,SEQAPASS,GENE_SYMBOLS,GENE_NAMES,GENE_URLS,AOP,EVENT,HIT_CALL,TOP,SCALED_TOP,AC50,LOGAC50,BMAD,MAXMED,MAXMED_UNITS,MAXMEDCONC,CUTOFF,FLAGS,MODLACC,MODLAC10,MODLACB,STOCK_CONCENTRATION,INTENDED_TARGET_FAMILY
ATG_Ahr_CIS_dn,ATG_Ahr_CIS_dn was not developed or optimized to detect loss of signal. Use data with caution.,NP_001612.1,AHR,aryl hydrocarbon receptor,https://www.ncbi.nlm.nih.gov/gene/196,,,Active,1.2153580617834814,1.226795797620464,0.12598626806710542,-0.8996767884354409,0.19813534805724511,1.1145283880263868,log2_fold_induction,-0.522878745280338,0.9906767402862255,"[""Hit-call potentially confounded by overfitting"",""Borderline active"",""Only one conc above baseline, active""]",-0.8187954590773372,-0.902058527251854,-1.0194542485158333,20,dna binding
ATG_BRE_CIS_dn,ATG_BRE_CIS_dn was not developed or optimized to detect loss of signal. Use data with caution.,NP_005891.1,SMAD1,SMAD family member 1,https://www.ncbi.nlm.nih.gov/gene/4086,,,Active,1.2195507124345761,1.3316553313789345,1.638841669331759,0.21453699783100746,0.183163117917566,1.0163018123291008,log2_fold_induction,0.301029995663981,0.91581558958783,"[""Hit-call potentially confounded by overfitting"",""Borderline active""]",0.2744511492310912,0.20376758207388462,0.09525663582297607,20,dna binding
ATG_Ets_CIS_up,"Data from the assay component ATG_Ets_CIS was analyzed into 1 assay endpoint. 
This assay endpoint, ATG_Ets_CIS_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene ETS1. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the dna binding intended target family, where the subfamily is winged helix-turn-helix.",NP_005229.1,ETS1,v-ets avian erythroblastosis virus E26 oncogene homolog 1,https://www.ncbi.nlm.nih.gov/gene/2113,,,Active,0.6437827517860267,1.7768573543544348,0.35807238529096996,-0.4460291706892667,0.07246307647694375,0.6427410465416526,log2_fold_induction,-0.0969100130080564,0.3623153823847187,"[""Hit-call potentially confounded by overfitting"",""Borderline active""]",-0.43232109436017907,-0.4826027076362354,-0.5653158934554188,20,dna binding
ATG_FXR_TRANS_up,"Data from the assay component ATG_FXR_TRANS was analyzed into 1 assay endpoint. 
This assay endpoint, ATG_FXR_TRANS_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene NR1H4. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is non-steroidal.",NP_001193922.1,NR1H4,"nuclear receptor subfamily 1, group H, member 4",https://www.ncbi.nlm.nih.gov/gene/9971,"[27,61,27,61]",[479],Active,1.0778822491687068,1.3012122969235211,0.5167773552368827,-0.28669652502677356,0.16567354177595192,0.898235344931797,log2_fold_induction,-0.0969100130080564,0.8283677088797596,"[""Borderline active"",""Hit-call potentially confounded by overfitting""]",-0.14388560305178164,-0.30524871519111185,-0.548199332502415,20,nuclear receptor
ATG_HIF1a_CIS_up,"Data from the assay component ATG_HIF1a_CIS was analyzed into 1 assay endpoint. 
This assay endpoint, ATG_HIF1a_CIS_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene HIF1A. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the dna binding intended target family, where the subfamily is basic helix-loop-helix protein.",NP_001521.1,HIF1A,"hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)",https://www.ncbi.nlm.nih.gov/gene/3091,"[122,123,220,150,122,123,220,150]",[801],Active,1.3762450785302354,1.797870928702287,5.193716216426256,0.7154782161813993,0.15309720587379613,1.1468708988389298,log2_fold_induction,2.30102999566398,0.7654860293689807,,0.9803675842101371,-0.09554961393605355,-1.8620225832474817,20,dna binding
ATG_HSE_CIS_dn,ATG_HSE_CIS_dn was not developed or optimized to detect loss of signal. Use data with caution.,NP_005517.1,HSF1,heat shock transcription factor 1,https://www.ncbi.nlm.nih.gov/gene/3297,,,Active,0.8554503385948626,1.8011171139679552,163.59085009299827,2.2137590092054262,0.09499108436211133,0.7128752898859934,log2_fold_induction,2.30102999566398,0.47495542181055667,"[""Hit-call potentially confounded by overfitting"",""Only one conc above baseline, active""]",2.225797008019597,2.176079746119516,2.0944786954994945,20,dna binding
ATG_IR1_CIS_dn,ATG_IR1_CIS_dn was not developed or optimized to detect loss of signal. Use data with caution.,NP_001193922.1,NR1H4,"nuclear receptor subfamily 1, group H, member 4",https://www.ncbi.nlm.nih.gov/gene/9971,,,Active,0.6932438955016934,1.4151503227273632,60.83960422137038,1.7841863801831637,0.09797459455270192,0.6399411397713406,log2_fold_induction,2.30102999566398,0.4898729727635096,"[""Borderline active"",""Hit-call potentially confounded by overfitting""]",1.9692206712835651,1.719686891571803,1.3217189252688775,20,nuclear receptor
ATG_MRE_CIS_dn,ATG_MRE_CIS_dn was not developed or optimized to detect loss of signal. Use data with caution.,NP_005946.2,MTF1,metal-regulatory transcription factor 1,https://www.ncbi.nlm.nih.gov/gene/4520,,,Active,1.127757049468166,1.8751196865405029,3.0906370872582527,0.4900480117749221,0.12028640705584168,0.9397975412518164,log2_fold_induction,0.845098040014257,0.6014320352792084,"[""Hit-call potentially confounded by overfitting""]",0.5280583061600923,0.27523682522468984,-0.13604286555697365,20,dna binding
ATG_SREBP_CIS_dn,ATG_SREBP_CIS_dn was not developed or optimized to detect loss of signal. Use data with caution.,NP_004167.3,SREBF1,sterol regulatory element binding transcription factor 1,https://www.ncbi.nlm.nih.gov/gene/6720,,,Active,0.5020824189127738,1.381844722222785,148.43181039218487,2.1715269844829947,0.07266842805682862,0.41840222493118767,log2_fold_induction,2.30102999566398,0.3633421402841431,"[""Less than 50% efficacy"",""Borderline active"",""Hit-call potentially confounded by overfitting"",""Only one conc above baseline, active""]",2.248998014691148,2.150224651215217,1.9947180511486615,20,dna binding
LTEA_HepaRG_CYP1A1_up,Change in transcription factor expression relative to control (delta-delta-ct) for HepaRG cell cultures in an induction preparation. The adherent cells have some metabolic capability. Expression measured by inducible reporter assay using Fluidigm qRT-PCR to monitor. Suffix _up indicates curve fitting for increase in expression (induction).,NP_000490.1,CYP1A1,"cytochrome P450, family 1, subfamily A, polypeptide 1",https://www.ncbi.nlm.nih.gov/gene/1543,"[57,57]",,Active,0.970314753293581,1.0774323275007993,38.085742909959905,1.58076243146805,0.300193564683644,0.999556861027315,log2_fold_induction,2,0.900580694050932,"[""Borderline active"",""Only highest conc above baseline, active"",""Borderline active"",""Only highest conc above baseline, active""]",1.71964726237877,1.71964726237877,1.46148201462026,20,cyp
