NAME,DESCRIPTION,SEQAPASS,GENE_SYMBOLS,GENE_NAMES,GENE_URLS,AOP,EVENT,HIT_CALL,TOP,SCALED_TOP,AC50,LOGAC50,BMAD,MAXMED,MAXMED_UNITS,MAXMEDCONC,CUTOFF,FLAGS,MODLACC,MODLAC10,MODLACB,STOCK_CONCENTRATION,INTENDED_TARGET_FAMILY
ATG_PPARg_TRANS_up,"Data from the assay component ATG_PPARg_TRANS was analyzed into 1 assay endpoint. 
This assay endpoint, ATG_PPARg_TRANS_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene PPARG. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is non-steroidal.",NP_056953.2,PPARG,peroxisome proliferator-activated receptor gamma,https://www.ncbi.nlm.nih.gov/gene/5468,"[72,36,58,34,163,34,36,58,72,163]",,Active,2.4782187358676433,2.1597332147873765,28.31721773700062,1.452050580203228,0.2294930428350727,2.4581190482621604,log2_fold_induction,2.30102999566398,1.1474652141753636,,1.426064371821811,1.2845245897998663,1.0667510388355919,20,nuclear receptor
ATG_PPRE_CIS_up,"Data from the assay component ATG_PPRE_CIS was analyzed into 1 assay endpoint. 
This assay endpoint, ATG_PPRE_CIS_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene PPARA and PPARD and PPARG. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is non-steroidal.","NP_005027.2|NP_006229.1|NP_056953.2","PPARA | PPARD | PPARG","peroxisome proliferator-activated receptor alpha , peroxisome proliferator-activated receptor delta , peroxisome proliferator-activated receptor gamma","https://www.ncbi.nlm.nih.gov/gene/5465 , https://www.ncbi.nlm.nih.gov/gene/5467 , https://www.ncbi.nlm.nih.gov/gene/5468",,,Active,1.2553081761167508,1.4019757331900755,39.93261468778619,1.6013277476423797,0.1790770191521653,1.0460901474438367,log2_fold_induction,2.30102999566398,0.8953850957608266,"[""Borderline active""]",2.020070623098913,1.4680135531179688,0.5917721975186216,20,nuclear receptor
BSK_BT_xIL6_up,"Data from the assay component BSK_BT_xIL6 was analyzed at the endpoint, BSK_BT_xIL6_up, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of  cytokine quantitation reporter, gain-of-signal activity can be used to understand protein changes. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'cytokine' intended target family, where the subfamily is 'interleukins'.",NP_000591.1,IL6,interleukin 6,https://www.ncbi.nlm.nih.gov/gene/3569,,,Active,0.1021516828131714,0.3799223336039493,0.5,-0.3010299956639812,0.08962505734979999,0.30220282,log10_fold_induction,-0.301029995663981,0.2688751720494,"[""Hit-call potentially confounded by overfitting"",""Less than 50% efficacy"",""Borderline active"",""Only one conc above baseline, active""]",-0.3010299956639812,-0.3010299956639812,-1.8245750543400268,20,cytokine
BSK_CASM3C_IL6_down,"Data from the assay component BSK_CASM3C_IL6 was analyzed into 2 assay endpoints. This assay endpoint, BSK_CASM3C_IL6_down, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene IL6. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cytokine"" intended target family, where the subfamily is ""interleukins"".",NP_000591.1,IL6,interleukin 6,https://www.ncbi.nlm.nih.gov/gene/3569,,,Active,0.13308130916498578,1.0973900439423192,2,0.3010299956639812,0.040423581964499994,0.14365502,log10_fold_induction,0.602059991327962,0.12127074589349998,"[""Less than 50% efficacy"",""Hit-call potentially confounded by overfitting"",""Borderline active""]",0.3010299956639812,0.3010299956639812,-0.4845243012319379,20,cytokine
BSK_CASM3C_TissueFactor_down,"Data from the assay component BSK_CASM3C_TissueFactor was analyzed into 2 assay endpoints. This assay endpoint, BSK_CASM3C_TissueFactor_down, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene F3. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cytokine"" intended target family, where the subfamily is ""coagulation factor"".",NP_001984.1,F3,"coagulation factor III (thromboplastin, tissue factor)",https://www.ncbi.nlm.nih.gov/gene/2152,,,Active,0.1766191460533985,1.5447396355740757,10,1,0.038111955781199996,0.165373305,log10_fold_induction,1,0.11433586734359999,"[""Only one conc above baseline, active"",""Less than 50% efficacy""]",1,1,0.43287265077671166,20,cytokine
BSK_CASM3C_uPAR_up,"Data from the assay component BSK_CASM3C_uPAR was analyzed into 2 assay endpoints. This assay endpoint, BSK_CASM3C_uPAR_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain-of-signal activity can be used to understand changes in the signaling as they relate to the gene PLAUR. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cytokine"" intended target family, where the subfamily is ""plasmogen activator"".",NP_002650.1,PLAUR,"plasminogen activator, urokinase receptor",https://www.ncbi.nlm.nih.gov/gene/5329,,,Active,0.11629620300730845,1.0869889157676522,2,0.3010299956639812,0.0356631060723,0.15722877,log10_fold_induction,0.301029995663981,0.1069893182169,"[""Less than 50% efficacy"",""Borderline active""]",0.3010299956639812,0.3010299956639812,-2.9287883747275743,20,cytokine
BSK_hDFCGF_MCSF_up,"Data from the assay component BSK_hDFCGF_MCSF was analyzed into 2 assay endpoints. This assay endpoint, BSK_hDFCGF_MCSF_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain-of-signal activity can be used to understand changes in the signaling as they relate to the gene CSF1. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cytokine"" intended target family, where the subfamily is ""colony stimulating factor"".",NP_000748.3,CSF1,colony stimulating factor 1 (macrophage),https://www.ncbi.nlm.nih.gov/gene/1435,,,Active,0.15662411998738102,1.4647620797006693,0.5,-0.3010299956639812,0.0356426758443,0.1305201,log10_fold_induction,-0.301029995663981,0.10692802753289998,"[""Only one conc above baseline, active"",""Hit-call potentially confounded by overfitting"",""Less than 50% efficacy""]",-0.3010299956639812,-0.3010299956639812,-0.7388379672073669,20,cytokine
NVS_ENZ_oCOX1,"Data from the assay component NVS_ENZ_oCOX1 was analyzed into 2 assay endpoints. This assay endpoint, NVS_ENZ_oCOX1, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene PTGS1. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""oxidoreductase"" intended target family, where the subfamily is ""cyclooxygenase"".",NP_001009476.1,PTGS1,prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase),https://www.ncbi.nlm.nih.gov/gene/443551,"[177,28,100,101,63,102,103,28,63,100,101,177,102,103]",,Active,91.1814808882689,2.8956752047007397,0.05722809435401421,-1.24239071548101,5.24814159292036,76,percent_activity,-1.15490195998574,31.4888495575222,"[""Hit-call potentially confounded by overfitting"",""Borderline active"",""Hit-call potentially confounded by overfitting"",""Borderline active""]",-1.27714272113995,-1.3275251603854,-1.36177929533823,20,oxidoreductase
NVS_NR_hPPARg,"Data from the assay component NVS_NR_hPPARg was analyzed into 1 assay endpoint. This assay endpoint, NVS_NR_hPPARg, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, loss-of-signal activity can be used to understand changes in the binding as they relate to the gene PPARG. 
Furthermore, this assay endpoint can be referred to as a primary readout, because the performed assay has only produced 1 assay endpoint. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""nuclear receptor"" intended target family, where the subfamily is ""non-steroidal"".",NP_056953.2,PPARG,peroxisome proliferator-activated receptor gamma,https://www.ncbi.nlm.nih.gov/gene/5468,"[34,36,58,72,163,72,36,58,34,163]",,Active,140.712343984187,5.8105506494062364,8.550022496345996,0.931967257421281,4.03611615245008,134.420600858369,percent_activity,1.69897000433602,24.2166969147005,,0.505164100562099,0.289962350319693,0.334962237090293,20,nuclear receptor
TOX21_ARE_BLA_agonist_ratio,"Data from the assay component TOX21_ARE_BLA_Agonist_ratio was analyzed into 1 assay endpoint.  This assay endpoint, TOX21_ARE_BLA_Agonist_ratio, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity.  Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene NFE2L2. Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints and this ratio serves a reporter gene function to understand target activity.  To generalize the intended target to other relatable targets, this assay endpoint is annotated to the DNA binding intended target family, where the subfamily is basic leucine zipper.  ",NP_006155.2,NFE2L2,"nuclear factor, erythroid 2-like 2",https://www.ncbi.nlm.nih.gov/gene/4780,"[61,61]",[478],Active,21.2612323353494,1.06306161676747,19.248916392163515,1.28440628614842,2.50978290890691,22.114708986,percent_activity,1.95424250943932,20,"[""Borderline active"",""Less than 50% efficacy"",""Borderline active"",""Less than 50% efficacy""]",1.76891223416618,1.17905788624437,0.899201546607844,20,dna binding
