NAME,DESCRIPTION,SEQAPASS,GENE_SYMBOLS,GENE_NAMES,GENE_URLS,AOP,EVENT,HIT_CALL,TOP,SCALED_TOP,AC50,LOGAC50,BMAD,MAXMED,MAXMED_UNITS,MAXMEDCONC,CUTOFF,FLAGS,MODLACC,MODLAC10,MODLACB,STOCK_CONCENTRATION,INTENDED_TARGET_FAMILY
ATG_Ets_CIS_dn,ATG_Ets_CIS_dn was not developed or optimized to detect loss of signal. Use data with caution.,NP_005229.1,ETS1,v-ets avian erythroblastosis virus E26 oncogene homolog 1,https://www.ncbi.nlm.nih.gov/gene/2113,,,Active,0.4815772895706686,1.3291660055970618,4.660691944473184,0.6684503985265053,0.07246307647694375,0.45012627780600545,log2_fold_induction,0.845098040014257,0.3623153823847187,"[""Less than 50% efficacy"",""Hit-call potentially confounded by overfitting""]",0.7287735264186611,0.6578660031582794,0.5491700847190324,20,dna binding
ATG_HIF1a_CIS_dn,ATG_HIF1a_CIS_dn was not developed or optimized to detect loss of signal. Use data with caution.,NP_001521.1,HIF1A,"hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)",https://www.ncbi.nlm.nih.gov/gene/3091,,,Active,1.769190745139313,2.3111992606811183,163.61606401361877,2.2138259409610965,0.15309720587379613,1.4743256213337255,log2_fold_induction,2.30102999566398,0.7654860293689807,"[""Only one conc above baseline, active"",""Hit-call potentially confounded by overfitting""]",2.199106717174078,2.156891130407614,2.094459367195174,20,dna binding
LTEA_HepaRG_CYP1A1_up,Change in transcription factor expression relative to control (delta-delta-ct) for HepaRG cell cultures in an induction preparation. The adherent cells have some metabolic capability. Expression measured by inducible reporter assay using Fluidigm qRT-PCR to monitor. Suffix _up indicates curve fitting for increase in expression (induction).,NP_000490.1,CYP1A1,"cytochrome P450, family 1, subfamily A, polypeptide 1",https://www.ncbi.nlm.nih.gov/gene/1543,"[57,57]",,Active,1.79918054552658,1.997800482967968,34.36596244222535,1.53612851112867,0.300193564683644,1.79882638821808,log2_fold_induction,2,0.900580694050932,"[""Only highest conc above baseline, active"",""Only highest conc above baseline, active""]",1.53624841742745,1.53624841742745,1.41647896400177,20,cyp
LTEA_HepaRG_CYP1A2_up,Change in transcription factor expression relative to control (delta-delta-ct) for HepaRG cell cultures in an induction preparation. The adherent cells have some metabolic capability. Expression measured by inducible reporter assay using Fluidigm qRT-PCR to monitor. Suffix _up indicates curve fitting for increase in expression (induction).,NP_000752.2,CYP1A2,"cytochrome P450, family 1, subfamily A, polypeptide 2",https://www.ncbi.nlm.nih.gov/gene/1544,"[131,131]",,Active,1.30099989197068,1.3702050950907507,75.99244070963164,1.88077039331535,0.316497604782422,1.13555766273604,log2_fold_induction,2,0.949492814347266,"[""Only highest conc above baseline, active"",""Hit-call potentially confounded by overfitting"",""Borderline active"",""Hit-call potentially confounded by overfitting"",""Only highest conc above baseline, active"",""Borderline active""]",1.94227805717578,1.94227805717578,1.74476716600569,20,cyp
LTEA_HepaRG_CYP2B6_up,Change in transcription factor expression relative to control (delta-delta-ct) for HepaRG cell cultures in an induction preparation. The adherent cells have some metabolic capability. Expression measured by inducible reporter assay using Fluidigm qRT-PCR to monitor. Suffix _up indicates curve fitting for increase in expression (induction).,NP_000758.1,CYP2B6,"cytochrome P450, family 2, subfamily B, polypeptide 6",https://www.ncbi.nlm.nih.gov/gene/1555,,,Active,1.70585915287118,2.2628445789976115,7.913801394197034,0.898385146955204,0.251285361310856,1.77908512864998,log2_fold_induction,2,0.753856083932568,,0.831544083117582,0.831544083117582,0.269054661259796,20,cyp
LTEA_HepaRG_CYP2C19_up,Change in transcription factor expression relative to control (delta-delta-ct) for HepaRG cell cultures in an induction preparation. The adherent cells have some metabolic capability. Expression measured by inducible reporter assay using Fluidigm qRT-PCR to monitor. Suffix _up indicates curve fitting for increase in expression (induction).,NP_000760.1,CYP2C19,"cytochrome P450, family 2, subfamily C, polypeptide 19",https://www.ncbi.nlm.nih.gov/gene/1557,,,Active,0.839551688878001,1.4970297570862408,54.212894019019956,1.73410259161823,0.186937207917646,0.61903799288651,log2_fold_induction,2,0.560811623752938,"[""Only highest conc above baseline, active"",""Borderline active"",""Only highest conc above baseline, active"",""Borderline active""]",1.92130529435469,1.92130529435469,1.14574153701998,20,cyp
LTEA_HepaRG_SLC22A1_dn,Change in transcription factor expression relative to control (delta-delta-ct) for HepaRG cell cultures in an induction preparation. The adherent cells have some metabolic capability. Expression measured by inducible reporter assay using Fluidigm qRT-PCR to monitor. Suffix _dn indicates curve fitting for decrease in expression (down).,NP_003048.1,SLC22A1,"solute carrier family 22 (organic cation transporter), member 1",https://www.ncbi.nlm.nih.gov/gene/6580,,,Active,1.0039534173543,1.8034566346347403,0.5103201579582788,-0.292157276431357,0.185560957048395,0.615151864499305,log2_fold_induction,0.477121254719662,0.556682871145185,"[""Hit-call potentially confounded by overfitting"",""Only one conc above baseline, active"",""Borderline active"",""Only one conc above baseline, active"",""Borderline active"",""Hit-call potentially confounded by overfitting""]",-0.212102318076869,-0.212102318076869,-1.09596416530684,20,transporter
NVS_NR_hER,"Data from the assay component NVS_NR_hER was analyzed into 1 assay endpoint. This assay endpoint, NVS_NR_hER, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, loss-of-signal activity can be used to understand changes in the binding as they relate to the gene ESR1. 
Furthermore, this assay endpoint can be referred to as a primary readout, because the performed assay has only produced 1 assay endpoint. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""nuclear receptor"" intended target family, where the subfamily is ""steroidal"".",NP_000116.2,ESR1,estrogen receptor 1,https://www.ncbi.nlm.nih.gov/gene/2099,"[200,29,165,53,52,30,67,112,167,200,29,165,53,52,167,112,30,67]",[1181],Active,25.7121630017664,1.0540525456794931,0.03732324770169277,-1.42802057292242,4.06560424132541,31.5173971450082,percent_activity,-1.15490195998574,24.3936254479525,"[""Borderline active"",""Less than 50% efficacy"",""Hit-call potentially confounded by overfitting"",""Borderline active"",""Hit-call potentially confounded by overfitting"",""Less than 50% efficacy""]",-1.26962259186708,-1.43359319171567,-1.54730088668835,20,nuclear receptor
TOX21_ERb_BLA_Antagonist_ratio,"Data from the assay component TOX21_ERb_BLA_Antagonist_ratio was analyzed into 1 assay endpoint. This assay endpoint, TOX21_ERb_BLA_Antagonist_ratio, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, loss-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene ESR2. Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints and this ratio serves a reporter gene function to understand target activity. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is steroidal.",NP_001428.1,ESR2,estrogen receptor 2 (ER beta),https://www.ncbi.nlm.nih.gov/gene/2100,,,Active,42.3446286405554,1.7459875005887615,0.0010719515198343188,-2.96982485563629,4.04208970819059,32.778347199,percent_activity,-2.52287874528034,24.2525382491435,"[""Less than 50% efficacy"",""Less than 50% efficacy""]",-2.95250148114946,-3.02380111392468,-3.09971329565009,20,nuclear receptor
TOX21_RT_HEPG2_FLO_16hr_ctrl_viability,"TOX21_RT_HEPG2_FLO_16hr_ctrl_viability used a dead cell DNA stain where an increase in measured fluorescence indicated a loss of cell viability.  The assay component endpoint is part of a kinetic analysis of cell death with additional exposure times measured in other assay components as well as live cells measured with a vital dye, e.g. TOX21_RT_HEK293_GLO_08hr_viability",, , , ,,,Active,164.027578579888,5.932933699943079,0.01643287590018839,-1.78428642449653,4.60782660753093,136.6896491718,percent_activity,-1.69897000433602,27.6469596451856,"[""Only one conc above baseline, active"",""Cell viability assay fit with gnls winning model"",""Hit-call potentially confounded by overfitting"",""Only one conc above baseline, active"",""Cell viability assay fit with gnls winning model"",""Hit-call potentially confounded by overfitting""]",-1.87092458433487,-1.9137944746527,-1.90356673821929,20,cell cycle
TOX21_RT_HEPG2_FLO_24hr_viability,"TOX21_RT_HEPG2_FLO_24hr_viability used a dead cell DNA stain where an increase in measured fluorescence indicated a loss of cell viability.  The assay component endpoint is part of a kinetic analysis of cell death with additional exposure times measured in other assay components as well as live cells measured with a vital dye, e.g. TOX21_RT_HEK293_GLO_08hr_viability",, , , ,,,Active,579.171675209958,21.11450291407223,0.01638118776504844,-1.78565461166567,4.57167345723585,482.643062683,percent_activity,-1.69897000433602,27.4300407434151,"[""Cell viability assay fit with gnls winning model"",""Only one conc above baseline, active"",""Cell viability assay fit with gnls winning model"",""Only one conc above baseline, active""]",-1.94859327483619,-1.98755496964062,-1.90493492543363,20,cell cycle
TOX21_RT_HEPG2_FLO_32hr_ctrl_viability,"TOX21_RT_HEPG2_FLO_32hr_ctrl_viability used a dead cell DNA stain where an increase in measured fluorescence indicated a loss of cell viability.  The assay component endpoint is part of a kinetic analysis of cell death with additional exposure times measured in other assay components as well as live cells measured with a vital dye, e.g. TOX21_RT_HEK293_GLO_08hr_viability",, , , ,,,Active,654.721652246787,22.360129567382174,0.016378910806695946,-1.78571498208534,4.88012714978376,545.6013771032,percent_activity,-1.69897000433602,29.2807628987026,"[""Only one conc above baseline, active"",""Cell viability assay fit with gnls winning model"",""Only one conc above baseline, active"",""Cell viability assay fit with gnls winning model""]",-1.95191546754559,-1.99080032315663,-1.90499529585061,20,cell cycle
TOX21_RT_HEPG2_FLO_40hr_ctrl_viability,"TOX21_RT_HEPG2_FLO_40hr_ctrl_viability used a dead cell DNA stain where an increase in measured fluorescence indicated a loss of cell viability.  The assay component endpoint is part of a kinetic analysis of cell death with additional exposure times measured in other assay components as well as live cells measured with a vital dye, e.g. TOX21_RT_HEK293_GLO_08hr_viability",, , , ,,,Active,680.424828224088,25.267760754051768,0.016370048134829396,-1.78595004357767,4.48809608184861,567.0206902327,percent_activity,-1.69897000433602,26.9285764910917,"[""Cell viability assay fit with gnls winning model"",""Only one conc above baseline, active"",""Cell viability assay fit with gnls winning model"",""Only one conc above baseline, active""]",-1.95907875799871,-1.99781463764881,-1.9052303581711,20,cell cycle
