NAME,DESCRIPTION,SEQAPASS,GENE_SYMBOLS,GENE_NAMES,GENE_URLS,AOP,EVENT,HIT_CALL,TOP,SCALED_TOP,AC50,LOGAC50,BMAD,MAXMED,MAXMED_UNITS,MAXMEDCONC,CUTOFF,FLAGS,MODLACC,MODLAC10,MODLACB,STOCK_CONCENTRATION,INTENDED_TARGET_FAMILY
ATG_ERa_TRANS_up,"Data from the assay component ATG_ERa_TRANS was analyzed into 1 assay endpoint. 
This assay endpoint, ATG_ERa_TRANS_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene ESR1. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is steroidal.",NP_000116.2,ESR1,estrogen receptor 1,https://www.ncbi.nlm.nih.gov/gene/2099,"[200,29,165,53,52,167,112,30,67,200,29,165,53,52,30,67,112,167]",[1181],Active,1.6681361052771944,1.5094162800088085,30.822114139085034,1.4888624243710078,0.22103062321117403,1.3901134212488069,log2_fold_induction,1.84509804001426,1.10515311605587,"[""Only one conc above baseline, active"",""Hit-call potentially confounded by overfitting""]",1.6379717554221134,1.3969253904090682,1.003122376986918,20,nuclear receptor
ATG_FXR_TRANS_dn,ATG_FXR_TRANS_dn was not developed or optimized to detect loss of signal. Use data with caution.,NP_001193922.1,NR1H4,"nuclear receptor subfamily 1, group H, member 4",https://www.ncbi.nlm.nih.gov/gene/9971,,,Active,1.2616677599653146,1.5230769457099274,0.854920100179312,-0.06807447202351419,0.16567354177595192,1.2602357724811197,log2_fold_induction,0.301029995663981,0.8283677088797596,"[""Hit-call potentially confounded by overfitting"",""Borderline active""]",-0.03289516938353872,-0.09146030380003645,-0.18735478583510595,20,nuclear receptor
ATG_GR_TRANS_dn,ATG_GR_TRANS_dn was not developed or optimized to detect loss of signal. Use data with caution.,NP_000167.1,NR3C1,"nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)",https://www.ncbi.nlm.nih.gov/gene/2908,,,Active,1.178223183927109,1.451774408626533,3.3155209152076393,0.5205517719043737,0.16231491296802508,0.9818526532897396,log2_fold_induction,0.845098040014257,0.8115745648401254,"[""Only one conc above baseline, active"",""Borderline active"",""Hit-call potentially confounded by overfitting""]",0.6930232953567618,0.4444949416558238,0.0436176265469263,20,nuclear receptor
ATG_PPARa_TRANS_up,"Data from the assay component ATG_PPARa_TRANS was analyzed into 1 assay endpoint. 
This assay endpoint, ATG_PPARa_TRANS_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene PPARA. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is non-steroidal.",NP_005027.2,PPARA,peroxisome proliferator-activated receptor alpha,https://www.ncbi.nlm.nih.gov/gene/5465,"[51,18,318,6,36,61,58,37,166,37,6,318,51,18,166,36,61,58]",,Active,2.0613346975565863,1.781454956452947,12.141065721300803,1.084256810014864,0.23142147827985585,1.7177789146316238,log2_fold_induction,1.84509804001426,1.1571073913992793,"[""Hit-call potentially confounded by overfitting""]",1.2656920210387075,0.5857304964421277,-0.5323592200608418,20,nuclear receptor
ATG_PXRE_CIS_up,"Data from the assay component ATG_PXRE_CIS was analyzed into 1 assay endpoint. 
This assay endpoint, ATG_PXRE_CIS_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene NR1I2. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is non-steroidal.",NP_071285.1,NR1I2,"nuclear receptor subfamily 1, group I, member 2",https://www.ncbi.nlm.nih.gov/gene/8856,"[8,11,60,8,11,60]",,Active,1.7665281103240216,2.6508324379295343,36.9047634173108,1.567082425572035,0.13328100901796647,1.4721067586684187,log2_fold_induction,1.84509804001426,0.6664050450898323,"[""Hit-call potentially confounded by overfitting""]",1.4787997758747227,1.3506250529146593,1.1801191796115773,20,nuclear receptor
ATG_RXRa_TRANS_dn,ATG_RXRa_TRANS_dn was not developed or optimized to detect loss of signal. Use data with caution.,NP_002948.1,RXRA,"retinoid X receptor, alpha",https://www.ncbi.nlm.nih.gov/gene/6256,,,Active,1.126941301208427,1.2226866990144762,1.9368101562866793,0.28708705380237565,0.18433852304384712,0.9391177578529776,log2_fold_induction,0.845098040014257,0.9216926152192356,"[""Borderline active"",""Hit-call potentially confounded by overfitting""]",0.36862526912406457,0.28507226147324005,0.16780674009497565,20,nuclear receptor
ATG_VDR_TRANS_up,"Data from the assay component ATG_VDR_TRANS was analyzed into 1 assay endpoint. 
This assay endpoint, ATG_VDR_TRANS_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene VDR. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is non-steroidal.",NP_000367.1,VDR,"vitamin D (1,25- dihydroxyvitamin D3) receptor",https://www.ncbi.nlm.nih.gov/gene/7421,,,Active,0.8629243970976705,1.013613594967076,104.17957906921369,2.0177825983617286,0.17026693433915513,0.8581698199457745,log2_fold_induction,2.30102999566398,0.8513346716957757,"[""Hit-call potentially confounded by overfitting"",""Only one conc above baseline, active"",""Borderline active""]",2.252020230718661,2.038062366931858,1.8979989697335262,20,nuclear receptor
TOX21_AP1_BLA_Agonist_ch1,"Data from the assay component TOX21_AP1_BLA_Agonist_ch1 was analyzed into 1 assay endpoint. This assay endpoint, TOX21_AP1_BLA_Agonist_ch1, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, loss-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene JUN|FOS|JUN. Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves as artifact detection function.",, , , ,,,Active,46.3421596604425,2.317107983022125,33.6966858951823,1.52758718964847,2.57591984669775,44.0046312251,percent_activity,1.90308998699194,20,"[""Less than 50% efficacy"",""Less than 50% efficacy""]",1.49905955409426,1.3609603229491,1.30001681654492,20,channel 1
TOX21_AP1_BLA_Agonist_viability,"TOX21_AP1_BLA_Agonist_viability used a type of viability reporter where loss-of-signal activity can be used to understand changes in the cell viability. Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves a viability function. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell cycle target family, where the subfamily is cytotoxicity.",, , , ,,,Active,97.9822564187884,4.343067050379432,76.92373729483558,1.8860603760227,3.76010222277627,56.3074769252,percent_activity,1.90308998699194,22.5606133366576,"[""Noisy data"",""Only highest conc above baseline, active"",""Noisy data"",""Only highest conc above baseline, active""]",1.81994048643806,1.77433002924642,1.7656845279786,20,cell cycle
TOX21_AR_LUC_MDAKB2_Antagonist_0.5nM_R1881,"Data from the assay component TOX21_AR_LUC_MDAKB2_Antagonist_0.5nM_R1881 was analyzed into 1 assay endpoint. This assay endpoint, TOX21_AR_LUC_MDAKB2_Antagonist_0.5nM_R1881, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity.  Using a type of inducible reporter, loss-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene AR. Furthermore, this assay endpoint can be referred to as a primary readout, because the performed assay has only produced 1 assay endpoint. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is steroidal.",,AR,androgen receptor,https://www.ncbi.nlm.nih.gov/gene/367,,,Active,133.837341852032,4.165930730477469,68.02259085282866,1.83265316937351,5.35443940025589,92.2380135665,percent_activity,1.95424250943932,32.1266364015353,,1.67420115025723,1.55873796633276,1.53055281599468,20,nuclear receptor
