NAME,DESCRIPTION,SEQAPASS,GENE_SYMBOLS,GENE_NAMES,GENE_URLS,AOP,EVENT,HIT_CALL,TOP,SCALED_TOP,AC50,LOGAC50,BMAD,MAXMED,MAXMED_UNITS,MAXMEDCONC,CUTOFF,FLAGS,MODLACC,MODLAC10,MODLACB,STOCK_CONCENTRATION,INTENDED_TARGET_FAMILY
ACEA_AR_antagonist_80hr,"Data from the assay component ACEA_AR_antagonist_80hr was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of growth reporter, measures of the cells for loss-of-signal activity can be used to understand the signaling at the pathway-level as they relate to the gene AR. Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""nuclear receptor"" intended target family, where the subfamily is ""steroidal"".",,AR,androgen receptor,https://www.ncbi.nlm.nih.gov/gene/367,,,Active,0.531416846277282,1.4517674218075731,18.416831004950268,1.26521490298,0.122016065451132,0.417960344683164,log2_fold_induction,2,0.366048196353396,"[""Less than 50% efficacy"",""Only highest conc above baseline, active"",""Borderline active"",""Less than 50% efficacy"",""Borderline active"",""Only highest conc above baseline, active""]",1.80080096998253,1.80080096998253,-0.21580820329279,20,nuclear receptor
ATG_PXRE_CIS_up,"Data from the assay component ATG_PXRE_CIS was analyzed into 1 assay endpoint. 
This assay endpoint, ATG_PXRE_CIS_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene NR1I2. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is non-steroidal.",NP_071285.1,NR1I2,"nuclear receptor subfamily 1, group I, member 2",https://www.ncbi.nlm.nih.gov/gene/8856,"[8,11,60,8,11,60]",,Active,0.9143114527315671,1.372005598499508,0.3796878131247593,-0.4205733422270919,0.13328100901796647,0.957159671896628,log2_fold_induction,0.301029995663981,0.6664050450898323,,-0.11033905309455566,-0.49965369573402985,-1.1099164211768031,20,nuclear receptor
BSK_CASM3C_LDLR_down,"Data from the assay component BSK_CASM3C_LDLR was analyzed into 2 assay endpoints. This assay endpoint, BSK_CASM3C_LDLR_down, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene LDLR. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""misc protein"" intended target family, where the subfamily is ""LDL receptor"".",NP_000518.1,LDLR,low density lipoprotein receptor,https://www.ncbi.nlm.nih.gov/gene/3949,"[57,57]",,Active,0.09289572054501485,1.1732035700617953,4,0.6020599913279624,0.024506084431499996,0.10219419199999999,log10_fold_induction,1,0.07918124604762482,"[""Borderline active"",""Less than 50% efficacy""]",0.6020599913279624,0.6020599913279624,-0.4093157669346721,20,misc protein
BSK_hDFCGF_Proliferation_down,"Data from the assay component BSK_hDFCGF_Proliferation was analyzed into 2 assay endpoints. 
This assay endpoint, BSK_hDFCGF_Proliferation_down, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of viability reporter, measures of total protein for loss-of-signal activity can be used to understand the viability at the cellular-level. 
Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves a viability function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cell cycle"" intended target family, where the subfamily is ""cytotoxicity"".",, , , ,,,Active,0.16532694449756485,1.220092803778447,4,0.6020599913279624,0.0451678604517,0.1763115,log10_fold_induction,0.602059991327962,0.1355035813551,"[""Less than 50% efficacy""]",0.6020599913279624,0.6020599913279624,-0.20223161381014196,20,cell cycle
BSK_LPS_TNFa_up,"Data from the assay component BSK_LPS_TNFa was analyzed into 2 assay endpoints. This assay endpoint, BSK_LPS_TNFa_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain-of-signal activity can be used to understand changes in the signaling as they relate to the gene TNF. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cytokine"" intended target family, where the subfamily is ""inflammatory factor"".",NP_000585.2,TNF,tumor necrosis factor,https://www.ncbi.nlm.nih.gov/gene/7124,,,Active,0.21245878434503984,1.5603419079831127,1,0,0.04538722854225,0.192077845,log10_fold_induction,1.60205999132796,0.13616168562675,"[""Less than 50% efficacy""]",0,0,-4.180808351044755,20,cytokine
CCTE_Shafer_MEA_dev_AB_dn,"Data from the assay component CCTE_Shafer_MEA_dev_AB was analyzed into 1 assay endpoint. This assay endpoint, CCTE_Shafer_MEA_dev_AB_dn, was analyzed in the negative analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of viability reporter, loss-of-signal activity can be used to understand cell viability.",, , , ,,,Active,80.6309589223151,4.133737179023638,2.744081614231211,0.438397023974641,6.50186142549743,83.4849113026296,percent_activity,1.30102999566398,19.5055842764923,,0.376389201520621,0.376389201520621,0.319116708015263,20,cell cycle
CCTE_Shafer_MEA_dev_active_electrodes_number_dn,"Data from the assay component CCTE_Shafer_MEA_dev_active_electrodes_number was analyzed into 2 assay endpoints. This assay endpoint, CCTE_Shafer_MEA_dev_active_electrodes_number_dn, was analyzed in the negative analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of functional reporter, loss-of-signal activity can be used to understand electrical activity.",, , , ,,,Active,99.2865441073137,3.7501999662819148,2.067015259669535,0.315343682803298,8.825,100,percent_activity,1,26.475,,0.181150859348479,0.181150859348479,0.0238941848735943,20,neurodevelopment
CCTE_Shafer_MEA_dev_bursting_electrodes_number_dn,"Data from the assay component CCTE_Shafer_MEA_dev_bursting_electrodes_number was analyzed into 2 assay endpoints. This assay endpoint, CCTE_Shafer_MEA_dev_bursting_electrodes_number_dn, was analyzed in the negative analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of functional reporter, loss-of-signal activity can be used to understand electrical activity.",, , , ,,,Active,100.013225303753,2.6083758566561825,1.621550049127288,0.209930357711033,12.7810344827586,100,percent_activity,1,38.3431034482758,,0.153784777575745,0.153784777575745,-0.0496613691498226,20,neurodevelopment
CCTE_Shafer_MEA_dev_burst_rate_dn,"Data from the assay component CCTE_Shafer_MEA_dev_burst_rate was analyzed into 2 assay endpoints. This assay endpoint, CCTE_Shafer_MEA_dev_burst_rate_dn, was analyzed in the negative analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of functional reporter, loss-of-signal activity can be used to understand electrical activity.",, , , ,,,Active,107.941573505395,1.473659549980883,2.4825664863383885,0.394900888290573,24.4157644839102,100,percent_activity,1,73.2472934517306,,0.619011936029801,0.619011936029801,-0.264063919640624,20,neurodevelopment
CCTE_Shafer_MEA_dev_correlation_coefficient_mean_dn,"Data from the assay component CCTE_Shafer_MEA_dev_correlation_coefficient_mean was analyzed into 2 assay endpoints. This assay endpoint, CCTE_Shafer_MEA_dev_correlation_coefficient_mean_dn, was analyzed in the negative analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of functional reporter, loss-of-signal activity can be used to understand electrical activity.",, , , ,,,Active,100.651647167168,1.9736539723011037,2.047013778069796,0.311120765827892,16.9992052946372,100,percent_activity,1,50.9976158839116,,0.31257018585704,0.31257018585704,0.191840449548314,20,neurodevelopment
