NAME,DESCRIPTION,SEQAPASS,GENE_SYMBOLS,GENE_NAMES,GENE_URLS,AOP,EVENT,HIT_CALL,TOP,SCALED_TOP,AC50,LOGAC50,BMAD,MAXMED,MAXMED_UNITS,MAXMEDCONC,CUTOFF,FLAGS,MODLACC,MODLAC10,MODLACB,STOCK_CONCENTRATION,INTENDED_TARGET_FAMILY
ACEA_AR_agonist_AUC_viability,"Data from the assay component ACEA_AR_AUC_viability was analyzed  in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of growth reporter, loss-of-signal activity can be used to understand changes in the viability. 
Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves a viability function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cell cycle"" intended target family, where the subfamily is ""cytotoxicity"".",, , , ,,,Active,95.4539965721736,3.552515061677079,6.015138244868929,0.77924561310459,8.95647120560566,90.6236492733306,percent_activity,2,26.869413616817,,0.377036179339658,0.377036179339658,-0.163838471682677,20.299999237060547,cell cycle
ACEA_AR_antagonist_80hr,"Data from the assay component ACEA_AR_antagonist_80hr was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of growth reporter, measures of the cells for loss-of-signal activity can be used to understand the signaling at the pathway-level as they relate to the gene AR. Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""nuclear receptor"" intended target family, where the subfamily is ""steroidal"".",,AR,androgen receptor,https://www.ncbi.nlm.nih.gov/gene/367,,,Active,3.43183829055441,9.375372764413761,24.609464210610355,1.39110215848507,0.122016065451132,2.85986524216955,log2_fold_induction,2,0.366048196353396,,0.507247790631924,0.507247790631924,0.477334420616962,20.299999237060547,nuclear receptor
ACEA_AR_antagonist_AUC_viability,"Data from the assay component ACEA_AR_antagonist_AUC_viability was analyzed  in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of growth reporter, loss-of-signal activity can be used to understand changes in the viability. 
Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves a viability function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cell cycle"" intended target family, where the subfamily is ""cytotoxicity"".",, , , ,,,Active,101.615763777974,3.509948669768108,12.33841536692404,1.09125938647261,9.65026114229828,87.4700408282449,percent_activity,2,28.9507834268948,,0.625197695924195,0.625197695924195,-0.021512698276271,20.299999237060547,cell cycle
ACEA_ER_AUC_viability,"Data from the assay component ACEA_ER_AUC_viability was analyzed  in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of growth reporter, loss-of-signal activity can be used to understand changes in the viability. 
Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves a viability function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cell cycle"" intended target family, where the subfamily is ""cytotoxicity"".",, , , ,,,Active,21.834804677026717,1.0917402338513358,0.16567585683849043,-0.7807407746570943,5.860768439731081,23.553489934159995,percent_activity,1.47712125471966,20,"[""Borderline active"",""Less than 50% efficacy""]",1.1173194083708142,0.34705844613379255,-2.526585775565415,20.299999237060547,cell cycle
ATG_BRE_CIS_dn,ATG_BRE_CIS_dn was not developed or optimized to detect loss of signal. Use data with caution.,NP_005891.1,SMAD1,SMAD family member 1,https://www.ncbi.nlm.nih.gov/gene/4086,,,Active,1.101943536906546,1.2032373650709356,9.749269856297525,0.9889720916724101,0.183163117917566,1.098422053240206,log2_fold_induction,1.30102999566398,0.91581558958783,"[""Only one conc above baseline, active"",""Hit-call potentially confounded by overfitting"",""Borderline active""]",1.0754725398766296,0.9886799656694186,0.8696905470248397,20.299999237060547,dna binding
ATG_DR4_LXR_CIS_dn,ATG_DR4_LXR_CIS_dn was not developed or optimized to detect loss of signal. Use data with caution.,"NP_009052.3|NP_005684.2","NR1H2 | NR1H3","nuclear receptor subfamily 1, group H, member 2 , nuclear receptor subfamily 1, group H, member 3","https://www.ncbi.nlm.nih.gov/gene/7376 , https://www.ncbi.nlm.nih.gov/gene/10062",,,Active,1.7214294458528048,2.910274502686688,10.70132788827953,1.0294376710282895,0.11830014277097414,1.4345245383975866,log2_fold_induction,1.30102999566398,0.5915007138548707,"[""Only one conc above baseline, active"",""Hit-call potentially confounded by overfitting""]",0.9939808995682655,0.9555824992728515,0.9090717278054277,20.299999237060547,nuclear receptor
ATG_HSE_CIS_dn,ATG_HSE_CIS_dn was not developed or optimized to detect loss of signal. Use data with caution.,NP_005517.1,HSF1,heat shock transcription factor 1,https://www.ncbi.nlm.nih.gov/gene/3297,,,Active,0.9156301574108163,1.927823360601681,11.425413517175661,1.0578719273394919,0.09499108436211133,0.9049206615686662,log2_fold_induction,1.30102999566398,0.47495542181055667,"[""Only one conc above baseline, active"",""Hit-call potentially confounded by overfitting""]",1.061977587356093,1.014336628260673,0.9374529387144844,20.299999237060547,dna binding
ATG_IR1_CIS_dn,ATG_IR1_CIS_dn was not developed or optimized to detect loss of signal. Use data with caution.,NP_001193922.1,NR1H4,"nuclear receptor subfamily 1, group H, member 4",https://www.ncbi.nlm.nih.gov/gene/9971,,,Active,1.404996436640991,2.8680831863717966,12.65329612623974,1.1022036719919261,0.09797459455270192,1.1708303639074757,log2_fold_induction,1.30102999566398,0.4898729727635096,"[""Hit-call potentially confounded by overfitting"",""Only one conc above baseline, active"",""Borderline active""]",1.0682787218800045,1.030014304386174,0.9829218686974189,20.299999237060547,nuclear receptor
ATG_NRF1_CIS_dn,ATG_NRF1_CIS_dn was not developed or optimized to detect loss of signal. Use data with caution.,NP_005002.3,NRF1,nuclear respiratory factor 1,https://www.ncbi.nlm.nih.gov/gene/4899,,,Active,0.5178979266102621,1.2880950852347064,11.969158446700717,1.0780636161706254,0.08041299629924369,0.43158160654022604,log2_fold_induction,1.30102999566398,0.40206498149621844,"[""Only one conc above baseline, active"",""Less than 50% efficacy"",""Hit-call potentially confounded by overfitting"",""Borderline active""]",1.1913722684911738,1.0655899892608276,0.8780060681746474,20.299999237060547,dna binding
ATG_Oct_MLP_CIS_dn,ATG_Oct_MLP_CIS_dn was not developed or optimized to detect loss of signal. Use data with caution.,NP_002688.3,POU2F1,POU class 2 homeobox 1,https://www.ncbi.nlm.nih.gov/gene/5451,,,Active,2.67872615631279,3.952730146203347,11.919324201272254,1.0762516325872336,0.13553802345377633,2.6366865826645087,log2_fold_induction,1.30102999566398,0.6776901172688816,"[""Hit-call potentially confounded by overfitting"",""Only one conc above baseline, active""]",1.0174370624117537,0.9827875510789429,0.9568970443190039,20.299999237060547,dna binding
BSK_3C_Proliferation_down,"Data from the assay component BSK_3C_Proliferation was analyzed into 2 assay endpoints. 
This assay endpoint, BSK_3C_Proliferation_down, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of viability reporter, measures of total protein for loss-of-signal activity can be used to understand the viability at the cellular-level. 
Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves a viability function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cell cycle"" intended target family, where the subfamily is ""cytotoxicity"".",, , , ,,,Active,0.22103827197926917,1.8819250808376784,39.99999999999999,1.6020599913279623,0.0391510930713,0.166185775,log10_fold_induction,1.60205999132796,0.1174532792139,"[""Only one conc above baseline, active"",""Less than 50% efficacy""]",1.6020599913279623,1.6020599913279623,0.38034662359847626,20.299999237060547,cell cycle
