NAME,DESCRIPTION,SEQAPASS,GENE_SYMBOLS,GENE_NAMES,GENE_URLS,AOP,EVENT,HIT_CALL,TOP,SCALED_TOP,AC50,LOGAC50,BMAD,MAXMED,MAXMED_UNITS,MAXMEDCONC,CUTOFF,FLAGS,MODLACC,MODLAC10,MODLACB,STOCK_CONCENTRATION,INTENDED_TARGET_FAMILY
ATG_LXRa_TRANS_dn,ATG_LXRa_TRANS_dn was not developed or optimized to detect loss of signal. Use data with caution.,NP_005684.2,NR1H3,"nuclear receptor subfamily 1, group H, member 3",https://www.ncbi.nlm.nih.gov/gene/10062,,,Active,1.3680100631193253,1.1963892786568333,36.21409060999145,1.558877583889313,0.2286897897739719,1.4445183677846456,log2_fold_induction,1.84509804001426,1.1434489488698594,"[""Borderline active""]",1.6472378620266588,1.5592052617497263,1.4395972701991817,20,nuclear receptor
ATG_RXRb_TRANS_dn,ATG_RXRb_TRANS_dn was not developed or optimized to detect loss of signal. Use data with caution.,NP_068811.1,RXRB,"retinoid X receptor, beta",https://www.ncbi.nlm.nih.gov/gene/6257,,,Active,4.160658856021623,4.188318947379394,40.41370049309977,1.606528618573156,0.19867917932204862,4.154689527242976,log2_fold_induction,2.30102999566398,0.9933958966102431,,1.4851766121132783,1.4193441672600127,1.376568259485786,20,nuclear receptor
CCTE_Shafer_MEA_dev_burst_duration_mean_up,"Data from the assay component CCTE_Shafer_MEA_dev_burst_duration_mean was analyzed into 2 assay endpoints. This assay endpoint, CCTE_Shafer_MEA_dev_burst_duration_mean_up, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of functional reporter, gain-of-signal activity can be used to understand electrical activity.",, , , ,,,Active,283.247189351005,3.916354388935442,5.055099684330607,0.703729724106616,24.1080659223316,440.047527385176,percent_activity,1,72.3241977669948,"[""Noisy data""]",0.645624680606752,0.645624680606752,0.584449397431905,20,neurodevelopment
LTEA_HepaRG_ABCB1_dn,Change in transcription factor expression relative to control (delta-delta-ct) for HepaRG cell cultures in an induction preparation. The adherent cells have some metabolic capability. Expression measured by inducible reporter assay using Fluidigm qRT-PCR to monitor. Suffix _dn indicates curve fitting for decrease in expression (down).,NP_000918.2,ABCB1,"ATP-binding cassette, sub-family B (MDR/TAP), member 1",https://www.ncbi.nlm.nih.gov/gene/5243,,,Active,0.974957478414348,2.569767967243316,94.9435162267919,1.97746531174736,0.126465046759354,0.58736383205956,log2_fold_induction,2,0.379395140278062,"[""Only highest conc above baseline, active"",""Borderline active"",""Only highest conc above baseline, active"",""Borderline active""]",1.95298587417519,1.95298587417519,1.85818497493889,20.017857210976736,transporter
LTEA_HepaRG_ABCC3_dn,Change in transcription factor expression relative to control (delta-delta-ct) for HepaRG cell cultures in an induction preparation. The adherent cells have some metabolic capability. Expression measured by inducible reporter assay using Fluidigm qRT-PCR to monitor. Suffix _dn indicates curve fitting for decrease in expression (down).,NP_003777.2,ABCC3,"ATP-binding cassette, sub-family C (CFTR/MRP), member 3",https://www.ncbi.nlm.nih.gov/gene/8714,,,Active,0.731490339214226,1.4608347329642826,85.41434511290011,1.9315308154219,0.166911497631656,0.569951317181806,log2_fold_induction,2,0.500734492894968,"[""Only highest conc above baseline, active"",""Hit-call potentially confounded by overfitting"",""Borderline active"",""Less than 50% efficacy"",""Only highest conc above baseline, active"",""Hit-call potentially confounded by overfitting"",""Borderline active"",""Less than 50% efficacy""]",1.97360880992079,1.97360880992079,1.81219053086089,20.017857210976736,transporter
LTEA_HepaRG_ACOX1_dn,Change in transcription factor expression relative to control (delta-delta-ct) for HepaRG cell cultures in an induction preparation. The adherent cells have some metabolic capability. Expression measured by inducible reporter assay using Fluidigm qRT-PCR to monitor. Suffix _dn indicates curve fitting for decrease in expression (down).,NP_009223.2,ACOX1,"acyl-CoA oxidase 1, palmitoyl",https://www.ncbi.nlm.nih.gov/gene/51,,,Active,0.794467693986663,1.9642843186249646,316.2277659498417,2.49999999990799,0.134818855982927,0.63892323110431,log2_fold_induction,2,0.404456567948781,"[""Only highest conc above baseline, active"",""Hit-call potentially confounded by overfitting"",""Borderline active"",""Only highest conc above baseline, active"",""Hit-call potentially confounded by overfitting"",""Borderline active""]",2.54256900461682,2.54256900461682,-0.0717899310490617,20.017857210976736,oxidase
LTEA_HepaRG_CASP3_dn,Change in transcription factor expression relative to control (delta-delta-ct) for HepaRG cell cultures in an induction preparation. The adherent cells have some metabolic capability. Expression measured by inducible reporter assay using Fluidigm qRT-PCR to monitor. Suffix _dn indicates curve fitting for decrease in expression (down).,NP_116786.1,CASP3,"caspase 3, apoptosis-related cysteine peptidase",https://www.ncbi.nlm.nih.gov/gene/836,,,Active,1.06704882659713,2.3194111497853402,79.64739551991617,1.90117157888389,0.153350535644343,0.748195150102395,log2_fold_induction,2,0.460051606933029,,1.86899780937894,1.86899780937894,1.64613303140049,20.017857210976736,protease
LTEA_HepaRG_CAT_dn,Change in transcription factor expression relative to control (delta-delta-ct) for HepaRG cell cultures in an induction preparation. The adherent cells have some metabolic capability. Expression measured by inducible reporter assay using Fluidigm qRT-PCR to monitor. Suffix _dn indicates curve fitting for decrease in expression (down).,NP_001743.1,CAT,catalase,https://www.ncbi.nlm.nih.gov/gene/847,,,Active,1.3548628832884,2.3872524186582305,100.50995051447227,2.00220905916554,0.189180229776443,0.844972268749992,log2_fold_induction,2,0.567540689329329,,1.81877492477215,1.81877492477215,0.770876749099661,20.017857210976736,catalase
LTEA_HepaRG_CFLAR_dn,Change in transcription factor expression relative to control (delta-delta-ct) for HepaRG cell cultures in an induction preparation. The adherent cells have some metabolic capability. Expression measured by inducible reporter assay using Fluidigm qRT-PCR to monitor. Suffix _dn indicates curve fitting for decrease in expression (down).,NP_003870.4,CFLAR,CASP8 and FADD-like apoptosis regulator,https://www.ncbi.nlm.nih.gov/gene/8837,,,Active,0.871958612635165,2.0563177189722848,191.8268539800764,2.2829094042893,0.141346285253843,0.53056246441792,log2_fold_induction,2,0.424038855761529,"[""Only highest conc above baseline, active"",""Less than 50% efficacy"",""Only highest conc above baseline, active"",""Less than 50% efficacy""]",2.24165233058707,2.24165233058707,0.628361240710598,20.017857210976736,cell cycle
LTEA_HepaRG_CYP2C8_dn,Change in transcription factor expression relative to control (delta-delta-ct) for HepaRG cell cultures in an induction preparation. The adherent cells have some metabolic capability. Expression measured by inducible reporter assay using Fluidigm qRT-PCR to monitor. Suffix _dn indicates curve fitting for decrease in expression (down).,NP_000761.3,CYP2C8,"cytochrome P450, family 2, subfamily C, polypeptide 8",https://www.ncbi.nlm.nih.gov/gene/1558,,,Active,0.949334731463295,1.4663828970747999,66.60001720724388,1.82347434137766,0.215799646271804,0.667942593147425,log2_fold_induction,2,0.647398938815412,"[""Only highest conc above baseline, active"",""Borderline active"",""Only highest conc above baseline, active"",""Borderline active""]",2.29223863049923,2.29223863049923,0.473120106320063,20.017857210976736,cyp
