"PREFERRED_NAME","CAS","QSAR_READY_SMILES","DTXSID","Structural Alert for genotoxic carcinogenicity","Structural Alert for S. typhimurium  mutagenicity","FG52_2","FG81_2","Cramer rules, with extensions","TTC_Class","Exposure.Total.Upper95","TTC_ug.kg.d","oed.AC50p5","NOAEL","TTC_MoE","OED_MoE","NOAEL_MoE"
"Nitrapyrin","1929-82-4","ClC1=CC=CC(=N1)C(Cl)(Cl)Cl","DTXSID0024216","NO","NO","NO","NO","High (Class III)","Cramer Class III",88.7841221,1.5,0.0937890844843594,3,1.68949127898174e-05,0.00105637226866671,0.0337898255796348
"Caprolactam","105-60-2","O=C1CCCCCN1","DTXSID4020240","NO","NO","NO","NO","High (Class III)","Cramer Class III",14.83621438,1.5,0.0100265419145068,50,0.000101103958299637,0.000675815383742572,3.37013194332125
"2-Mercaptobenzimidazole","583-39-1","S=C1NC2=CC=CC=C2N1","DTXSID9025536","NO","NO","NO","NO","High (Class III)","Cramer Class III",9.368022258,1.5,0.0357449039655755,3.3,0.000160119175498227,0.00381562970082084,0.3522621860961
"Oleyl sarcosine","110-25-8","CCCCCCCCC=CCCCCCCCC(=O)N(C)CC(O)=O","DTXSID5042243","NO","NO","NO","NO","High (Class III)","Cramer Class III",7.777485512,1.5,5.31095478565774,1000,0.000192864390127841,0.682862703821612,128.576260085227
"Bis(2-ethylhexyl) nonanedioate","103-24-2","CCCCC(CC)COC(=O)CCCCCCCC(=O)OCC(CC)CCCC","DTXSID3026697","NO","NO","NO","NO","Low (Class I)","Cramer Class I",140.7432571,30,880.468379966383,300,0.00021315408367084,6.25584769109612,2.1315408367084
"Acrylonitrile","107-13-1","C=CC#N","DTXSID5020029","NO","NO","NO","NO","High (Class III)","Cramer Class III",5.36044319,1.5,5.89353829607254,0.25,0.000279827608806353,1.0994498191991,0.0466379348010589
"Cyazofamid","120116-88-3","CN(C)S(=O)(=O)N1C(=NC(Cl)=C1C1=CC=C(C)C=C1)C#N","DTXSID9034492","NO","NO","NO","NO","High (Class III)","Cramer Class III",3.3070032,1.5,0.302954266606454,29.5,0.000453582869227342,0.0916099103280137,8.92046309480438
"1-Benzylquinolinium chloride","15619-48-4","C(C1=CC=CC=C1)[N+]1=C2C=CC=CC2=CC=C1","DTXSID8044593","NO","YES","NO","NO","High (Class III)","Cramer Class III",3.163102133,1.5,7.03634653468218,NA,0.000474218010335741,2.22450816913985,NA
"1,2-Dichloroethane","107-06-2","ClCCCl","DTXSID6020438","YES","YES","NO","NO","High (Class III)","Cramer Class III",3.096567171,1.5,12.2659744108614,17.2,0.000484407383133108,3.96115237729534,5.55453799325963
"Nicotinic acid","59-67-6","OC(=O)C1=CC=CN=C1","DTXSID1020932","NO","NO","NO","NO","Intermediate (Class II)","Cramer Class II",17.5709871,9,0.00972802241390171,0.14,0.000512207990864668,0.000553641201745672,0.00796767985789484
"3-Isopropylphenol","618-45-1","CC(C)C1=CC=CC(O)=C1","DTXSID0044571","NO","NO","NO","NO","Low (Class I)","Cramer Class I",51.94904752,30,1.89464274651546,NA,0.000577488932563205,0.0364711739091277,NA
"Quinoline","91-22-5","C1=CC2=C(C=C1)N=CC=C2","DTXSID1021798","NO","YES","NO","NO","High (Class III)","Cramer Class III",2.439061412,1.5,12.0275000761006,NA,0.000614990665105894,4.93120018090819,NA
"Methanol","67-56-1","CO","DTXSID2021731","NO","NO","NO","NO","Low (Class I)","Cramer Class I",47.02156249,30,0.0306225938564511,22.9,0.000638005170635919,0.000651245773956652,0.487010613585418
"1-Dodecyl-2-pyrrolidinone","2687-96-9","CCCCCCCCCCCCN1CCCC1=O","DTXSID4042206","NO","NO","NO","NO","High (Class III)","Cramer Class III",2.196129579,1.5,0.179396262494543,30,0.000683019806455601,0.0816874669919207,13.660396129112
"Pentachloropyridine","2176-62-7","ClC1=NC(Cl)=C(Cl)C(Cl)=C1Cl","DTXSID2022179","NO","NO","NO","NO","High (Class III)","Cramer Class III",1.861742783,1.5,0.198375094964477,NA,0.000805696691130936,0.106553438410443,NA
"Dibutyl adipate","105-99-7","CCCCOC(=O)CCCCC(=O)OCCCC","DTXSID2021866","NO","NO","NO","NO","Low (Class I)","Cramer Class I",36.05792649,30,0.00831509573306656,300,0.000831994596481302,0.000230603823971204,8.31994596481302
"2,2'-Methylenebis(ethyl-6-tert-butylphenol)","88-24-4","CCC1=CC(CC2=C(O)C(=CC(CC)=C2)C(C)(C)C)=C(O)C(=C1)C(C)(C)C","DTXSID7038864","NO","NO","NO","NO","High (Class III)","Cramer Class III",1.754792334,1.5,0.00193782593684651,30,0.000854802001887478,0.00110430499341725,17.0960400377496
"Sodium 2-mercaptobenzothiolate","149-30-4","SC1=NC2=C(S1)C=CC=C2","DTXSID1026035","NO","NO","NO","NO","High (Class III)","Cramer Class III",1.640755325,1.5,4.96758124564758e-05,NA,0.000914213092680348,3.02761854248291e-05,NA
"Methenamine","100-97-0","C1N2CN3CN1CN(C2)C3","DTXSID6020692","NO","NO","NO","NO","High (Class III)","Cramer Class III",1.365817757,1.5,0.0170664922285899,31,0.0010982431530944,0.0124954388249251,22.6970251639509
"Glycidyl trimethylammonium chloride","3033-77-0","C[N+](C)(C)CC1CO1","DTXSID1044643","YES","YES","NO","NO","High (Class III)","Cramer Class III",1.361435424,1.5,0.495445884823635,10,0.00110177829484772,0.363914348113536,7.34518863231812
"Saccharin","81-07-2","O=C1NS(=O)(=O)C2=C1C=CC=C2","DTXSID5021251","NO","NO","NO","NO","High (Class III)","Cramer Class III",1.239379629,1.5,1.10873226676268e-06,25,0.00121028292292514,8.94586485705973e-07,20.1713820487524
"4-Morpholinecarboxaldehyde","4394-85-8","O=CN1CCOCC1","DTXSID7044427","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.88825339,1.5,0.217056138504343,120,0.00168870731807733,0.244362859683927,135.096585446187
"4-Cumylphenol","599-64-4","CC(C)(C1=CC=CC=C1)C1=CC=C(O)C=C1","DTXSID3022536","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.741840756,1.5,0.0476143118072412,50,0.00202199729236769,0.0641840063681284,67.3999097455897
"FD&C Yellow 6","2783-94-0","OC1=C(N=NC2=CC=C(C=C2)S(O)(=O)=O)C2=C(C=C1)C=C(C=C2)S(O)(=O)=O","DTXSID6021456","NO","NO","NO","NO","Low (Class I)","Cramer Class I",12.07612522,30,0.0979302328856319,100,0.00248424055344468,0.0081094085314256,8.28080184481558
"1,2-Dimethyl-3-nitrobenzene","83-41-0","CC1=CC=CC(=C1C)[N+]([O-])=O","DTXSID7025132","YES","YES","NO","NO","High (Class III)","Cramer Class III",0.408799874,1.5,0.000300548939532589,NA,0.00366927706049146,0.000735198219587976,NA
"Triphenylphosphine oxide","791-28-6","O=P(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1","DTXSID2022121","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.399747488,1.5,0.00259639183296344,10,0.00375236879537314,0.00649507979638246,25.0157919691543
"Bis(2-ethylhexyl)hexanedioate","103-23-1","CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC","DTXSID0020606","NO","NO","NO","NO","Low (Class I)","Cramer Class I",7.453277515,30,2.40718863586716,160,0.00402507486667763,0.322970482586031,21.467065955614
"Allura Red C.I.16035","25956-17-6","COC1=C(C=C(C)C(=C1)S(O)(=O)=O)N=NC1=C(O)C=CC2=CC(=CC=C12)S(O)(=O)=O","DTXSID4024436","NO","NO","NO","NO","Low (Class I)","Cramer Class I",6.766995608,30,0.0139331264310013,200,0.0044332820261526,0.00205898263248899,29.555213507684
"Dichloromethane","75-09-2","ClCCl","DTXSID0020868","YES","YES","NO","NO","High (Class III)","Cramer Class III",0.320956276,1.5,0.0118831331201544,1.6,0.00467353378688878,0.0370241494207592,4.9851027060147
"Methyl 3-methylorsellinate","4707-47-5","COC(=O)C1=C(O)C(C)=C(O)C=C1C","DTXSID9041653","NO","NO","NO","NO","Low (Class I)","Cramer Class I",6.322791223,30,6.55432807646181,717,0.00474473993240058,1.03661940514809,113.399284384374
"Tetrachloroethylene","127-18-4","ClC(Cl)=C(Cl)Cl","DTXSID2021319","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.28831125,1.5,0.0674069324878341,0.21,0.00520271061222897,0.233799175328171,0.728379485712056
"2,5-Di-tert-butylbenzene-1,4-diol","88-58-4","CC(C)(C)C1=CC(O)=C(C=C1O)C(C)(C)C","DTXSID8041248","NO","NO","NO","NO","Low (Class I)","Cramer Class I",5.636505575,30,0.210304946365532,NA,0.00532244661179103,0.0373112283075373,NA
"Coumarin","91-64-5","O=C1OC2=C(C=CC=C2)C=C1","DTXSID7020348","YES","YES","NO","NO","High (Class III)","Cramer Class III",0.239665658,1.5,6.34017852437619e-06,25,0.00625871896924006,2.64542637325878e-05,104.311982820668
"Benzophenone","119-61-9","O=C(C1=CC=CC=C1)C1=CC=CC=C1","DTXSID0021961","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.235930288,1.5,0.00431964251818679,5,0.00635781023587781,0.0183089782783073,21.1927007862594
"Naphthalene","91-20-3","C1=CC2=CC=CC=C2C=C1","DTXSID8020913","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.235106299,1.5,0.0237730896883839,53,0.00638009277667205,0.101116345200023,225.429944775746
"6-Methylquinoline","91-62-3","CC1=CC2=CC=CN=C2C=C1","DTXSID3020887","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.232176002,1.5,2.33643818829286,2.2,0.00646061602869706,10.0632200062299,9.47557017542235
"Tris(2,3-epoxypropyl)isocyanurate","2451-62-9","O=C1N(CC2CO2)C(=O)N(CC2CO2)C(=O)N1CC1CO1","DTXSID4026262","YES","YES","NO","NO","High (Class III)","Cramer Class III",0.211880599,1.5,3.47017222354079,1.3,0.00707945893620963,16.3779611720882,6.13553107804835
"N-Methyl-2-pyrrolidone","872-50-4","CN1CCCC1=O","DTXSID6020856","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.205962486,1.5,0.517277531119928,100,0.00728287965993963,2.51151333995807,485.525310662642
"Aspirin","50-78-2","CC(=O)OC1=C(C=CC=C1)C(O)=O","DTXSID5020108","NO","NO","NO","NO","Low (Class I)","Cramer Class I",4.070225749,30,0.0415104854160211,50,0.00737059854907817,0.0101985707859618,12.2843309151303
