DTXSID,CASRN,Name,pod.nam.95,pod.nam.50,pod.ratio.95,pod.ratio.50,ber.95,ber.50,ber.95.pod.50,ber.50.pod.50,log.AED.5,log.AED.50,log.AED.95,log.AED.hipptox.50,log.AED.hipptox.95,log.max.AED,log.expo.50,log.expo.95,log.p5.POD,log.p95.POD,log.min.pod,log.max.pod,log.med.pod,AED_5,AED_50,AED_95,AED_hipptox_50,AED_hipptox_95,max_AED,min.POD,mean.POD,med.POD,max.POD,p5.POD,p95.POD,expocast.total.med,expocast.total.95,log.ttc.mkd,ttc.label,pod.ratio.95.binary,pod.ratio.50.binary,ttc.ratio.95,ttc.ratio.50,log.hed.5,hed.pod.ratio.95,hed.pod.ratio.50
DTXSID0021834,100-02-7,4-Nitrophenol,-2.531798607,-1.975778984,3.671677693,3.11565807,2.175945322,4.306833391,2.731964945,4.862853014,-1.502229555,-1.975778984,-2.531798607,,,1.525825812,-6.838631998,-4.707743929,1.139879086,2.602059991,1.139879086,2.602059991,1.77815125,0.031460849,0.010573555,0.002939012,,,33.56029824,13.8,160.2333333,60,400,13.8,400,0.000000145,0.0000196,-5.602059991,0.0025,1,1,3.070261384,3.626281008,0.349394101,2.881192708,2.325173085
DTXSID0037495,1007-28-9,Deisopropylatrazine,-0.458788569,-0.10214912,1.038572166,0.681932717,5.084845398,6.751630719,5.441484847,7.108270168,0.225289599,-0.10214912,-0.458788569,,,0.77567157,-7.210419288,-5.543633967,0.579783597,1.397940009,0.579783597,1.397940009,1.06069784,1.679923863,0.790407186,0.347705396,,,5.965839566,3.8,12.49166667,11.5,25,3.8,25,6.16E-08,0.00000286,-5.602059991,0.0025,1,1,5.143271422,5.499910871,-0.091514981,0.367273588,0.010634139
DTXSID9034650,100784-20-1,Halosulfuron-methyl,-3.30529429,-2.313811531,3.30529429,2.313811531,1.626519848,3.561166801,2.618002607,4.55264956,-1.913103651,-2.313811531,-3.30529429,,,-1.198750885,-6.866461092,-4.931814138,0,2.987621582,0,2.987621582,2.34869419,0.012215081,0.004854991,0.000495115,,,0.063277471,1,313.9822222,223.2,971.9,1,971.9,0.000000136,0.0000117,-2.823908741,1.5,1,1,-0.48138555,0.51009721,-0.266802735,3.038491556,2.047008796
DTXSID9020089,101-05-3,Anilazine,-1.400995433,-0.293159717,3.003055424,1.895219709,3.860224009,5.590404395,4.968059724,6.698240111,0.376547526,-0.293159717,-1.400995433,,,-0.036120282,-6.991399828,-5.261219442,1.602059991,2.84441504,1.176091259,2.84441504,2.77815125,2.37983872,0.509143593,0.039719573,,,0.92019468,15,512.4434783,600,698.9,40,698.9,0.000000102,0.00000548,-2.823908741,1.5,1,1,1.422913308,2.530749024,0.8713277,2.272323133,1.164487417
DTXSID9034232,101-10-0,Cloprop,-1.877120251,-1.406997788,3.868346327,3.398223864,3.501703467,5.231342291,3.97182593,5.701464754,-1.079871582,-1.406997788,-1.877120251,,,-0.472092405,-7.108462542,-5.378823718,1.991226076,3.003029471,1.991226076,3.003029471,2.301029996,0.083200975,0.039174387,0.01327027,,,0.337215551,98,389.25,200,1007,98,1007,7.79E-08,0.00000418,-2.823908741,1.5,1,1,0.94678849,1.416910953,0.899711095,2.776831346,2.306708883
DTXSID5020869,101-61-1,"4,4'-Methylenebis(N,N-dimethylaniline)",-1.239378852,-0.100458241,2.43665941,1.297738799,3.608332804,5.481867547,4.747253415,6.620788158,0.52595975,-0.100458241,-1.239378852,,,-0.128603475,-6.721246399,-4.847711656,1.197280558,2.273001272,1.197280558,2.273001272,2.051152522,3.357064997,0.79349055,0.057626355,,,0.743697848,15.75,108.8333333,112.5,187.5,15.75,187.5,0.00000019,0.0000142,-5.602059991,0.0025,1,1,4.36268114,5.50160175,0.406795573,1.646174424,0.507253814
DTXSID6022422,101-77-9,"4,4'-Diaminobiphenyl methane",-1.125278143,-0.574132362,1.824248147,1.273102366,2.154583235,4.20170095,2.705729016,4.752846731,-0.095320716,-0.574132362,-1.125278143,,,1.265260764,-5.326979093,-3.279861378,0.698970004,1.176091259,0.698970004,1.176091259,0.889301703,0.802932956,0.2666046,0.074941409,,,18.41877589,5,8.5,7.75,15,5,15,0.00000471,0.000524975,-5.602059991,0.0025,1,1,4.476781848,5.027927629,-0.091514981,1.033763162,0.482617381
DTXSID0021094,101-80-4,"4,4'-Oxydianiline",-1.545001878,-1.122063137,2.545001878,2.122063137,1.886073957,3.77015276,2.309012698,4.193091501,-0.783145602,-1.122063137,-1.545001878,,,0.704739594,-5.315154638,-3.431075836,1,2.745855195,0.477121255,2.745855195,2.079181246,0.164760992,0.075498246,0.028510059,,,5.066868044,3,143.4352941,120,557,10,557,0.00000484,0.000370616,-5.602059991,0.0025,1,1,4.057058113,4.479996854,0.209515015,1.754516893,1.331578152
DTXSID3025178,102-06-7,"1,3-Diphenylguanidine",-0.324982153,0.040398181,1.023952158,0.658571823,4.755939754,6.809321787,5.121320089,7.174702121,0.366029657,0.040398181,-0.324982153,,,1.116501078,-7.13430394,-5.080921908,0.698970004,2.6599162,0.602059991,2.761175813,1.875061263,2.322895414,1.097483959,0.473170703,,,13.07678785,4,145.8655462,75,577,5,457,7.34E-08,0.0000083,-2.823908741,1.5,1,1,2.498926587,2.864306922,-0.091514981,0.233467172,-0.131913162
DTXSID6024177,10265-92-6,Methamidophos,-0.426235951,-0.049953438,-0.874794045,-1.251076557,5.223516031,6.889816918,5.599798544,7.266099431,0.297738326,-0.049953438,-0.426235951,,,0.623783592,-7.316052869,-5.649751982,-1.301029996,0.431363764,-1.301029996,0.477121255,0.245512668,1.984898605,0.891346497,0.374769336,,,4.205170333,0.05,1.35,1.76,3,0.05,2.7,4.83E-08,0.00000224,-3.522878745,0.3,0,0,3.096642795,3.472925307,-1.887394998,-1.461159048,-1.83744156
