Chemical,CAS,POD,value,Classification
NAPHTHALENE,91-20-3,NOAEL,71,PAH
FLUORANTHENE,206-44-0,NOAEL,125,PAH
ACENAPHTHENE,83-32-9,NOAEL,175,PAH
BENZIDINE,92-87-5,LOAEL,2.7,Intermediate
p-CRESOL,106-44-5,NOAEL,5,Intermediate
"1,2,3-TRICHLOROBENZENE",87-61-6,NOAEL,7.7,Intermediate
DIELDRIN,60-57-1,NOAEL,0.005,Pesticide
ALDRIN,309-00-2,LOAEL,0.025,Pesticide
HEPTACHLOR,76-44-8,LOAEL,0.03,Pesticide
gamma-HEXACHLOROCYCLOHEXANE,58-89-9,LOAEL,0.012,Pesticide
PENTACHLOROPHENOL,87-86-5,LOAEL,1.5,Pesticide
AZINPHOS-METHYL,86-50-0,BMDL,0.3,Pesticide
DICOFOL,115-32-2,NOAEL,0.12,Pesticide
ENDOSULFAN,115-29-7,NOAEL,0.6,Pesticide
CHLORPYRIFOS,2921-88-2,NOAEL,0.1,Pesticide
