bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,1,54.59086243,107.2034856,81.67548575,3.998257547,4.262055818,131.4291026,96.62422999,142.3245634
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,2,95.40503586,54.91425594,82.24458517,1.104277241,2.068347743,162.2749533,96.62422999,42.07957867
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,3,43.98245223,47.18349131,82.77720761,1.169084291,1.467555849,222.5379096,89.92893774,130.2657374
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,4,61.49499943,127.1197161,80.87785982,1.178970303,1.129513672,218.099689,94.45432168,90.11035586
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,5,81.06177706,98.23020511,80.87785982,1.542351901,1.129513672,235.9661213,82.58412266,97.91951135
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,6,42.89886624,426.5818412,80.74957513,1.614456088,1.046821194,264.4098082,78.16210325,76.22110592
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,7,40.44991641,58.13225622,79.98538094,1.629457793,1.035740999,204.2217559,61.55540316,80.99350437
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,8,115.2226755,36.8499886,87.52223054,2.418189932,0.91651285,198.4680499,71.60901016,39.28439811
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,9,43.93531243,70.81072835,84.06635149,3.069123245,1.098537537,198.6721987,134.2911974,45.42170512
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,10,35.71478145,103.4906727,85.76838159,1.300421616,1.133092029,207.6719374,91.01256433,92.96732256
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,11,145.4885512,96.08877046,82.65561738,1.300421616,1.121046825,219.5824523,134.178311,54.80077022
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,12,53.09265906,46.33283029,89.84940259,2.088754493,1.044416411,233.1844974,1390.815115,94.15288156
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,13,120.5373874,57.84765634,89.77785206,2.441906403,1.044416411,305.6932417,61.32461248,124.9523774
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,14,239.5935565,31.19616498,98.73750611,2.457908088,0.97112996,301.6973627,67.20632671,46.99688487
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,15,118.1175296,81.66971763,99.57749754,1.629863325,0.97112996,320.3130684,73.51659869,131.6251456
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,16,50.12009854,63.58824451,159.072187,5.795784563,0.866842669,307.6029648,210.5929517,54.02907941
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,17,140.9181256,39.40430754,110.8625852,4.6353049,0.866842669,307.1826349,98.29115388,25.03366656
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,18,266.9796514,40.36674189,110.8625852,1.787160291,0.866842669,307.1826349,77.11539235,27.1906532
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,19,43.93965511,37.98637502,209.9917172,2.345816839,0.866842669,283.1800619,67.99342553,27.11380667
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,20,47.04871605,112.0329798,129.9444337,3.038136867,0.866842669,270.7712696,85.46362738,29.62679657
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,21,57.98237957,65.91621517,84.9167113,3.410516296,0.866842669,270.7712696,124.8302125,111.9942005
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,22,51.24487455,50.02528176,100.3857355,6.959265245,0.866842669,501.9954404,121.9106673,50.54914108
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,23,66.7279923,36.0202476,66.92072411,4.630685209,0.866842669,556.1294426,117.9857706,42.24123605
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,24,1354.736972,36.18214587,73.67457509,5.538775527,0.866842669,673.6331689,80.13992203,70.22370719
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,25,31.82345799,73.70350719,74.09733885,3.797797395,2.365229661,556.1099782,72.84537369,71.49035149
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,26,27.85835019,54.82365673,73.84813806,3.789331978,5.240091158,471.4036757,70.80066381,38.011026
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,27,44.48987924,54.29150812,74.4786217,5.775064572,30.27370896,372.9263506,65.04142836,125.1979379
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,28,45.0683702,49.79919097,73.26081962,1.534615994,74.58816395,372.9263506,65.64116961,36.14572197
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,29,54.13782041,151.7604896,72.54770202,0.86057174,74.58816395,389.6726034,64.50586162,159.7445746
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,30,103.5145034,58.36104091,74.09949934,0.897125798,72.65137803,294.2275012,64.17360666,159.7445746
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,31,1312.619369,98.50688812,74.06952006,0.997011095,84.91484613,264.740663,59.34690268,74.00423521
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,32,85.10023594,57.01000965,74.06952006,1.006441192,84.91484613,294.9864474,66.02500829,99.9211807
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,33,52.58803887,64.72832137,73.61943675,0.890699818,84.91484613,294.9864474,65.63527028,107.8494401
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,34,461.6059167,135.9196674,73.61943675,0.759756948,84.91484613,312.5134263,67.52639052,150.1466564
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,35,60.59428391,129.1780575,73.61943675,0.678156677,86.92205449,989.5295294,65.53920376,50.88187517
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,36,124.1594529,61.06605536,73.61943675,0.599781867,102.0300239,1036.12235,62.48263056,92.85387
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,37,69.64369327,42.74715219,73.80608218,0.688982824,95.28925375,1000.025936,70.21794962,73.71830125
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,38,45.42172161,130.7078882,73.68419864,0.944854257,76.22000022,905.3351504,74.38316036,56.5051649
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,39,55.04518855,49.29088383,73.68419864,0.852140713,84.24333874,1019.062061,80.58501443,59.75946968
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,40,255.5980938,34.06712274,73.68419864,0.826689188,81.74764753,1005.636203,86.92154366,37.45018926
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,41,31.38828973,30.38079263,73.54541828,1.358385266,84.50971376,1005.636203,94.35810721,65.94517282
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,42,99.70958378,182.7201506,73.99294696,2.23562005,81.75561436,1033.92224,59.96022552,37.62165959
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,43,27.33922566,270.5781639,75.90766388,1.781272724,93.72498638,934.0136334,64.00446437,32.86478946
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,44,139.0013884,453.3700062,75.87748557,3.793639842,88.94683509,1006.063891,69.05873222,25.83516925
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,45,30.6792191,37.69540276,76.07007164,2.390511217,88.94683509,1006.063891,71.03137916,27.25900937
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,46,48.53471791,39.80021649,76.07007164,1.107558339,92.80726892,1006.063891,79.9504217,32.49732211
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,47,30.12277582,26.64054443,75.7594611,0.881005739,85.1816624,955.8324187,79.94790812,35.7357833
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,48,42.76684631,22.26395345,74.49593481,2.480709267,97.3940187,937.082066,69.86279155,37.91332479
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,49,61.33539215,36.12171218,73.54266744,5.036238832,119.3817727,985.8343362,74.44205058,35.96254426
