bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,MichaelisMenten,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,1,41.31523482,47.39236035,65.29766183,37.32170708,225.7706986,32.61644383,88.57718474,38.7976415,25.34092425
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,2,43.67623822,43.51929381,51.43220174,22.14849148,23.85318921,28.33000796,43.03590895,40.33034177,19.86727612
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,3,32.7460185,38.52275051,118.5525654,26.29021569,106.4332888,67.79884756,85.48356827,25.845697,26.82139502
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,4,41.70099502,38.80167158,47.2119868,32.00399072,74.220031,72.29360085,135.5280622,23.81358019,22.66692859
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,5,47.74943121,40.89096448,199.4891282,28.65922662,59.06904699,122.0048216,120.5331813,23.81358019,24.14245719
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,6,33.88407536,39.81120244,48.93730461,32.80577062,146.0460575,159.0741715,64.47729968,23.09202701,22.19642807
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,7,35.09088369,49.21283209,47.00035657,25.5625203,122.9262039,196.2500425,69.46185243,27.56194366,20.88858236
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,8,42.94298587,38.25766503,79.09441302,36.28263128,69.51927685,209.8894479,53.00073692,29.20700582,21.01732158
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,9,45.01169,44.83942637,49.69612327,33.54195913,63.45066851,218.9589966,50.70604371,31.43994812,30.80944601
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,10,46.66733382,44.40654078,76.81492822,35.55609431,107.4322921,150.6995015,77.63521403,24.49672835,27.65464907
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,11,44.96380832,45.6091842,66.3794904,20.12708843,119.7277421,85.8456944,69.05820563,24.99065102,28.51541183
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,12,43.03985507,45.40067918,94.53213956,27.92832163,90.84528882,59.78176652,46.57400043,26.64032303,33.07047897
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,13,42.48999109,46.81548693,56.03466741,28.17483404,164.6596111,43.25417083,102.2939232,24.73062333,35.11673615
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,14,41.03905855,38.23564997,65.208852,30.27160234,112.5149817,50.58600547,69.64825258,25.91257217,29.18769999
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,15,45.33083838,37.42704575,100.1420974,16.82483183,85.91524294,73.51192222,93.05250025,23.83680017,30.13307091
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,16,41.57565887,40.4517808,38.5738629,12.81214027,86.72912611,86.52735965,52.24006807,30.31993007,36.88425397
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,17,59.43196734,43.41898733,44.73541474,15.97355611,91.14980118,182.2590838,37.1697392,39.01654076,30.83188701
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,18,47.46909914,45.69253657,149.1023641,18.4630014,94.1562299,76.00716368,73.28301438,49.03862935,24.58008295
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,19,38.42951266,39.43213087,42.45777337,21.90506032,190.2764407,92.1707607,42.39914599,52.20273204,29.99028609
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,20,44.17089787,37.28098998,240.0498209,24.68988409,78.50479748,127.4397951,62.29195636,55.25404762,28.18532116
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,21,40.52776809,46.7897038,50.56343985,28.08524427,102.778474,111.2955262,45.72232682,50.1634247,23.15675823
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,22,59.61329931,38.96760099,67.38443233,18.72894907,130.9366945,64.5677438,109.1492133,30.06369943,26.14955393
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,23,53.64554589,39.94927539,37.81416528,16.45517763,118.053858,54.2948607,55.88410172,20.12386484,27.39479342
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,24,46.11901661,50.50330854,45.4933605,16.95105579,62.26377529,27.23376537,36.94051317,25.27353184,31.12892209
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,25,40.50733919,39.14473396,54.76111442,19.24456107,64.02137502,49.16394553,54.63537719,26.6853429,27.95148196
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,26,45.5551012,31.49697502,54.88357589,36.51768897,82.24109809,65.60858108,28.46281231,18.30389668,23.03037448
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,27,39.00761226,31.80999098,38.91459182,28.93656809,110.1859967,114.4927573,85.64896997,37.55996333,38.72936385
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,28,59.96634978,38.44872142,124.8556466,26.16357275,38.09628555,57.07126671,256.3234257,32.33488173,37.69430456
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,29,43.1880563,37.07954375,145.2072696,26.31788642,30.3397034,110.5126353,129.6569626,37.42219768,28.78074539
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,30,48.10792507,38.63819834,80.12777979,24.15316849,41.79885557,56.78611495,131.0946831,33.84583537,30.31897668
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,31,49.33645974,40.90879299,83.26983971,24.65393857,73.03743518,25.84412574,30.18621327,21.99851179,41.54677497
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,32,45.99287737,33.86492441,122.5424846,15.11961789,53.08324448,78.01785426,41.74822321,26.46008538,26.85484479
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,33,36.54635283,39.96105459,129.5916814,19.83772246,65.47362547,30.08377851,36.11658294,20.68353397,28.87900953
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,34,48.15126566,43.28159226,124.5442017,30.01900408,155.4521057,164.5800164,208.5948668,41.36426901,26.9903409
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,35,37.41298295,47.02912499,69.83578292,31.20898621,205.8326629,23.84816891,39.15817451,27.51660364,25.80324524
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,36,36.2170907,42.70052088,73.88387741,26.81815259,45.36778803,36.97254297,34.98900563,22.92253622,25.15276538
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,37,42.32391625,35.7741864,54.06542997,29.32178552,46.57783834,37.4486129,134.2599362,33.31303406,32.83093879
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,38,57.96828231,35.05306737,78.51844567,10.10791058,41.73737423,47.26649554,86.04536045,28.35249521,28.70259165
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,39,38.2938693,29.72601892,64.04941352,17.6713093,35.2240433,71.92072359,85.43274109,46.10563631,29.19511532
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,40,42.88507336,51.57623892,88.70909283,24.63033722,31.16239048,40.30092188,138.2791867,23.01451129,28.23935417
