bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,MichaelisMenten,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,1,85.8880236,89.39740109,191.2898205,48.92608127,100.8621738,162.3823984,315.3858882,73.26915183,51.00610383
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,2,80.33928767,88.44840916,313.3405711,48.07821846,88.62723662,141.3087903,463.5583977,70.06524005,49.95037754
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,3,99.4775065,114.6350806,89.30693475,49.4369695,151.8005866,177.6585873,195.5672186,102.9155518,77.23235204
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,4,76.2606759,69.49274903,193.7375027,41.05279066,311.4448791,289.7187839,344.0759404,110.8999896,53.4551418
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,5,63.41184963,67.72058224,150.8079303,71.59253213,279.0667285,229.9360521,448.6189105,69.7347828,59.65236754
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,6,89.05543337,71.16611118,144.5536545,46.50964084,324.2184897,153.0506636,260.4385545,74.22473227,47.2306352
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,7,87.56939509,96.65930326,162.0881388,68.26106174,240.9514346,122.148283,209.930741,54.60818061,87.5941858
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,8,88.23543904,90.67070268,331.5388446,43.53986075,277.5890278,250.0321475,318.2880148,108.2494321,153.5853018
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,9,83.82243271,80.49664118,186.4145081,71.62975527,151.6392166,145.6807446,246.0997219,144.5821094,159.6951115
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,10,76.43424774,76.4398931,106.446243,75.70809112,219.2177694,194.535667,171.9239685,57.29867719,170.8921485
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,11,59.59156009,72.63158605,110.4082421,61.95507935,152.0703349,378.8198896,110.2644364,93.15132125,96.52186657
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,12,80.5298568,78.76949723,145.4689364,49.80195921,159.03911,145.0826512,137.4808183,52.85003783,52.41459099
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,13,74.12134591,85.63519704,121.9325614,49.2384637,215.535606,229.1666039,121.5711841,97.20313624,90.20940951
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,14,79.4751972,78.70814023,144.9888459,69.39889893,119.0238922,129.3584451,278.0947083,92.27296631,56.33146525
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,15,82.26672926,62.48808886,138.7325363,74.21769781,297.2620372,124.0186715,128.5253673,110.6823144,62.3953262
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,16,85.76465442,57.20818516,363.03115,84.69901059,172.0587404,47.60227187,506.494835,110.6823144,74.10287026
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,17,95.40482573,69.17002511,358.211487,72.40090268,180.7945429,136.4861847,455.9496958,110.7436541,60.63640877
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,18,82.60438868,91.94588453,394.1625298,86.65376481,210.1863963,146.4956274,450.7458024,110.7436541,59.06370545
