bmr,index,model_average,Logistic,LogLogistic,Probit,LogProbit,QuantalLinear,Multistage2,DichotomousHill
"BMR = 10%: Added, BMR: 0.1",1,93.21071301,121.9192566,241.827362,89.13669749,277.5361278,34.2143097,69.56042149,210.1220435
"BMR = 10%: Added, BMR: 0.1",2,113.9414553,134.3622075,268.6224215,82.31317178,237.4348033,32.81999201,94.57447927,216.2664922
"BMR = 10%: Added, BMR: 0.1",3,175.2337141,115.7908922,193.5622709,89.66649852,256.1676774,35.15257602,91.0393747,226.9919641
"BMR = 10%: Added, BMR: 0.1",4,116.5490655,121.5153626,241.8947602,70.91888627,235.2430498,44.44726802,98.43319651,207.9538913
"BMR = 10%: Added, BMR: 0.1",5,123.2078095,123.4339067,186.8935588,104.7112404,259.6401181,36.03477201,91.20617678,236.2266135
"BMR = 10%: Added, BMR: 0.1",6,112.8663085,125.427104,240.6687518,90.99617987,241.3964802,47.98653182,94.56407621,196.7916171
"BMR = 10%: Added, BMR: 0.1",7,122.6245948,116.265492,259.6812785,105.0568907,264.3445969,42.6555455,132.8479033,258.406796
"BMR = 10%: Added, BMR: 0.1",8,133.2999212,116.9844864,270.8149167,110.1288142,241.2977966,23.58369778,85.24879782,249.6812532
"BMR = 10%: Added, BMR: 0.1",9,111.0228934,107.7401672,217.1607405,80.79435616,271.7736384,25.68352467,99.71193047,211.3582117
"BMR = 10%: Added, BMR: 0.1",10,94.86346878,102.2712558,219.6120244,105.621177,275.7756589,26.70207812,96.3300073,258.2443509
"BMR = 10%: Added, BMR: 0.1",11,102.2686141,85.59074975,226.6719255,115.4944804,247.0847513,52.04247722,77.65946453,271.9281415
"BMR = 10%: Added, BMR: 0.1",12,109.0796687,111.4806395,235.9937866,82.44194715,231.8002733,31.80707655,86.56366048,262.5352223
"BMR = 10%: Added, BMR: 0.1",13,103.560538,85.14572871,244.6662154,87.59592533,214.3859275,22.00155427,74.01961651,201.0255057
"BMR = 10%: Added, BMR: 0.1",14,130.8159847,145.2956579,196.843114,84.71092759,131.1686859,33.19424836,82.45734037,225.8781883
"BMR = 10%: Added, BMR: 0.1",15,87.15693721,124.5937167,217.407241,88.20960347,215.7938826,24.00609205,113.2436451,157.8110312
"BMR = 10%: Added, BMR: 0.1",16,123.2112054,138.0946642,193.541522,119.5041993,237.0927994,43.70390128,52.9684388,189.4458644
"BMR = 10%: Added, BMR: 0.1",17,87.20843214,132.0693971,195.8402228,71.78508337,204.4740107,45.64439165,63.756479,217.5215802
"BMR = 10%: Added, BMR: 0.1",18,121.9018812,113.4504953,156.4983878,109.8379979,219.5409124,26.22994199,96.82564425,260.654479
"BMR = 10%: Added, BMR: 0.1",19,98.26245192,98.81241558,237.0349994,68.88595693,243.2482978,41.39755122,121.0046788,233.553311
"BMR = 10%: Added, BMR: 0.1",20,126.9788983,105.983411,211.6507816,97.02360612,254.8440327,27.11699795,58.46065587,192.9349931
"BMR = 10%: Added, BMR: 0.1",21,172.0946694,131.3045959,217.2196618,93.90540546,246.816247,37.02125954,84.13235276,218.6588501
"BMR = 10%: Added, BMR: 0.1",22,183.5399857,120.4121241,228.6999395,80.88321495,244.6167025,36.62924595,92.66533796,204.9790113
"BMR = 10%: Added, BMR: 0.1",23,128.1102317,127.1099923,244.2576551,73.30248414,278.9544648,29.42768286,78.47852474,177.5198283
"BMR = 10%: Added, BMR: 0.1",24,103.6756663,120.6451405,212.8795422,119.2255278,269.0927555,38.3854868,89.28149508,240.1473407
"BMR = 10%: Added, BMR: 0.1",25,147.1077864,130.1242862,231.6727071,106.4606691,279.9947048,35.40356577,105.0258539,222.1792124
"BMR = 10%: Added, BMR: 0.1",26,125.1409101,110.8823843,192.5568991,115.2382624,254.2125208,39.12150746,115.7399302,181.42228
"BMR = 10%: Added, BMR: 0.1",27,100.8756928,123.9230983,258.136474,139.7492871,229.9807657,33.09172126,95.32768779,193.7846548
"BMR = 10%: Added, BMR: 0.1",28,77.88716256,100.2840936,196.7308962,116.8760817,256.2899405,25.89815233,99.1994907,214.2328888
"BMR = 10%: Added, BMR: 0.1",29,90.06547795,95.57518144,260.9775833,103.647155,252.9927639,40.48609487,99.5303691,243.5725095
"BMR = 10%: Added, BMR: 0.1",30,109.0800571,96.71049695,217.2813875,97.42398577,160.8330391,32.28750226,70.28128143,279.3532095
"BMR = 10%: Added, BMR: 0.1",31,145.051999,96.68433218,214.5631873,104.89499,243.4813834,24.99126603,94.51806058,195.9200358
"BMR = 10%: Added, BMR: 0.1",32,98.62923767,90.76291615,165.7216973,114.1325689,267.786969,38.68942546,79.54580493,188.2708152
"BMR = 10%: Added, BMR: 0.1",33,106.8653912,102.2643595,226.3825041,123.4298096,210.3820197,38.10902352,105.1070287,239.283977
"BMR = 10%: Added, BMR: 0.1",34,102.7836162,101.3528485,208.3698039,123.1969417,221.0067597,21.82888905,71.87054102,158.9026307
"BMR = 10%: Added, BMR: 0.1",35,128.3605989,82.95820998,191.372612,91.05850498,235.8484337,35.6321774,107.0420709,239.1060484
"BMR = 10%: Added, BMR: 0.1",36,124.3349309,118.6810348,181.3913544,107.0568697,226.1067869,28.97902624,95.1909269,193.3274263
"BMR = 10%: Added, BMR: 0.1",37,143.9398015,93.93598166,225.3834258,106.2486668,259.5152054,23.62472623,70.95832978,200.1619956
"BMR = 10%: Added, BMR: 0.1",38,152.387036,98.36055763,172.5093942,97.79237258,264.6092927,29.07132616,79.09670751,184.0846533
"BMR = 10%: Added, BMR: 0.1",39,144.7235613,82.7891299,215.2905297,125.796324,184.9494521,25.12928091,66.50995729,199.335396
"BMR = 10%: Added, BMR: 0.1",40,80.25608753,118.0640382,201.5344919,107.0840888,167.1297366,33.05235045,78.74094424,165.675551
"BMR = 10%: Added, BMR: 0.1",41,157.8919131,102.8485702,183.5152392,68.10801568,223.4995035,45.11999139,66.32946436,190.4879199
"BMR = 10%: Added, BMR: 0.1",42,124.3677906,143.7658022,231.0750809,106.2430384,198.8497739,27.05163916,101.1758197,197.6223581
"BMR = 10%: Added, BMR: 0.1",43,109.8563956,128.8443302,209.3978282,77.74234565,216.8644853,24.27202601,46.9924245,208.7925448
"BMR = 10%: Added, BMR: 0.1",44,107.9475262,133.8007097,183.0998868,77.74234565,167.967167,29.84528569,63.07687016,217.6652918
"BMR = 10%: Added, BMR: 0.1",45,82.08886149,131.6783644,168.8708437,86.26720176,161.4156854,32.46664991,94.19412821,214.5163792
"BMR = 10%: Added, BMR: 0.1",46,133.7912448,137.9967314,175.9158288,84.4473311,202.5278547,40.49664748,110.7378066,205.3806917
"BMR = 10%: Added, BMR: 0.1",47,107.8037238,163.4545489,178.90276,80.41436652,206.0109461,54.12192021,72.24917579,238.9635951
"BMR = 10%: Added, BMR: 0.1",48,85.03429066,100.4503457,203.582674,95.41759247,163.1291831,25.54546455,103.0250402,214.5259761
"BMR = 10%: Added, BMR: 0.1",49,94.49875304,126.4735315,204.7044695,124.2271915,210.5420755,32.03495756,77.43632091,229.2144382
"BMR = 10%: Added, BMR: 0.1",50,103.2707479,159.8981146,206.3326466,125.0030192,261.8930226,41.93601236,86.30552612,245.4844778
"BMR = 10%: Added, BMR: 0.1",51,134.0116988,151.5146478,158.9439014,143.0517465,221.5720871,37.11527626,87.54239131,236.2901424
"BMR = 10%: Added, BMR: 0.1",52,97.55042068,105.132217,164.8023297,119.5645584,188.4714759,29.04753064,84.20341679,217.9023046
"BMR = 10%: Added, BMR: 0.1",53,102.209865,105.132217,179.3920867,99.7054404,228.6826203,39.17314625,59.42395989,233.6470401
"BMR = 10%: Added, BMR: 0.1",54,135.457513,107.9571803,207.7146246,98.97754182,218.7277078,42.42165604,59.42395989,219.3656885
"BMR = 10%: Added, BMR: 0.1",55,116.5529886,98.56021219,248.716119,111.1039031,248.402327,48.66258525,93.02222752,220.2649016
"BMR = 10%: Added, BMR: 0.1",56,119.049669,137.5550416,165.5363687,107.4911202,227.8227008,38.96541679,91.09823688,195.6873153
"BMR = 10%: Added, BMR: 0.1",57,111.6975675,125.6079284,171.9107514,103.7219571,204.1742865,37.17039765,72.2804287,195.6873153
"BMR = 10%: Added, BMR: 0.1",58,121.0253563,125.6079284,219.9108384,86.59751898,209.6319119,36.16601712,115.7581315,195.6873153
"BMR = 10%: Added, BMR: 0.1",59,91.7006903,125.6290389,212.1224842,134.307534,241.4303058,32.83823173,48.81392687,203.7126226
"BMR = 10%: Added, BMR: 0.1",60,107.8576655,132.2739837,242.0447683,103.2503696,287.1068329,38.24106419,87.34173439,203.7126226
"BMR = 10%: Added, BMR: 0.1",61,150.296111,161.4489492,262.6679549,108.2810613,247.6900288,29.37457467,91.73206652,222.6892933
"BMR = 10%: Added, BMR: 0.1",62,175.3882227,154.0701802,255.9282622,98.91936618,248.5927483,29.10069363,80.252491,227.5271472
"BMR = 10%: Added, BMR: 0.1",63,128.9493621,143.8194713,255.9282622,82.43922709,284.1276074,39.01673178,78.6328537,189.5135353
"BMR = 10%: Added, BMR: 0.1",64,122.8107637,143.9021642,216.8010035,112.2509054,260.2981834,51.39942211,98.5828994,213.9958766
"BMR = 10%: Added, BMR: 0.1",65,100.3391101,118.9972697,178.9137235,113.0249136,238.340513,49.23644528,96.4655536,231.3473246
