bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,MichaelisMenten,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,1,115.4890504,106.9363416,112.2328917,80.27869807,159.9630697,134.9512539,101.8377033,63.40275666,97.54043876
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,2,98.50373045,113.4707758,134.1040099,85.66087084,191.7961729,90.23617966,93.58374009,57.77733988,97.54043876
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,3,111.7118813,116.1682429,164.9169597,89.7209316,168.5721488,84.81685189,93.9226658,63.67082605,104.4387238
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,4,101.8656716,115.8985985,227.944972,105.0893202,166.1801982,99.58829274,170.2078966,81.16858527,89.50042372
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,5,111.3240814,107.8559155,110.6821323,104.8788549,151.8527361,164.2704832,115.3365131,66.21392719,94.47786426
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,6,104.3027923,119.5552702,213.290623,107.7894372,145.0403701,139.6964534,104.8426606,74.91643182,105.5763033
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,7,103.2895865,117.5431925,160.8255422,89.62846289,114.6072138,138.1770149,142.2364229,88.78979867,98.04754252
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,8,95.8097639,109.4900279,120.3707829,78.88775422,199.5928817,127.7036852,129.0898692,74.82825448,95.76221477
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,9,108.481477,101.0829986,102.2118668,90.48840675,138.8510986,105.2182914,210.738248,75.43187492,97.21396776
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,10,107.5096086,113.6947762,103.4115839,103.9305274,97.10004257,129.2672572,159.1037272,75.43187492,95.57176906
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,11,114.2680317,115.5953716,116.8561329,97.94006676,195.0761918,125.3391221,103.1479771,70.09119983,89.84889661
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,12,110.9897987,125.5034007,106.4276175,90.1430259,157.7015507,109.0323366,110.730096,70.55108481,88.47621327
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,13,109.6552513,115.8105658,111.3530691,92.41132589,154.9772272,92.61399672,123.8776857,77.97528273,81.58605137
