bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,MichaelisMenten,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,1,131.1397362,127.1163592,186.1408637,134.7159902,129.2820668,112.410752,134.3588243,81.66145888,110.5020708
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,2,144.9081621,136.5611127,177.9618542,124.7077755,185.393539,97.37271493,149.9784223,97.64294661,121.3605352
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,3,119.8985955,117.9939572,177.9618542,116.0233998,98.26196118,127.6223411,115.4354809,77.59978635,114.3524924
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,4,136.62175,138.893649,160.6591462,110.17639,153.7412911,110.4315631,122.6088477,94.79419337,122.5128493
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,5,122.6253246,130.3877486,134.6929264,123.0615351,130.5568584,100.5321936,108.7135707,87.73741875,104.6224672
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,6,144.1528046,136.428009,141.650278,102.6667731,133.4804909,94.29836162,125.2395459,78.27965667,104.5944274
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,7,123.1501751,130.1720665,121.9769601,98.59623489,100.0387599,100.2907656,110.6176232,76.55542683,115.49978
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,8,130.5976541,116.0979516,123.7660801,101.708305,142.7115541,94.07903795,123.7520302,74.05642427,100.0823081
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,9,116.3966837,140.0291715,169.2624789,72.75548659,111.7141843,99.58264193,122.1860734,82.65517532,116.965059
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,10,123.9187215,124.9149263,131.0932656,104.0802349,126.900413,115.461541,127.9498907,72.55254463,132.3888487
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,11,132.07847,124.2292846,135.0532729,102.8777936,117.8188024,116.4861332,120.1482507,77.55564052,112.0214554
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,12,132.4616417,137.4597616,122.1376582,102.9563178,106.6055054,135.3642197,127.3520116,85.78981459,125.6658209
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,13,132.1004371,133.4288474,131.6395513,101.5428506,114.3489169,152.3645407,127.8067013,102.5159808,121.6882099
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,14,137.3475437,131.7747452,140.0189515,86.65834483,112.3019143,96.19422194,124.6023673,98.01965879,110.1320526
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,15,133.5373613,141.4641129,149.4902373,81.27075785,111.4871766,142.3055777,126.3804114,101.5545466,129.4132635
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,16,118.9543937,110.0251115,174.6203827,83.41439894,136.1866948,107.5338162,128.6974257,87.3608814,116.5976693
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,17,123.7579671,114.3813085,160.4436902,88.68584714,121.1572244,137.6247252,120.6012922,104.6574139,120.9592461
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,18,146.0358618,131.8047496,206.764,105.3097557,115.2253483,126.7726424,121.920689,105.0257264,118.3783366
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,19,146.0952074,140.7928819,149.7804482,99.18495258,112.1174569,128.8019851,139.1288504,99.54613897,117.6241574
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,20,139.9775192,138.5280252,148.1689023,82.09283181,110.8076079,94.23657172,138.4648533,87.67804451,99.50501287
