bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,MichaelisMenten,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,1,0.124540466,0.130477139,1.620662008,0.065430641,0.28674671,0.793687924,3.447775781,0.216134007,0.245982139
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,2,0.121594997,0.119784917,3.277386011,0.045110328,0.337604834,0.792562313,3.423722092,0.232120583,0.248798909
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,3,0.102297302,0.127433075,3.043091334,0.108642905,0.296927863,0.274806094,3.408176559,0.182943035,0.262273714
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,4,0.125620047,0.138118333,2.889437454,0.078789876,0.201457782,0.2714961,3.455093404,0.199479378,0.265947111
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,5,0.129840388,0.118296343,3.03107141,0.062128886,0.235881385,0.390559396,3.524348297,0.180787706,0.25011724
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,6,0.12139957,0.109858725,2.831041892,0.04648968,0.406022727,0.493292743,3.524348297,0.193147441,0.248415711
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,7,0.130416191,0.117311657,2.936368056,0.115359137,0.199699412,0.236457857,3.550471806,0.187862628,0.287540858
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,8,0.11062518,0.115294149,2.939562106,0.084817979,0.483456387,0.395005655,3.533893663,0.194931525,0.28498458
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,9,0.121986398,0.129544497,3.196043458,0.100570345,0.702759258,0.405793835,3.283446205,0.198547511,0.25559092
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,10,0.109380925,0.123738368,3.15401587,0.110996221,0.70761241,0.300360555,3.460990454,0.204710956,0.267160124
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,11,0.118340138,0.128765517,3.15401587,0.068118894,0.606896744,0.457815885,3.431786595,0.204424011,0.261524244
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,12,0.11510642,0.104413089,2.797487631,0.07860064,0.568473374,0.409550179,3.481291093,0.186383573,0.270392709
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,13,0.111701425,0.119144325,1.746916553,0.064656184,0.574862369,0.356023567,3.519176933,0.19012345,0.253432116
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,14,0.106999964,0.120444931,2.76952995,0.03823456,0.629072657,0.306885555,3.563423216,0.217508521,0.265220728
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,15,0.114824176,0.095430624,0.536388935,0.050052928,0.679072725,0.441493305,3.563423216,0.206249948,0.252566249
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,16,0.116881464,0.093524301,0.470633469,0.062856647,0.748328599,1.10652339,3.563423216,0.227035246,0.262506055
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,17,0.106743116,0.090597765,0.243676682,0.113964622,0.725585134,1.447339207,3.563423216,0.213645895,0.249840984
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,18,0.108364163,0.100863927,0.150827144,0.104461294,0.684072013,1.437403095,3.563423216,0.238770645,0.25984041
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,19,0.125173046,0.12817809,0.120566753,0.103288918,0.704820709,1.252318138,3.563423216,0.226645769,0.26421416
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,20,0.141878299,0.121957394,0.210872462,0.084753938,0.665392975,1.252318138,3.488861447,0.224532244,0.248795743
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,21,0.097574871,0.124733447,0.146984476,0.102768682,0.687863692,0.798978506,3.455067383,0.219302088,0.269797096
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,22,0.117738115,0.099148666,0.430164888,0.094843588,0.705687057,0.823397749,3.511496479,0.225528873,0.261162437
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,23,0.125488539,0.150482821,1.186938686,0.106848315,0.767834876,0.873072081,3.511496479,0.211378732,0.252540454
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,24,0.113333213,0.15903636,1.310113745,0.101372395,0.653509435,0.873072081,3.52416497,0.212630636,0.259686856
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,25,0.117013542,0.150079385,0.485995022,0.081974829,0.512236128,0.683476388,3.52416497,0.217093069,0.261098799
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,26,0.119907996,0.150766726,1.851458992,0.079395645,0.295119401,0.683476388,2.884631168,0.254934918,0.261041904
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,27,0.121017232,0.092781914,2.107582892,0.060095383,0.24666378,0.22193048,3.219765339,0.256489064,0.269687709
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,28,0.124760964,0.136032988,2.594397933,0.088610688,0.787145981,0.316946316,3.075917397,0.228225761,0.26295634
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,29,0.148082289,0.117462849,3.123219745,0.077114,1.037104431,0.523239213,3.273131175,0.204950189,0.253402093
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,30,0.107052417,0.119320288,2.837387661,0.073727566,0.922610923,0.177141617,3.262556015,0.198684298,0.247762638
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,31,0.125419322,0.141443391,2.280832454,0.075718122,0.964805743,0.242093419,3.088594495,0.202988895,0.251654007
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,32,0.11275038,0.099339795,2.359633649,0.050309767,1.033624856,0.287855934,2.872819179,0.209125545,0.254000768
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,33,0.113949765,0.115317055,2.930719516,0.062873794,1.033624856,0.281376182,3.115971189,0.208332977,0.254406263
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,34,0.125847978,0.10539248,3.184535073,0.078454611,1.077957187,0.798813406,2.91075979,0.188748158,0.246943834
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,35,0.13790934,0.104733877,3.218380022,0.082678641,1.023144376,0.705973544,2.815123975,0.214951085,0.254767055
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,36,0.102729933,0.113532144,3.115340426,0.13551926,0.644859168,0.601923025,2.612422814,0.219862823,0.258597709
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,37,0.134949318,0.110586354,3.361530514,0.105261932,0.645384736,1.378164665,2.494490968,0.204777714,0.258490175
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,38,0.116015215,0.136301155,3.361530514,0.121191628,0.630386357,0.886418926,2.889253874,0.222108478,0.248286617
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,39,0.103316532,0.114429214,3.378138767,0.103280619,0.992100847,0.757544423,2.793474613,0.171333873,0.258077853
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,40,0.115442599,0.090947432,3.259492624,0.100348809,0.724760918,0.452821148,3.052103661,0.171333873,0.256663755
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,41,0.136809268,0.089851863,3.205424515,0.07565613,0.685391618,0.424058927,3.060135946,0.157936841,0.257940823
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,42,0.104314818,0.129487458,2.097123118,0.059465093,0.620647947,0.65698565,3.418958881,0.157636532,0.258572296
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,43,0.118669317,0.125746812,1.980488387,0.071877335,0.898765348,0.64846639,3.4493732,0.15220391,0.265638764
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,44,0.080002164,0.114732789,2.273886806,0.061622145,0.764670461,0.645027579,3.412157473,0.165758538,0.265242547
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,45,0.109940318,0.111313011,2.901920643,0.059954622,0.696680671,0.619937885,3.28719779,0.154220655,0.268807928
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,46,0.135201622,0.111325933,3.214713125,0.108931883,0.64277618,0.591414032,3.25483113,0.155426166,0.268315307
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,47,0.119477999,0.104373067,2.927935781,0.127241124,0.94129736,0.331619256,3.360797676,0.155426166,0.252540089
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,48,0.120774035,0.09797058,2.565086188,0.083901943,0.928760508,0.679143509,3.24435528,0.155426166,0.258462953
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,49,0.144311368,0.102393232,2.634251212,0.072431185,0.780948229,0.860837903,3.181831421,0.155426166,0.255928583
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,50,0.113466145,0.113988044,2.546881837,0.109275733,0.824312464,0.980168222,3.301251276,0.155148448,0.281863244
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,51,0.115894513,0.107644372,3.091681176,0.11757486,0.894223797,0.637517423,2.559374207,0.156131815,0.332944021
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,52,0.158014347,0.135466518,2.987045135,0.097397744,0.894223797,0.80888731,2.37512784,0.16608871,0.303661911
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,53,0.109133049,0.131060173,2.925740407,0.11252417,0.837984851,1.146394529,2.626926487,0.16523915,0.306414611
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,54,0.095381101,0.118858609,3.066077076,0.091548619,0.837984851,2.097200418,2.481207802,0.147124397,0.265636914
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,55,0.115267035,0.112832862,2.914791961,0.066747843,0.844886588,2.067673625,2.523766333,0.163706548,0.257317164
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,56,0.112086293,0.133851091,2.791872701,0.098986912,0.832451854,2.100747531,2.322794659,0.163706548,0.255538606
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,57,0.135429919,0.132664381,3.272622383,0.086964793,0.771580519,1.699177302,2.009916577,0.166040433,0.245044531
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,58,0.113236044,0.129614535,3.317132592,0.08339677,0.749731485,1.523029829,2.640674117,0.157891635,0.251206589
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,59,0.142979214,0.123012362,3.317132592,0.070061499,0.682538155,1.439246303,2.155449497,0.163084685,0.264152228
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,60,0.142834769,0.11310017,3.317132592,0.08409897,0.664071413,1.321514267,1.814163222,0.166726225,0.237568275
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,61,0.110670697,0.127416879,3.317132592,0.083794332,0.683735431,1.240715716,2.797292707,0.165748227,0.276981288
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,62,0.111387215,0.103910358,3.288995027,0.08138748,0.711086405,1.191533025,1.941052229,0.165992371,0.244600768
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,63,0.109346762,0.127247805,3.288995027,0.085554176,0.771028344,1.098027919,1.869418935,0.165992371,0.252980781
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,64,0.092540946,0.105423712,3.38166981,0.123447657,0.823333069,1.077111834,2.004453355,0.174546457,0.263081079
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,65,0.130078536,0.115947518,3.38166981,0.050595286,0.805279842,0.802789081,1.791392457,0.166672358,0.268053959
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,66,0.115116032,0.108264163,3.302766584,0.051522275,1.071833563,0.431593118,1.684910464,0.175544292,0.266465813
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,67,0.133243019,0.121541393,3.167749216,0.069910916,1.071833563,0.471668496,1.780899448,0.175544292,0.2615588
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,68,0.113006874,0.104466005,3.012057244,0.073187146,0.866622579,0.454890977,2.382143564,0.180908813,0.260747278
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,69,0.108774599,0.106221335,2.976299464,0.071292953,0.85937414,0.487122421,0.798343797,0.201206511,0.257675467
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,70,0.106580121,0.11415264,3.152988158,0.085752138,0.851381727,0.454957485,2.427696831,0.192626148,0.257519684
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,71,0.129006525,0.095577843,3.298321448,0.079523483,0.722987977,0.418581398,2.706636871,0.216853304,0.261789472
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,72,0.109361943,0.11347315,3.243816461,0.080184635,0.644177825,0.411730137,2.302547604,0.220667151,0.261880786
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,73,0.1268351,0.109280123,3.243816461,0.067744655,0.625989752,0.399408555,3.308223048,0.210165052,0.261305975
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,74,0.120182412,0.135108863,2.973513338,0.077565051,0.628578872,0.246438825,3.112940304,0.215305304,0.253277938
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,75,0.117553626,0.114191647,2.847578491,0.069690725,0.715465192,0.256872626,2.67862014,0.223836995,0.251432743
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,76,0.12140692,0.133902285,2.559783143,0.058703907,0.690698707,0.243562395,3.022613147,0.219840589,0.261902344
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,77,0.115346003,0.108489423,2.420547024,0.122003915,0.718478134,0.236559377,3.210897822,0.214957937,0.252493987
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,78,0.107584515,0.085006789,2.878575112,0.106999521,0.636336212,0.288644644,2.998966831,0.189341612,0.249706677
