bmr,index,model_average,Logistic,LogLogistic,Probit,LogProbit,QuantalLinear,Multistage2,Weibull,DichotomousHill
"BMR = 10%: Added, BMR: 0.1",1,161.1081761,328.2462423,30.30391758,53.69552534,43.45539271,45.60213837,28.79352131,33.2163173,10.10055309
"BMR = 10%: Added, BMR: 0.1",2,56.58529316,167.5640183,30.30391758,53.69552534,43.31027214,321.4988407,104.2314721,32.96269531,0.104645631
"BMR = 10%: Added, BMR: 0.1",3,105.0910831,553.9459179,30.58782772,54.01491927,44.26115283,100.3407092,125.4798504,35.56654687,2.547440395
"BMR = 10%: Added, BMR: 0.1",4,62.05518541,476.2844855,29.91311,70.92641288,43.82395787,29.0044261,19.15010351,34.89355234,0.64932165
"BMR = 10%: Added, BMR: 0.1",5,1934.423381,181.4639227,29.57272552,29.34707522,40.71410923,80.73877492,43.37932388,34.22108326,0.512619728
"BMR = 10%: Added, BMR: 0.1",6,37.34725576,40.60933647,29.77609959,29.34707522,36.19560058,80.73877492,31.34478576,34.35212954,4.88818939
"BMR = 10%: Added, BMR: 0.1",7,125.5647796,40.60933647,40.33049151,33.88618235,38.0707581,95.74732663,69.83512376,36.28112914,4.20384277
"BMR = 10%: Added, BMR: 0.1",8,57.70021084,40.60933647,46.56119416,33.88618235,37.8966079,119.0335627,59.71337374,42.34389401,4.565446128
"BMR = 10%: Added, BMR: 0.1",9,95.24060408,40.60933647,52.48203369,33.88618235,36.16953567,119.0335627,32.66496542,39.2438378,1.869038754
"BMR = 10%: Added, BMR: 0.1",10,39719.59009,208.2571918,35.32726562,20.53958098,35.91765267,50.52530154,48.46871853,36.77246988,4.773025036
"BMR = 10%: Added, BMR: 0.1",11,40.01786195,194.9629421,35.75847209,42.09836131,34.19570214,85.8962472,70.14667376,36.10271238,4.784569415
"BMR = 10%: Added, BMR: 0.1",12,121.8769188,901.0779893,35.64558827,35.56662776,34.19570214,120.7632685,54.93886619,37.78481328,2.531022657
"BMR = 10%: Added, BMR: 0.1",13,100.6114608,919.9761692,32.22235994,27.02095672,34.19570214,62.60245904,32.06620003,30.67499113,1.118909612
"BMR = 10%: Added, BMR: 0.1",14,49.22585511,59.36880249,34.00642632,25.29606932,34.19570214,64.065434,31.076438,31.07965856,0.57414267
"BMR = 10%: Added, BMR: 0.1",15,62.92770345,29.49472647,46.06893701,47.58309087,34.00151112,15.0911982,19.77460769,30.44405243,162.3052228
"BMR = 10%: Added, BMR: 0.1",16,56.15691492,32.54228943,65.2421358,51.66611975,34.00151112,59.17092396,57.25374314,31.83678656,0.028747207
"BMR = 10%: Added, BMR: 0.1",17,81.75991879,39.76251588,66.74723016,75.5688776,34.00151112,308.2761955,106.1755307,79.15866884,6.730241865
"BMR = 10%: Added, BMR: 0.1",18,76.36294937,114.6112008,51.81056043,90.7280334,38.72574938,440.9979942,89.56439347,65.29672449,1.247826671
"BMR = 10%: Added, BMR: 0.1",19,145.8665493,148.4340752,75.13821364,639.5772003,36.95859033,307.0150078,79.2685897,83.57691874,0.013602134
"BMR = 10%: Added, BMR: 0.1",20,533.3759713,31.6905784,60.33209569,139.5121493,40.50430949,1486.091302,65.47901441,51.04658903,0.000425966
"BMR = 10%: Added, BMR: 0.1",21,41.40533194,47.4390753,36.02508903,900.3654684,31.4302523,1828.698785,37.28576565,38.04421485,0.000215726
"BMR = 10%: Added, BMR: 0.1",22,474.0274662,107.5640494,31.9062489,47.20347831,31.4302523,1092.880827,53.01036052,34.00413648,0.00171587
"BMR = 10%: Added, BMR: 0.1",23,131.862994,392.8671177,33.83506731,272.4261755,31.17027415,1511.994009,21.87239039,33.04076861,1.608701898
"BMR = 10%: Added, BMR: 0.1",24,89.53099158,156.0091927,32.98605384,178.4829469,31.71638267,348.2471693,37.05459247,32.97581262,1.727855308
"BMR = 10%: Added, BMR: 0.1",25,150.2461939,292.4137959,31.67357606,75.40027775,31.71638267,2890.415949,44.12561839,34.33074847,2.858741412
"BMR = 10%: Added, BMR: 0.1",26,41.77490011,249.4068024,30.57792622,71.99141051,32.5276498,4679.465882,57.80959598,33.76098496,2.2185261
