bmr,index,model_average,Logistic,LogLogistic,Probit,LogProbit,QuantalLinear,Multistage2,Weibull,DichotomousHill
"BMR = 10%: Added, BMR: 0.1",1,192.2366135,261.3967346,36.5990218,31.63912537,34.07747646,50.34438517,43.28986337,31.74316152,4.550786448
"BMR = 10%: Added, BMR: 0.1",2,340.1745947,160.534118,40.84439775,199.3105051,33.79324338,127.685801,34.9845779,34.88848741,3.726712744
"BMR = 10%: Added, BMR: 0.1",3,48.23379662,132.5179817,43.48833352,77.1752993,33.79324338,204.3420217,34.9845779,33.08649923,3.726712744
"BMR = 10%: Added, BMR: 0.1",4,42.26530241,94.39223187,41.53170308,108.1383963,33.79324338,229.4967067,60.18794073,32.82265948,2.222972911
"BMR = 10%: Added, BMR: 0.1",5,363.1025606,75.7581067,52.54080862,99.64189335,33.79324338,207.270012,28.66264887,30.55843696,1.242874765
"BMR = 10%: Added, BMR: 0.1",6,270.9094605,123.7401556,72.76047758,43.26036376,33.67934597,276.1773682,33.74482252,30.93429873,0.556856057
"BMR = 10%: Added, BMR: 0.1",7,250.6493434,281.2658029,47.03264942,54.78092645,33.67934597,181.9729401,53.68671363,30.75613706,0.755343348
"BMR = 10%: Added, BMR: 0.1",8,112.5967603,297.6655455,60.43709818,51.01478675,33.67934597,141.2231548,53.68671363,32.32966803,3.67011636
"BMR = 10%: Added, BMR: 0.1",9,922.2623327,189.3303355,67.85100602,67.21498518,33.67934597,63.49783563,64.07182161,32.81670094,2.464708466
"BMR = 10%: Added, BMR: 0.1",10,173.627781,2035.900044,97.38252302,77.37224725,46.1517148,87.74897302,38.48212161,36.2656943,5.937820057
"BMR = 10%: Added, BMR: 0.1",11,32.43994995,801.8536407,96.98394534,44.57108973,51.70922828,37.19374266,41.86776811,34.48989383,3.188341376
"BMR = 10%: Added, BMR: 0.1",12,40.56803784,837.142452,98.91150875,60.26873899,64.51792769,30.23896151,64.97103012,34.48989383,4.14828975
"BMR = 10%: Added, BMR: 0.1",13,49.1842542,333.6951135,101.8890599,45.7720236,111.2445889,42.81593098,31.96732707,34.48989383,4.57529004
"BMR = 10%: Added, BMR: 0.1",14,54.32451022,238.8878424,100.4312734,45.7720236,65.17871788,38.4219779,35.39658602,34.48989383,3.385902692
"BMR = 10%: Added, BMR: 0.1",15,90.66983137,227.3778498,72.11086964,45.7720236,72.00085674,72.37778275,38.94337198,34.87878486,0.450996097
"BMR = 10%: Added, BMR: 0.1",16,121.9318199,74.47101742,128.8009778,259.2002765,59.30290169,82.14170309,26.01977666,34.84090501,0.132908256
"BMR = 10%: Added, BMR: 0.1",17,139.8710071,86.54017097,125.6933725,84.90745898,53.22293999,83.03943851,19.53762506,37.15266057,2.809095857
"BMR = 10%: Added, BMR: 0.1",18,50.79028091,49.64498124,55.08882573,90.40050805,45.1669259,74.0480492,50.53700095,39.70898268,3.234772483
"BMR = 10%: Added, BMR: 0.1",19,63.45147271,76.11131234,58.28035306,137.9615555,37.31687312,74.44423827,31.04830481,38.45308626,0.996282873
"BMR = 10%: Added, BMR: 0.1",20,91.86202642,76.11131234,92.75683524,79.20095316,35.67469984,56.50807519,56.13506747,39.48141219,0.242470545
