bmr,index,model_average,Logistic,LogLogistic,Probit,LogProbit,QuantalLinear,Multistage2,Weibull,DichotomousHill
"BMR = 10%: Added, BMR: 0.1",1,50.0594836,91.30123187,34.89086641,49.47077088,119.5008965,19.23476031,37.79721872,31.06769587,2.321968132
"BMR = 10%: Added, BMR: 0.1",2,278.5938717,31.12106937,34.86434594,60.45457907,79.39526603,37.42548233,42.44454524,34.77013587,1.538319825
"BMR = 10%: Added, BMR: 0.1",3,55.9821312,66.55646573,33.15029739,36.93007023,80.51157646,32.11780059,44.78875293,30.84118664,1.090561893
"BMR = 10%: Added, BMR: 0.1",4,365.7715738,43.71695731,31.68253589,46.73978347,54.06736093,26.21270501,41.00945963,31.46556077,2.947862291
"BMR = 10%: Added, BMR: 0.1",5,51.92327658,43.71695731,31.68253589,52.50537385,230.9771703,42.53423385,33.02737469,32.22666597,2.947862291
"BMR = 10%: Added, BMR: 0.1",6,35.89956281,48.41405128,34.02363223,51.69066734,167.5379264,212.7505408,26.70130383,31.51434226,2.947862291
"BMR = 10%: Added, BMR: 0.1",7,123.5850909,48.41405128,36.1336567,70.14166192,119.3607229,28.73415059,37.41462987,41.02159655,2.947862291
"BMR = 10%: Added, BMR: 0.1",8,47.33483957,91.39821806,36.88021959,127.6964691,89.56226787,206.8056203,36.46210348,63.50154235,3.849361153
"BMR = 10%: Added, BMR: 0.1",9,27.76030632,27.08672365,36.71572651,89.32306593,137.5130867,25.25054246,41.69907671,67.70381643,3.849361153
"BMR = 10%: Added, BMR: 0.1",10,40.60361196,55.01084005,36.71572651,121.5404683,157.7425038,32.07986832,28.75822415,160.5446219,3.849361153
"BMR = 10%: Added, BMR: 0.1",11,70.19871968,20.56726901,36.71572651,28.76890744,141.4440911,49.02105912,35.81157337,101.8650374,3.044832617
"BMR = 10%: Added, BMR: 0.1",12,45.09691545,20.56726901,36.71572651,39.54890453,79.15727627,230.0620673,18.11504939,49.02507623,3.044832617
