bmr,index,model_average,Logistic,LogLogistic,Probit,LogProbit,QuantalLinear,Multistage2,Weibull,DichotomousHill
"BMR = 10%: Added, BMR: 0.1",1,294.262241,69.64480585,65.50854991,74.89787137,39.55209838,146.5034644,90.92732983,626.6856838,3.079059056
"BMR = 10%: Added, BMR: 0.1",2,28.82514843,29.9139953,54.54128005,154.1221929,31.16938601,567.7109758,66.13220129,623.4398418,5.988484648
"BMR = 10%: Added, BMR: 0.1",3,149.9108233,39.03918513,25.26739115,125.4627046,36.34419248,55.08674748,135.3718376,122.9719253,3.446093668
"BMR = 10%: Added, BMR: 0.1",4,135.8463965,130.7505849,27.85854075,108.6668184,36.40749897,242.5012073,66.02652771,114.5502201,6.250798533
"BMR = 10%: Added, BMR: 0.1",5,80.18026818,290.748832,45.31783988,33.49885847,32.60569659,125.8669391,65.61297478,378.2588863,4.831967623
"BMR = 10%: Added, BMR: 0.1",6,48.47883153,251.1880737,28.09684894,70.88376527,34.56276264,90.82307187,76.19404969,705.0482301,0.637781566
"BMR = 10%: Added, BMR: 0.1",7,26.89095966,77.87318471,27.96553062,65.40300826,49.589905,68.93986607,27.69697598,226.3937732,0.347060732
"BMR = 10%: Added, BMR: 0.1",8,128.8869142,34.64889033,39.37297391,32.28747507,37.31217516,41.58463214,26.80914123,238.5026204,1.985642106
"BMR = 10%: Added, BMR: 0.1",9,64.13233217,34.35676874,17.75136896,32.12253171,35.17058236,51.68936918,26.80914123,377.4615856,15.38560542
"BMR = 10%: Added, BMR: 0.1",10,141.1994406,45.73410954,29.70591764,41.89370977,38.18178058,64.33679532,120.0538345,391.8766574,7.719628361
"BMR = 10%: Added, BMR: 0.1",11,93.4598526,79.7854155,28.65404179,43.99609512,37.07974594,35.27151512,31.17314456,325.7429944,11.52888323
"BMR = 10%: Added, BMR: 0.1",12,19.64658788,38.20951627,38.98775817,186.5595386,85.11813343,35.27151512,196.5883008,80.19323616,3.05563425
"BMR = 10%: Added, BMR: 0.1",13,33.27799774,40.54980243,24.56613365,43.15222158,28.6333662,69.41165813,102.9792519,606.1230076,2.260188644
"BMR = 10%: Added, BMR: 0.1",14,36.42657551,40.54980243,22.73381458,23.58517302,40.67060725,47.24031428,135.2682538,105.7058142,1.126616987
"BMR = 10%: Added, BMR: 0.1",15,63.25611597,53.0977088,24.11229121,37.88659223,37.49957754,143.3200578,42.37015059,40.56095008,1.354342897
"BMR = 10%: Added, BMR: 0.1",16,90.99690669,76.06664424,27.87183859,33.96159761,28.5882784,622.4121315,80.50339032,128.0663703,2.768213485
"BMR = 10%: Added, BMR: 0.1",17,25.79972184,46.55146864,32.43023223,34.68289531,65.40600917,45.9985179,93.26304129,46.59230069,2.499239947
"BMR = 10%: Added, BMR: 0.1",18,31.43635405,62.74479832,59.52279224,38.6927602,35.5768151,418.1638531,108.2688,402.7259981,2.413595155
"BMR = 10%: Added, BMR: 0.1",19,80.40025442,50.38744579,52.08663993,89.17831202,35.37910291,516.0670237,40.62395311,220.0083087,2.818625222
"BMR = 10%: Added, BMR: 0.1",20,45.79223592,81.6413513,20.78011264,84.57790943,48.25644597,1258.481539,59.53962607,65.82368,15.58395442
"BMR = 10%: Added, BMR: 0.1",21,208.1032027,132.1690627,16.50991481,77.57790634,37.22613144,1182.524948,60.90963649,53.24514342,2.927880935
"BMR = 10%: Added, BMR: 0.1",22,56.74901614,216.7441894,43.32320244,33.98667644,25.54470073,737.5642326,140.2903142,52.8920876,8.623492468
"BMR = 10%: Added, BMR: 0.1",23,144.8269302,79.71706519,23.25547841,54.90811469,45.17101033,203.9198902,125.4385246,90.63863621,7.72917587
"BMR = 10%: Added, BMR: 0.1",24,120.7270436,58.36439794,26.82442685,77.56641705,30.31172481,125.4323262,94.02778643,203.1747175,2.127806356
"BMR = 10%: Added, BMR: 0.1",25,63.14656025,110.7056212,19.14466153,58.11411077,34.48194509,249.7872435,53.79353842,36.52509594,0.701320151
"BMR = 10%: Added, BMR: 0.1",26,41.3296199,138.8471597,24.19278517,39.03628949,33.13738164,56.40410485,114.6739766,304.4070635,0.429229321
"BMR = 10%: Added, BMR: 0.1",27,62.78146114,41.52809743,21.07445425,39.47993631,32.59962544,45.1400254,344.2610322,79.42262677,2.397492409
"BMR = 10%: Added, BMR: 0.1",28,62.73286036,71.31299846,26.91318921,71.61745785,27.3491265,67.25704959,43.7810408,655.3999161,5.491658447
"BMR = 10%: Added, BMR: 0.1",29,222.6947917,123.2657399,15.71097696,51.40062847,42.48850408,19.63965231,173.9750588,24.9325663,3.892588843
"BMR = 10%: Added, BMR: 0.1",30,242.0941253,62.91791901,23.74828752,61.56822693,47.3733142,21.95658943,144.7017202,571.4205779,6.573190257
"BMR = 10%: Added, BMR: 0.1",31,45.33221162,33.09024815,25.31313814,59.92396637,29.04943538,21.95658943,81.19850362,222.6235105,11.81927271
"BMR = 10%: Added, BMR: 0.1",32,120.4920022,52.98298218,45.74030673,40.68443068,54.5856418,19.0069349,91.58827684,36.73644655,1.271588023
"BMR = 10%: Added, BMR: 0.1",33,60.32167881,44.67300418,51.98875109,43.45393147,51.78275155,58.53607801,45.12105091,27.5170186,5.600135051
