bmr,index,model_average,Logistic,LogLogistic,Probit,LogProbit,QuantalLinear,Multistage2,Weibull,DichotomousHill
"BMR = 10%: Added, BMR: 0.1",1,42.91735269,27.53679118,22.92632298,67.57070779,31.59465344,348.9089111,85.667219,54.13251111,3.330949998
"BMR = 10%: Added, BMR: 0.1",2,168.4214615,26.92073962,40.32374046,59.15388026,29.62240806,44.99271743,68.55947931,108.9797911,10.79119488
"BMR = 10%: Added, BMR: 0.1",3,66.0953706,30.51919725,23.18910471,42.3005079,49.63544231,102.1148712,89.60137084,32.47306041,7.994131358
"BMR = 10%: Added, BMR: 0.1",4,37.66156359,65.92020468,20.7192097,33.6696181,31.47828269,103.6005882,177.6651904,26.69057816,3.208373369
"BMR = 10%: Added, BMR: 0.1",5,66.03067694,37.49854861,27.12785019,65.16934614,32.40276315,72.78794641,550.2235306,45.46951345,5.601891959
"BMR = 10%: Added, BMR: 0.1",6,35.98417189,44.4708886,30.35228202,25.77291141,26.35072717,92.1345219,90.02692985,49.42102585,1.708539458
"BMR = 10%: Added, BMR: 0.1",7,37.99843577,70.82953676,62.63221796,35.72380924,28.57283391,65.65420811,21.30872231,40.98879387,28.18575901
"BMR = 10%: Added, BMR: 0.1",8,35.42477723,78.8215567,59.89314545,29.95011442,29.02156327,60.01076802,25.38671483,112.1966444,2.073776808
"BMR = 10%: Added, BMR: 0.1",9,32.56170783,77.87372587,19.72001091,29.95011442,27.88715644,25.16653135,42.3256327,101.3933571,6.524844496
"BMR = 10%: Added, BMR: 0.1",10,49.84938171,46.90819964,29.83669955,22.39602766,25.19496511,86.28104038,37.33012791,49.7742958,1.889666006
"BMR = 10%: Added, BMR: 0.1",11,25.10498982,62.04368095,19.23715353,30.04923132,48.46933154,90.19951236,68.8241889,33.20004744,3.528248253
"BMR = 10%: Added, BMR: 0.1",12,72.22424901,97.73167201,19.14639796,27.06372189,48.43129745,41.88692059,68.15267814,57.30693644,2.235020876
"BMR = 10%: Added, BMR: 0.1",13,35.72572984,63.54711634,25.26876344,49.45675011,49.53466074,72.67464624,115.8774948,148.914987,1.976439514
"BMR = 10%: Added, BMR: 0.1",14,71.4818987,43.96958412,22.2525882,52.14195865,25.17627869,187.5708311,46.06128541,49.81523959,2.561432474
"BMR = 10%: Added, BMR: 0.1",15,39.97390626,39.08938975,12.88339628,40.25789317,35.95832307,34.26894484,90.88851123,59.66760629,5.361203168
"BMR = 10%: Added, BMR: 0.1",16,63.60397838,31.97453401,15.86845159,39.3778572,31.61543934,30.40704649,160.7381624,57.44710234,1.915121441
"BMR = 10%: Added, BMR: 0.1",17,205.6531563,36.63238739,12.38511351,29.10776346,29.74775843,25.16368162,246.1196418,134.1646471,5.998255863
"BMR = 10%: Added, BMR: 0.1",18,53.96117743,49.40759384,29.94134837,50.6035363,33.58311371,62.72306498,750.9146838,41.81167677,4.618114632
"BMR = 10%: Added, BMR: 0.1",19,40.06462964,22.91718393,34.28766411,35.19614513,48.58842988,21.63388765,775.9321588,36.67122635,7.893506697
"BMR = 10%: Added, BMR: 0.1",20,116.9262616,143.9256298,13.73886126,45.06427643,28.48196598,23.67335785,27.74416912,84.74700399,2.379144979
"BMR = 10%: Added, BMR: 0.1",21,150.4801507,60.05178591,14.69911796,57.1621622,40.62135561,23.67335785,61.56089687,201.4840883,3.984407001
"BMR = 10%: Added, BMR: 0.1",22,160.5364921,136.7678662,13.64873722,53.04425373,32.3485706,24.65642254,23.22925373,38.89781431,3.370131825
"BMR = 10%: Added, BMR: 0.1",23,21.94897294,30.89865239,16.22333627,50.9626895,33.40613438,29.76942982,41.72683465,16.30432732,2.91810437
"BMR = 10%: Added, BMR: 0.1",24,90.61268525,45.38188019,12.10681537,37.14839249,23.30520752,58.83747099,39.05316642,16.30432732,3.950937336
"BMR = 10%: Added, BMR: 0.1",25,30.92736557,42.53664684,18.51219311,38.03568627,47.5101739,33.32077256,65.72424453,16.30432732,4.996885564
"BMR = 10%: Added, BMR: 0.1",26,58.96847159,33.66775447,18.6866981,41.19789442,42.43272652,87.27383618,110.0635252,43.72109452,2.846796716
"BMR = 10%: Added, BMR: 0.1",27,96.62683257,76.80924391,28.7979082,57.14140875,57.29676174,84.93483709,158.3697844,172.4193112,2.849519207
"BMR = 10%: Added, BMR: 0.1",28,36.19527548,33.41926293,16.31662848,50.57228526,52.66579438,66.98887025,26.18188617,31.50576351,3.767253419
"BMR = 10%: Added, BMR: 0.1",29,119.2363526,38.0304388,17.18912649,87.96821666,60.36239633,75.68077787,47.06738559,48.69780728,5.906163963
"BMR = 10%: Added, BMR: 0.1",30,121.588986,56.19644069,44.70084468,24.08003535,39.7308787,17.70906124,50.18197611,78.48987239,6.740090057
"BMR = 10%: Added, BMR: 0.1",31,28.08824668,105.2960072,19.66629343,23.41776473,27.15851851,17.70906124,147.6490018,112.7910688,4.138228456
"BMR = 10%: Added, BMR: 0.1",32,39.7499272,97.55505147,26.55356583,37.5676529,26.71981995,73.55595356,78.47674958,52.94255646,6.39649238
"BMR = 10%: Added, BMR: 0.1",33,112.9039156,158.3108065,26.60338212,55.87892464,34.41723467,77.69225804,80.4663733,25.94620093,2.263583059
"BMR = 10%: Added, BMR: 0.1",34,151.2199207,114.7324827,18.26585563,48.34393071,34.45500514,23.46077205,72.03401376,25.94620093,11.01673909
"BMR = 10%: Added, BMR: 0.1",35,47.18150943,62.34399895,20.25053893,77.82326908,27.67995597,104.496097,16.392955,36.87935712,4.355327676
"BMR = 10%: Added, BMR: 0.1",36,34.09282039,39.91938352,34.24315132,22.51298364,31.98442443,21.9664025,240.1936143,34.14381446,2.230475053
"BMR = 10%: Added, BMR: 0.1",37,51.03557879,35.02571926,33.55970687,37.61434605,43.49835796,23.11661653,155.5282949,41.01771254,6.357452625
"BMR = 10%: Added, BMR: 0.1",38,39.4583473,43.43512871,48.72615413,45.42208787,32.41211428,34.38888733,79.04288044,39.4849831,4.273710893
"BMR = 10%: Added, BMR: 0.1",39,69.43550945,34.44696754,35.50065411,57.34150277,29.43888995,35.35316162,87.65382116,39.4849831,3.711841847
"BMR = 10%: Added, BMR: 0.1",40,37.00576281,44.05429655,44.60646143,39.36144353,35.07770648,39.0824889,81.57413321,35.93905236,2.700941929
"BMR = 10%: Added, BMR: 0.1",41,87.755364,34.9450842,16.5243413,35.48668278,34.20450501,25.17464735,124.210443,40.91598151,4.240303574
"BMR = 10%: Added, BMR: 0.1",42,35.37293834,120.9117546,31.66310884,138.0383673,42.06617524,21.01128132,57.33652983,62.86979641,0.927207835
"BMR = 10%: Added, BMR: 0.1",43,221.7219558,145.0337343,32.77219541,95.88879886,34.49096844,49.46639865,57.17264676,23.03958532,0.882957356
"BMR = 10%: Added, BMR: 0.1",44,26.93504345,124.416378,30.43736898,70.68743496,46.57477796,51.7105104,60.21295149,104.4391089,5.561243289
"BMR = 10%: Added, BMR: 0.1",45,77.0736982,121.7564047,22.30344024,39.10306803,25.04091838,78.65273531,60.04577651,63.5490975,7.561577926
"BMR = 10%: Added, BMR: 0.1",46,62.37592701,131.089346,18.31368613,58.23641631,31.84703828,67.45216631,24.62726886,96.4363375,5.368450498
"BMR = 10%: Added, BMR: 0.1",47,62.73339883,33.06196934,31.57808119,32.46563244,26.96296822,46.10115323,126.0370194,63.74422025,3.659522124
"BMR = 10%: Added, BMR: 0.1",48,59.74934005,170.7082413,30.68309056,39.77269496,47.99351971,75.25625697,40.48346126,113.9490728,15.3616433
"BMR = 10%: Added, BMR: 0.1",49,37.16763689,44.44478959,25.24376305,37.25154756,29.14424098,55.71817304,64.15652154,44.17854826,6.419515158
"BMR = 10%: Added, BMR: 0.1",50,47.06988048,37.14547971,25.75741359,43.20013481,36.25532542,17.58096125,87.31652372,87.2351748,3.883513308
"BMR = 10%: Added, BMR: 0.1",51,99.00852557,53.37222895,22.431771,46.25385771,30.08862246,81.39329395,106.9227836,150.2463575,230.9102067
"BMR = 10%: Added, BMR: 0.1",52,103.5876653,28.22866495,24.4697294,67.8150703,30.2106679,177.5694716,82.83853298,204.0536004,0.906606707
"BMR = 10%: Added, BMR: 0.1",53,66.2285433,34.67251698,22.0303598,59.2794349,33.96254134,79.48117228,100.5588634,49.32012199,2.883512691
"BMR = 10%: Added, BMR: 0.1",54,66.1519595,35.54130816,28.22350904,41.23248737,33.32875459,25.07617805,37.46825347,35.37637964,13.53331111
"BMR = 10%: Added, BMR: 0.1",55,54.14558506,43.46821082,29.97069493,26.23362252,38.64471724,19.72568528,97.4853369,60.48607377,3.666903509
"BMR = 10%: Added, BMR: 0.1",56,48.83579887,29.63569827,14.50587334,34.92735842,42.11469624,19.72568528,41.76762314,39.80268098,1.666040348
"BMR = 10%: Added, BMR: 0.1",57,53.40158499,41.70025945,18.53909297,46.06177786,34.30912499,36.79430423,57.1240799,47.44061195,12.42124633
"BMR = 10%: Added, BMR: 0.1",58,47.31468258,36.0336316,20.97389373,65.89042326,32.43696834,33.26496238,27.35032833,26.21167896,7.92337459
"BMR = 10%: Added, BMR: 0.1",59,30.60655523,39.20953476,40.48598101,29.35633186,26.34990964,42.36706014,29.08586274,85.44553242,0.474886493
"BMR = 10%: Added, BMR: 0.1",60,27.82649077,46.77890035,32.21056895,40.48765247,28.7225143,89.85473396,29.96185607,33.3863148,2.891593699
"BMR = 10%: Added, BMR: 0.1",61,196.242668,36.52258462,19.03561488,29.74468323,29.81565623,92.6505168,272.3772549,33.3863148,10.77781677
"BMR = 10%: Added, BMR: 0.1",62,54.15888068,61.81262205,31.43247463,38.96677975,35.8983857,64.84551312,211.0792112,38.47905463,3.394877169
"BMR = 10%: Added, BMR: 0.1",63,77.18886516,41.14769747,38.77191194,32.47083163,31.84147816,165.422991,192.2868407,35.70455457,4.181084389
"BMR = 10%: Added, BMR: 0.1",64,72.32813832,37.44822461,16.47753734,34.01927093,51.26218607,24.11577991,29.68601647,61.87888308,2.523911809
"BMR = 10%: Added, BMR: 0.1",65,27.80308486,24.76990818,19.67221748,46.32601727,41.04181522,16.40765951,44.76502409,43.66590211,6.001050105
"BMR = 10%: Added, BMR: 0.1",66,36.72206775,20.65651358,44.56778799,73.48586276,25.48775077,16.08635173,56.8961567,37.25467036,4.067013696
"BMR = 10%: Added, BMR: 0.1",67,34.76239544,29.28806064,13.90506339,45.66778987,33.95366397,14.29634784,67.79024338,41.62908613,7.300260601
"BMR = 10%: Added, BMR: 0.1",68,85.6847428,20.7094217,14.41942559,29.55082874,26.34337266,23.83773524,141.3999817,42.6577129,9.516825338
"BMR = 10%: Added, BMR: 0.1",69,72.80128427,20.7094217,16.89928291,41.76858004,38.21234652,20.36754594,776.2988925,47.84723881,7.266985086
"BMR = 10%: Added, BMR: 0.1",70,103.9486931,43.2312704,22.810448,41.63855718,33.49106692,20.36754594,138.9967833,37.32874234,4.20734205
"BMR = 10%: Added, BMR: 0.1",71,44.40576281,31.16442834,13.83332027,41.18395113,26.82045105,49.63846382,109.1780367,29.71745959,35.21115282
"BMR = 10%: Added, BMR: 0.1",72,119.3007855,31.11793281,20.98119687,37.41638552,29.95224641,68.53060387,47.75537564,95.64475532,10.84895588
"BMR = 10%: Added, BMR: 0.1",73,89.29298552,31.11793281,13.12972245,49.99986125,31.44353008,103.8448926,91.23973144,65.45332446,27.41031666
"BMR = 10%: Added, BMR: 0.1",74,36.80227076,36.78161985,23.62537613,53.63579129,30.4618417,75.13745415,47.15067893,302.1557286,23.36784288
"BMR = 10%: Added, BMR: 0.1",75,37.19641063,31.0632966,21.95184948,77.62002101,32.30635837,54.29761243,51.72365318,60.2020727,6.804284933
"BMR = 10%: Added, BMR: 0.1",76,31.01442909,102.8898779,26.67721715,56.36767804,29.73841186,34.02369137,41.7054599,54.75279071,4.584973006
"BMR = 10%: Added, BMR: 0.1",77,45.36251056,95.01925814,24.65514322,73.08342619,37.14658931,95.83939894,48.15226308,64.91844131,4.197194528
"BMR = 10%: Added, BMR: 0.1",78,80.15781182,115.26227,24.85644745,143.5054805,39.55710224,1391.88015,63.66745852,43.92732053,4.197194528
"BMR = 10%: Added, BMR: 0.1",79,64.29844833,88.78493762,18.86875991,68.38368728,44.97588232,94.4011194,42.47628405,55.68147891,6.683299398
"BMR = 10%: Added, BMR: 0.1",80,50.11436047,56.94310202,19.18478777,26.84450222,35.94702277,90.06165644,91.5162208,38.40754316,4.693856025
"BMR = 10%: Added, BMR: 0.1",81,38.99407401,62.13630293,24.68209631,28.60645986,34.65604706,224.350554,29.26528714,46.35103762,6.368204229
"BMR = 10%: Added, BMR: 0.1",82,26.84468094,32.27004232,27.86792987,32.46004276,40.32598699,132.417223,27.21346132,37.94928426,1.541798186
"BMR = 10%: Added, BMR: 0.1",83,33.97200983,92.22933532,28.10582936,30.32829062,34.03724033,304.7326804,218.4225887,86.86994673,10.6719077
"BMR = 10%: Added, BMR: 0.1",84,54.31264661,55.07480895,40.8708122,94.02234976,36.92091444,42.60716774,201.8929745,81.35937756,4.912015041
"BMR = 10%: Added, BMR: 0.1",85,41.33855303,26.43949191,38.84128228,29.56985487,29.67569015,33.41002663,26.10795027,100.3134512,0.418742245
"BMR = 10%: Added, BMR: 0.1",86,70.5080353,56.08584989,22.85352243,19.28456333,23.04056775,33.41002663,33.17408203,92.7973689,5.255570485
"BMR = 10%: Added, BMR: 0.1",87,87.73019123,56.69238251,14.38983014,156.6979543,24.51784265,33.41002663,26.66378044,114.9401185,4.605659935
"BMR = 10%: Added, BMR: 0.1",88,41.70708901,58.35843883,34.51761605,152.4142372,26.25691664,41.88556666,82.83233697,162.2876199,20.46064652
"BMR = 10%: Added, BMR: 0.1",89,89.5679938,66.74065379,32.96529869,23.11512871,27.52573716,82.14422042,90.73672028,83.75151586,5.295825152
"BMR = 10%: Added, BMR: 0.1",90,57.2942392,70.63014206,42.02068974,46.92937278,26.6687015,145.8514974,43.70577931,75.3802432,5.873923204
