bmr,index,model_average,Logistic,LogLogistic,Probit,LogProbit,QuantalLinear,Multistage2,Weibull,DichotomousHill
"BMR = 10%: Added, BMR: 0.1",1,4.824255873,1.555092445,1.751979475,1.15513654,2.042577274,2.069032474,1.328653711,1.156681622,0.49547663
"BMR = 10%: Added, BMR: 0.1",2,2.220112571,2.584195562,1.528565944,1.271254209,2.048222741,1.219591806,2.396588599,1.630760385,0.676076798
"BMR = 10%: Added, BMR: 0.1",3,1.601834216,1.954176071,1.749143606,1.715104073,2.643824538,1.293768875,2.752144404,2.005902436,0.290773514
"BMR = 10%: Added, BMR: 0.1",4,2.34329443,4.37987869,1.631638513,2.32953841,2.651938459,1.3052873,2.293508707,1.928063915,0.300213169
"BMR = 10%: Added, BMR: 0.1",5,2.965621727,4.963527216,3.64636827,2.277860518,1.659814708,1.560885268,4.057173726,2.163560124,0.420354842
"BMR = 10%: Added, BMR: 0.1",6,1.77098035,5.16191649,1.214722469,1.087923755,2.554620401,1.684710265,2.326455223,2.654803016,0.121362307
"BMR = 10%: Added, BMR: 0.1",7,1.514703403,4.265002815,1.14036066,1.691912522,3.015354992,1.768463861,1.838141177,1.374888283,1.116086768
"BMR = 10%: Added, BMR: 0.1",8,1.836595911,3.701993796,3.261427817,1.559221749,2.164372452,2.140932679,3.774479589,2.187125291,0.802985355
"BMR = 10%: Added, BMR: 0.1",9,2.959180094,1.542870662,2.362078211,1.749933572,2.139343172,1.435047974,4.064225556,2.16575202,0.710409369
"BMR = 10%: Added, BMR: 0.1",10,2.099413573,4.631590174,0.836598947,1.10085796,2.024822047,1.331467012,3.879068785,1.940830834,0.378007976
"BMR = 10%: Added, BMR: 0.1",11,1.119314706,2.811294183,2.495523508,2.053775,2.576433027,1.75340223,2.55421956,2.197643937,0.590774293
"BMR = 10%: Added, BMR: 0.1",12,4.844220834,1.583275902,1.463429744,1.385599875,1.588474408,1.580173614,1.547757363,1.383691396,0.072510985
"BMR = 10%: Added, BMR: 0.1",13,1.708886687,1.404236883,1.74837932,1.638564006,2.386231231,4.241259343,1.547757363,1.222576201,0.378048047
"BMR = 10%: Added, BMR: 0.1",14,2.322046645,1.922537733,2.494901438,1.386019196,1.974604869,3.305115066,3.467000996,2.46117193,0.505606344
"BMR = 10%: Added, BMR: 0.1",15,1.861739246,2.127879296,2.161666809,2.199194174,1.974604869,1.826544074,3.516569707,1.967268348,0.381091167
"BMR = 10%: Added, BMR: 0.1",16,1.322472676,3.657323009,2.013819871,1.396771291,2.140804075,2.416555135,3.792508717,1.951279952,2.703198256
"BMR = 10%: Added, BMR: 0.1",17,1.09486725,2.911438189,2.408386061,1.38880996,2.689583927,10.27904027,3.641031924,2.056663782,1.789584799
"BMR = 10%: Added, BMR: 0.1",18,3.212604275,2.472305191,3.053503631,1.522797973,1.845958131,2.635288789,2.046722474,2.298776488,0.590864403
"BMR = 10%: Added, BMR: 0.1",19,1.968315913,2.281518985,3.053503631,1.542914745,2.415928675,2.507723839,2.81344079,2.096411567,0.653780381
"BMR = 10%: Added, BMR: 0.1",20,1.532735861,2.288991499,0.893596436,1.902712755,1.892934775,1.956287801,2.721415892,1.109477367,0.451911794
"BMR = 10%: Added, BMR: 0.1",21,1.742292196,1.93588858,2.761954856,2.9114256,2.497105459,1.466312895,1.563261527,1.855590196,1.747038118
"BMR = 10%: Added, BMR: 0.1",22,2.121007284,1.682864259,2.133317771,3.45574249,2.759312499,2.103882395,1.854560498,1.742923665,0.219845578
"BMR = 10%: Added, BMR: 0.1",23,2.357218834,2.713226815,1.834373914,2.521650198,2.916634719,0.97593745,2.861970558,1.315128103,0.184827782
"BMR = 10%: Added, BMR: 0.1",24,3.177692645,2.183979406,1.281740744,2.333196946,1.781390978,0.813961333,2.101250946,2.238921243,1.063879819
"BMR = 10%: Added, BMR: 0.1",25,3.562182271,1.643182379,2.842006676,1.41048175,2.003431086,1.041559237,2.60696641,2.162222693,0.43408785
"BMR = 10%: Added, BMR: 0.1",26,1.602795338,2.381478707,1.359916838,1.396867659,2.404008717,2.541274426,2.706999549,2.952593001,2.229367781
"BMR = 10%: Added, BMR: 0.1",27,1.617062564,2.82238022,1.397717313,1.219425925,1.828592175,2.07686244,1.943799507,2.236420701,0.957984384
"BMR = 10%: Added, BMR: 0.1",28,2.957448967,1.564449919,2.450130835,1.23111638,2.345764304,2.079762306,3.077528275,2.614995661,0.654209338
"BMR = 10%: Added, BMR: 0.1",29,2.28776959,2.100467673,1.291020524,1.577564688,3.084490188,1.5718432,4.613555923,2.854466306,0.522066253
"BMR = 10%: Added, BMR: 0.1",30,5.323701778,2.043641279,1.334303613,1.357319084,2.994755364,1.98390142,3.476646279,1.909811808,0.175751675
"BMR = 10%: Added, BMR: 0.1",31,1.128221547,1.899820415,1.05134742,2.371543247,3.025662534,2.723082493,1.696646355,1.802077083,2.995519132
"BMR = 10%: Added, BMR: 0.1",32,2.45196982,2.750518319,1.198895767,1.828594223,3.007088422,1.892753291,1.727181818,2.129423105,0.203930618
"BMR = 10%: Added, BMR: 0.1",33,1.365130644,1.130160034,1.712782998,2.410222808,3.325370381,2.525385339,1.625550611,1.95801789,46.23265027
"BMR = 10%: Added, BMR: 0.1",34,3.535170526,1.932979889,1.607801914,2.26279748,2.611359494,2.475240499,5.706201691,2.750354175,7.666252237
"BMR = 10%: Added, BMR: 0.1",35,1.497011207,2.062584105,1.453632896,1.095048048,2.7008253,1.080796349,1.958017765,1.04296753,0.035280236
"BMR = 10%: Added, BMR: 0.1",36,2.135333263,1.491671932,1.999220812,1.236190075,2.870080292,1.548385621,2.038334661,1.312931124,0.183149314
"BMR = 10%: Added, BMR: 0.1",37,1.366148331,1.70431368,1.888897989,1.887575268,2.309288248,1.820688704,2.117055771,1.306264685,0.146196586
"BMR = 10%: Added, BMR: 0.1",38,1.397977877,1.531193084,1.980661424,1.721387199,2.050661368,3.381208503,2.631366985,2.538068115,0.279795477
"BMR = 10%: Added, BMR: 0.1",39,2.550846742,1.652402162,1.951678843,3.050034913,2.638935077,2.175724945,2.413567893,2.028334908,0.34662321
"BMR = 10%: Added, BMR: 0.1",40,2.033456621,4.205453366,1.838780247,3.843465666,2.850103351,1.324426544,3.995302586,3.097240599,0.468947244
"BMR = 10%: Added, BMR: 0.1",41,1.743781519,4.839295945,1.548376473,1.299254276,1.566155191,1.049897081,1.291829899,1.313388392,0.182356342
"BMR = 10%: Added, BMR: 0.1",42,2.645357408,7.570128702,2.949968224,1.299254276,2.106668389,1.049897081,1.291829899,2.036237154,1.32006038
"BMR = 10%: Added, BMR: 0.1",43,1.475708244,7.233733959,2.625639862,2.106739743,2.549258591,1.143571614,2.930884975,2.909193689,1.747374927
"BMR = 10%: Added, BMR: 0.1",44,1.23612418,8.662104185,2.654904026,1.184545721,2.735705879,1.918963186,2.451423656,2.215552168,1.747374927
"BMR = 10%: Added, BMR: 0.1",45,2.563239813,10.22634366,1.680756338,1.184545721,2.735705879,1.547454359,2.692853476,3.118112934,1.883880297
"BMR = 10%: Added, BMR: 0.1",46,2.346171128,9.002558849,1.545825246,2.076038752,2.156752793,1.070429675,1.897904054,2.177658411,1.883880297
"BMR = 10%: Added, BMR: 0.1",47,1.512190593,1.420637043,1.144768727,1.994647778,3.106073161,1.099152232,2.879017596,1.885078391,1.62078464
"BMR = 10%: Added, BMR: 0.1",48,1.772268782,2.358195808,1.594702934,2.297543074,2.436715569,1.08615103,2.430946725,2.746913914,1.642610371
"BMR = 10%: Added, BMR: 0.1",49,1.574251611,1.843217935,1.324458266,1.80656606,1.952680524,0.820232673,2.047490226,2.89074357,1.642610371
"BMR = 10%: Added, BMR: 0.1",50,2.410514767,1.729181118,1.367073033,1.80656606,2.296103487,3.450843853,1.526042903,3.383177232,1.642610371
"BMR = 10%: Added, BMR: 0.1",51,2.039632598,1.859635007,2.144884831,5.519968851,2.664990199,1.567322971,1.718249604,1.910035568,1.642610371
"BMR = 10%: Added, BMR: 0.1",52,2.298441594,1.673478159,2.151010713,2.011070417,2.738299416,1.37270324,2.409637756,2.137068659,1.351928619
"BMR = 10%: Added, BMR: 0.1",53,1.493394224,1.388175599,2.151010713,3.890024869,2.40343388,1.36476717,1.531553461,2.113365674,0.718929128
"BMR = 10%: Added, BMR: 0.1",54,1.916172235,3.207355334,2.065069294,2.508120369,1.821011234,2.035680624,16.22483243,1.661236394,0.873892406
"BMR = 10%: Added, BMR: 0.1",55,1.630885471,2.345751955,1.693757715,1.888985506,2.885696101,1.499615033,10.51805236,1.634602258,0.970942393
"BMR = 10%: Added, BMR: 0.1",56,4.81468174,2.672709344,1.542821423,4.100611499,2.652558807,1.508471327,1.328602332,2.944269151,1.267587357
"BMR = 10%: Added, BMR: 0.1",57,1.852558253,3.058799392,1.348643582,4.066727991,2.95909544,2.24726764,6.017321696,2.068582556,1.267587357
"BMR = 10%: Added, BMR: 0.1",58,3.097939352,1.326471979,2.228963603,4.019190723,2.181898874,2.155079165,3.686516601,2.897770449,0.44229929
"BMR = 10%: Added, BMR: 0.1",59,5.215705511,2.553659734,4.077021158,2.171290437,1.798293238,1.765630475,1.624700225,1.577657825,0.785550449
"BMR = 10%: Added, BMR: 0.1",60,1.996821409,5.3353786,3.771367253,3.820978778,1.269574301,1.464501647,1.936746842,1.817601457,2.397480562
"BMR = 10%: Added, BMR: 0.1",61,4.345987739,2.229785343,3.130319052,4.964374923,1.310716665,1.329689222,3.417230456,2.541704995,1.176522504
"BMR = 10%: Added, BMR: 0.1",62,1.668760091,1.637977624,0.851192436,6.952083701,1.551812947,1.800385969,3.266983498,1.48858211,1.066105736
"BMR = 10%: Added, BMR: 0.1",63,2.351804004,2.085630308,1.595363569,7.134783992,2.086483405,1.815424882,4.111386039,1.863783681,4.387706388
"BMR = 10%: Added, BMR: 0.1",64,1.731931988,3.052017924,1.008673399,2.57920368,2.324590959,1.513950052,2.392812132,2.501343378,1.361454847
"BMR = 10%: Added, BMR: 0.1",65,2.304780888,1.652996618,4.265138492,2.929641303,2.628981638,1.391666564,1.926612901,1.89989721,1.347960358
"BMR = 10%: Added, BMR: 0.1",66,1.866884213,1.928322735,3.244010673,2.630042363,2.711359651,3.26619966,1.875390979,2.712350362,0.213032018
"BMR = 10%: Added, BMR: 0.1",67,1.710343811,1.760007159,2.847380952,1.282537862,2.767210931,2.975381808,1.38987281,2.396959666,0.244603441
"BMR = 10%: Added, BMR: 0.1",68,1.817131771,1.929836535,2.552152598,1.541505066,3.099901019,2.689134617,2.017949728,1.813360185,6.92026339
"BMR = 10%: Added, BMR: 0.1",69,2.723689214,1.527772924,1.130945129,1.528423476,2.535287743,1.369097666,2.247530949,2.066570463,1.430274309
"BMR = 10%: Added, BMR: 0.1",70,4.610811511,1.513085944,1.102752179,2.072913259,2.921781894,1.369097666,2.273700755,1.553300624,0.237376797
"BMR = 10%: Added, BMR: 0.1",71,2.661464786,2.241030381,1.336623557,1.016786202,2.672384823,1.369097666,2.078260625,2.396500841,0.916032432
"BMR = 10%: Added, BMR: 0.1",72,1.869270934,2.213869252,2.213657918,1.149918176,2.751621321,2.394243355,2.297352754,1.431595454,0.709335396
"BMR = 10%: Added, BMR: 0.1",73,1.60829907,2.554985943,1.063051326,1.211885454,2.256302539,1.517084066,2.07554269,1.272418827,1.801726742
"BMR = 10%: Added, BMR: 0.1",74,2.63705316,2.016794362,1.057365716,1.270741701,2.622044104,0.995170731,2.649066829,2.307890801,0.92802919
"BMR = 10%: Added, BMR: 0.1",75,1.760007159,2.016794362,1.901957632,1.516135807,2.733991645,2.313746146,1.477376024,1.426432434,0.16500319
"BMR = 10%: Added, BMR: 0.1",76,0.948247081,6.195763364,1.994955013,1.348571462,2.521150837,2.139537825,1.909124189,6.026366802,0.13942173
"BMR = 10%: Added, BMR: 0.1",77,2.310332586,1.901333468,1.839957617,1.46561804,1.383002605,0.779238151,2.293300916,2.129801287,0.102616311
"BMR = 10%: Added, BMR: 0.1",78,1.754611096,2.166983065,2.591876186,1.604863195,3.100225591,2.541801471,1.950044717,2.324069119,0.677714475
"BMR = 10%: Added, BMR: 0.1",79,4.333150412,1.76058024,2.486526406,1.501849896,2.275673527,2.596919371,2.423635415,1.084620351,1.322441441
"BMR = 10%: Added, BMR: 0.1",80,3.644410198,1.677769111,2.802709277,1.786456057,2.046880369,1.653289962,2.449917872,2.832818304,0.224001589
