bmr,index,model_average,Logistic,LogLogistic,Probit,LogProbit,QuantalLinear,Multistage2,Weibull,DichotomousHill
"BMR = 10%: Added, BMR: 0.1",1,153.0285863,81.46330303,53.76124828,130.7184287,68.59348709,35.08235988,87.70988471,43.95955835,31.67822385
"BMR = 10%: Added, BMR: 0.1",2,95.12974981,116.7671033,46.23071308,118.2541231,58.83972249,50.68782212,87.79533177,57.29422092,20.87370389
"BMR = 10%: Added, BMR: 0.1",3,301.4517209,80.35829898,52.26039579,49.47141477,54.76074889,80.37261585,39.09877027,63.87114448,14.40200285
"BMR = 10%: Added, BMR: 0.1",4,86.5566383,148.7514007,50.58259899,94.99615891,71.44950477,72.8403327,38.68505012,38.66750685,19.58653149
"BMR = 10%: Added, BMR: 0.1",5,78.40532069,193.8535699,35.70326195,79.08802492,55.84885148,62.29042599,59.85043352,45.68634797,34.33711348
"BMR = 10%: Added, BMR: 0.1",6,90.75657242,127.1644771,36.99031527,79.95256687,65.82310642,32.27602352,51.44483773,63.64333856,36.08352675
"BMR = 10%: Added, BMR: 0.1",7,271.4777074,116.51173,43.10093144,66.98711182,50.14773739,41.68546034,31.92227296,82.96140704,13.16884168
"BMR = 10%: Added, BMR: 0.1",8,135.0102508,135.8928688,80.2700325,87.6474616,50.47760671,44.21050784,71.1514639,88.94479868,0.934255598
"BMR = 10%: Added, BMR: 0.1",9,133.0088138,182.0696167,71.19385189,81.83442549,58.45978993,24.29033245,79.40081444,69.2997537,83.08251207
"BMR = 10%: Added, BMR: 0.1",10,278.2522442,214.9311759,82.27760122,100.8275165,51.12764979,24.29033245,48.95419621,61.94591212,3.775124843
"BMR = 10%: Added, BMR: 0.1",11,55.504905,159.9909414,28.51133697,115.0164257,55.53769441,14.6067137,84.56369772,55.00521521,40.42627749
"BMR = 10%: Added, BMR: 0.1",12,120.7231902,101.767211,46.08073796,73.83978998,51.26318586,18.52585796,23.74881255,61.7380946,27.79449502
"BMR = 10%: Added, BMR: 0.1",13,111.4339141,166.4488396,51.81459036,97.03871225,49.15869177,72.59591275,90.26453839,71.278032,28.51403934
"BMR = 10%: Added, BMR: 0.1",14,116.2416621,166.4488396,38.44286858,78.15466868,54.22248295,51.84170762,23.19468871,79.87016107,27.0323829
"BMR = 10%: Added, BMR: 0.1",15,137.3868736,64.3675022,50.54322628,74.07216313,60.86986671,73.32234486,127.901308,64.50282162,13.71143094
