bmr,index,model_average,Logistic,LogLogistic,Probit,LogProbit,QuantalLinear,Multistage2,Weibull,DichotomousHill
"BMR = 10%: Added, BMR: 0.1",1,491.8270535,79.63579945,93.56674622,78.78890295,237.4928484,83.00329271,27.43550721,98.38788785,104.433472
"BMR = 10%: Added, BMR: 0.1",2,86.93356504,77.24907916,158.4533988,96.73598139,114.6318094,52.90378321,66.56948733,38.71166115,49.55722262
"BMR = 10%: Added, BMR: 0.1",3,88.38523968,133.4009671,104.481226,74.01075753,132.5687489,77.98068857,60.85079596,78.32889496,37.42772359
"BMR = 10%: Added, BMR: 0.1",4,66.29164442,78.926621,73.31751708,87.93065709,95.1261376,89.03125565,44.56457266,94.29128182,29.97346225
"BMR = 10%: Added, BMR: 0.1",5,108.2699835,81.44900541,96.13804316,85.03121121,107.9080308,23.79105965,75.7004661,98.38992657,78.98612494
"BMR = 10%: Added, BMR: 0.1",6,134.6296332,108.7632894,97.01055199,59.82701796,109.2309722,38.61559086,37.16971018,86.54808251,119.3367739
"BMR = 10%: Added, BMR: 0.1",7,73.0944607,80.18157365,109.0449622,124.4399569,95.47339761,25.89509747,63.23261434,106.8563648,45.93595152
"BMR = 10%: Added, BMR: 0.1",8,111.6537269,74.46522561,58.99606613,75.93915577,105.3795772,82.44145613,84.30540011,86.34906819,110.8711959
"BMR = 10%: Added, BMR: 0.1",9,126.1548485,91.09873241,105.4993424,70.238454,111.7996987,1261.101528,44.31001686,37.02091534,59.48667808
"BMR = 10%: Added, BMR: 0.1",10,51.68277962,51.45290254,125.5422532,82.77930412,121.2348858,120.7972965,40.74123737,97.67775763,45.14573405
"BMR = 10%: Added, BMR: 0.1",11,80.06733949,146.8680278,66.98164774,102.726696,142.732257,64.11777224,59.668335,36.48310374,80.82340843
"BMR = 10%: Added, BMR: 0.1",12,78.99753719,88.83123767,121.5175065,106.3977241,113.6149924,233.5608277,52.35996495,103.915444,58.25167158
"BMR = 10%: Added, BMR: 0.1",13,89.13737016,52.6478961,86.74399917,106.0435102,124.0802245,30.5456122,67.86339957,92.09661965,105.7170958
"BMR = 10%: Added, BMR: 0.1",14,157.7534137,78.71764983,96.57046395,63.00961145,106.265903,58.42319572,21.13516886,100.0090369,44.46603768
"BMR = 10%: Added, BMR: 0.1",15,91.95967697,60.73257656,112.9013837,82.52368307,128.615826,29.41827406,24.8556515,89.54093756,158.0580933
"BMR = 10%: Added, BMR: 0.1",16,88.15557717,75.50721771,113.7190678,100.7983457,160.8268023,29.19665937,54.12706053,90.81870844,41.77143795
"BMR = 10%: Added, BMR: 0.1",17,79.71382301,61.59841868,102.7921474,425.053567,129.1666826,55.15628053,32.70606076,77.72373289,81.35729353
"BMR = 10%: Added, BMR: 0.1",18,89.43855249,93.09656619,147.5728698,74.89319518,102.4680267,87.52915297,31.9981364,96.68299597,35.35889758
"BMR = 10%: Added, BMR: 0.1",19,75.36618188,78.79227845,89.07269551,82.2247055,149.5206997,67.70879684,51.50385177,130.1673444,53.85462174
"BMR = 10%: Added, BMR: 0.1",20,117.4795859,63.99582213,257.7569318,74.12145435,1586.659172,52.0959473,40.03085121,94.42303211,42.21386745
"BMR = 10%: Added, BMR: 0.1",21,84.20548736,105.1184374,107.3281186,84.21331836,94.6044796,56.07884007,55.2981332,90.11469753,30.58550727
"BMR = 10%: Added, BMR: 0.1",22,507.7674304,91.43429767,108.2944352,118.4190382,100.5675386,26.10142492,62.46238892,52.39800667,64.37167394
"BMR = 10%: Added, BMR: 0.1",23,94.78566707,83.9407822,87.27980868,89.07362111,103.6278896,120.7343966,51.22780606,91.414782,95.17438267
