bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,MichaelisMenten,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,1,63.87640955,64.38160692,101.7937479,3.085998148,118.25632,118.7831531,418.2486565,20.11473078,64.74790812
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,2,77.51123951,95.1350045,94.89910047,2.758611134,123.3783628,114.2679174,100.6820991,48.19086737,41.21839691
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,3,94.43119968,72.22341338,63.94976618,28.06910288,100.3315153,74.59319246,83.85221467,30.04100811,75.49947357
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,4,47.45457063,72.9356454,174.7765673,13.36943126,110.7306793,56.66660978,272.2110478,31.4079823,52.51873465
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,5,86.14623608,81.19841949,90.41542933,17.70005133,102.838181,155.2708674,69.86386579,51.77033053,61.61895189
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,6,78.71879411,91.9297417,168.1786838,31.90314913,115.9601916,135.8774954,54.88525972,27.89137687,47.70247992
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,7,90.84668497,69.54604734,110.8614618,13.68731928,126.3918763,123.2933802,184.9180129,26.8253032,65.84149188
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,8,65.80270375,90.51069564,89.01779189,29.80169843,108.8163472,114.8370244,102.5825527,24.965522,59.83477993
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,9,61.47138644,89.49121831,130.1170568,1.279786671,99.83966813,147.0258871,65.33884331,32.77767864,56.56612001
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,10,68.22333705,69.75527114,81.32136443,0.86347028,87.24238194,148.7321931,100.5662323,45.19845675,77.64699822
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,11,64.25606834,120.9365994,482.5112109,10.39472121,96.13234866,131.5980136,60.09464603,36.84374066,40.45859741
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,12,71.06102939,56.35075448,111.3681293,14.27341081,112.6310758,91.91335309,63.81207274,27.53538509,180.8166306
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,13,59.33627836,64.618189,136.5924472,15.41917891,125.7360806,106.4123474,95.65414985,46.9793341,60.75452102
