bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,MichaelisMenten,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,1,52.23719757,48.89489667,78.43387184,28.51882257,139.3326548,111.2351973,78.97326537,23.2501269,44.01072806
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,2,55.84901366,55.15467732,47.17379094,36.93006815,119.4726845,76.16751442,74.26033538,21.51344935,42.21154651
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,3,48.60444201,48.39386381,74.90900781,27.65168785,70.65752491,108.3693597,38.15239485,18.47383772,42.71103024
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,4,55.75260539,44.23153351,68.57025068,36.39136568,111.2038084,117.4097299,38.22449912,26.1094819,39.8037867
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,5,47.83279487,53.08528382,57.1813143,36.32880028,96.79938595,41.01685704,59.42546645,27.82710741,48.68973984
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,6,55.7681459,44.43040651,59.49942851,27.01604045,117.5614287,67.27650084,37.79972327,33.47435455,49.03168867
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,7,49.52883177,47.62822302,44.82481045,29.88236186,68.60264136,157.73303,46.84652684,16.87360687,37.44391368
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,8,50.67594326,57.67755962,73.06634871,16.54770926,95.3827854,89.39978655,51.24864241,22.06040671,30.01062576
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,9,50.70907088,63.21680637,75.33626464,24.13411873,70.11556453,88.26285446,51.48623559,48.42592107,33.47884964
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,10,45.03668141,51.02949823,61.09520917,27.09315036,78.02545618,132.3564884,46.35419667,20.51951762,37.37419939
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,11,43.55444003,50.54733416,73.76335252,26.12986652,107.7994541,62.57095065,49.0575984,17.69370078,33.35038143
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,12,54.39936086,64.48537897,66.01538506,21.16798876,74.3426575,104.473295,39.67910989,15.64205395,34.05090687
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,13,49.82869289,51.45091426,61.9916517,19.99548439,113.3895725,105.6347416,60.28686271,12.66877293,32.92428064
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,14,42.24678778,59.18085366,69.52521969,28.48481619,86.23932986,92.04676633,35.26754454,14.09240935,34.33993436
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,15,52.47775971,55.40352398,53.22974266,25.01987489,105.634101,65.47592135,50.30949672,19.61528953,33.30654728
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,16,44.61695168,60.44784708,114.615386,14.80550993,76.16795593,57.30791522,38.29298459,14.71249038,44.61640131
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,17,52.19860123,46.99713868,53.89951942,21.67173189,148.5974653,79.71344517,36.86113883,19.58179317,30.95645993
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,18,46.81429017,50.90023995,68.62595091,33.38867896,172.3196943,91.47162904,45.86801701,18.69056325,39.73490525
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,19,60.34506004,45.46818375,60.8022931,44.14176466,100.2036852,54.99925297,48.60710694,21.59785874,37.2022678
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,20,47.46454415,43.2605027,51.99211388,31.39947166,90.57889079,115.6652731,108.4842102,23.78602153,35.51291816
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,21,53.35962517,48.26473838,66.76383295,36.35126983,119.2707037,84.35249528,65.10386758,21.66370715,48.05773087
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,22,55.07245977,51.85164666,57.72196405,37.27965501,85.34457785,117.4374775,49.86479115,28.41807343,34.91758756
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,23,63.85243038,54.789117,56.93829679,26.40609669,106.2934431,89.10160548,34.85300562,25.59638758,43.27816731
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,24,48.20538626,47.82735354,59.33036624,23.85226987,76.34350584,100.0775429,43.4334704,25.26103131,36.00865045
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,25,59.36635491,55.93964557,74.19957563,32.52695718,112.4271787,96.14414602,55.1833847,24.41285171,41.06378131
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,26,59.11792793,50.54784762,58.59114013,27.5936523,104.9427141,88.68522123,43.4511886,25.31640748,34.73093678
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,27,53.720421,67.97972325,69.66116069,23.37287783,74.21086701,143.7912545,54.88539639,15.70217322,30.43219347
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,28,44.61775862,48.05865581,93.62037868,28.0371778,80.80035272,99.73162193,44.96740099,21.79553746,41.61640269
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,29,46.61518425,46.01959158,84.2023939,26.81093557,141.8999843,80.71632434,39.46374699,11.28472367,35.7684071
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,30,48.09825871,44.83673816,88.34062792,33.58277137,118.2250975,122.9999411,45.55911897,12.74536242,41.74141358
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,31,78.8805356,55.9351729,73.94295492,20.45158082,72.33074707,122.086008,53.4306161,17.71124142,40.15263348
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,32,49.18297636,49.77836054,64.96615686,20.18340282,141.5290414,70.12790107,43.96447905,19.19292258,39.40055729
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,33,51.47037867,48.5223378,52.63919047,14.78185713,118.0557577,82.53845001,51.00770355,19.57465874,35.43394851
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,34,51.07520146,52.70721291,54.9072577,23.13857651,103.0325834,176.8392899,50.90336258,20.55429206,49.19476487
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,35,50.4095336,53.59111785,58.41360956,26.73838072,125.3698526,81.36527545,35.17776383,16.79443277,35.23970983
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,36,55.13586096,62.98152576,53.09447454,20.41078659,97.73429975,103.3613404,56.05541003,20.75645296,33.21148043
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,37,80.92904984,50.70419291,71.17959861,39.44814967,85.61452552,130.5457436,50.43367312,25.23313437,39.76403626
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,38,54.2471313,55.17719627,52.98192274,18.32457842,96.10847283,102.0941728,47.36434537,17.63601638,39.46004545
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,39,55.09968701,52.16053689,87.7022031,26.3061453,169.2073485,114.9154578,57.6014041,14.80603473,42.44743618
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,40,43.82775147,58.61102647,54.34973802,38.61698897,112.3989866,107.810754,38.85039716,19.99989205,34.86094018
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,41,40.31966314,44.63166845,68.64485965,18.7358658,102.330235,60.59863777,36.57570549,22.17053939,34.33102016
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,42,54.59943389,47.28492898,70.44071014,29.94030509,19.18767313,42.26460151,84.90363345,26.41651326,40.47562359
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,43,49.49044287,58.17368593,50.46823536,31.23281821,99.36882892,118.2596735,51.42764479,13.31096182,43.79759717
