bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,MichaelisMenten,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,1,1.101661854,0.355692032,1.094396193,0.002727875,0.003275095,0.009962891,1.240174143,0.002350232,0.74814201
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,2,0.0030257,0.667624458,1.11984093,0.002919583,0.009537514,0.005212792,1.139976184,0.001998518,0.295490426
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,3,0.00285128,0.818727729,1.016580374,0.003044007,0.010091202,0.003190578,0.787883919,0.00277842,0.386469534
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,4,0.003563891,0.379781243,1.034715454,0.00289721,0.006549078,0.008729724,1.107880514,0.002063232,0.855599857
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,5,0.003118864,0.91034124,1.180835585,0.003240493,0.009002611,0.00360576,1.120001317,0.002125792,2.218056722
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,6,0.002961361,0.96581763,1.162586104,0.003262317,0.006405805,0.009851646,1.020643303,0.002109903,0.435952316
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,7,0.003536585,0.282829804,1.072849429,0.002895585,0.009842063,0.009987572,1.13311733,0.001983326,2.111016544
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,8,0.002910463,0.410235724,1.032693729,0.002643379,0.004465805,0.009856779,1.03102138,0.002033991,0.38631949
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,9,0.002831758,0.460368028,1.016884239,0.003820061,0.010880262,0.010724901,1.109297103,0.002975394,0.318317483
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,10,0.003068553,0.42361642,1.103136362,0.003437515,0.006083142,0.006538861,0.919709791,0.00227776,0.841913577
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,11,0.00352231,0.783082209,0.801546885,0.003824111,0.009018021,0.008589974,1.030935481,0.002231945,0.263962662
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,12,0.003055215,0.427859612,1.089590894,0.002706424,0.006883108,0.009276311,1.115052285,0.00288866,0.460040533
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,13,0.003978717,0.42576749,1.087758599,0.002946986,0.009251848,0.003786922,1.091483156,0.002239581,0.490022596
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,14,0.0044341,0.615824626,1.065337679,0.002754686,0.010092601,0.010724901,1.109297103,0.001866354,0.61532126
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,15,0.003547482,0.426292655,1.085302285,0.003407494,0.01049889,0.010160276,0.848089535,0.001651608,0.542591427
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,16,0.003423807,0.378413677,1.155385454,0.003075102,0.010781526,0.006276929,1.159866595,0.002241512,0.48291264
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,17,0.003107829,0.408568058,1.062622094,0.003284268,0.005999377,0.008498602,1.075373075,0.001512806,0.614624559
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,18,0.002701848,0.747952544,0.808109886,0.002969853,0.00953683,0.010341501,1.147766396,0.00321067,0.40379009
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,19,0.003121926,0.371057481,0.944844031,0.003493276,0.010856764,0.006077816,1.024450404,0.001909322,0.459603435
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,20,0.003328366,0.31326723,1.112916967,0.003166252,0.003709271,0.010431117,1.0406605,0.002709106,0.788609066
