bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,MichaelisMenten,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,1,0.047677156,0.038985516,0.921686581,0.005758166,0.065608367,0.830444427,0.627911807,0.06544645,0.07880911
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,2,0.048830268,0.058548742,0.884593585,0.010594138,0.097830538,0.847480247,0.834702904,0.003139296,0.082334565
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,3,0.048047915,0.051721827,0.756656215,0.004233005,0.064412021,0.08576756,0.111755108,0.004933748,0.114497735
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,4,0.046284975,0.046917172,0.073340308,0.006565779,0.063262321,0.005518244,0.980747063,0.066977229,0.098851534
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,5,0.050778648,0.048831877,0.856686723,0.006258007,0.03838356,0.095490826,0.977580763,0.00406633,0.086226389
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,6,0.054814895,0.048146245,0.096200479,0.005083712,0.051338213,0.876443429,0.996569326,0.05961221,0.076285982
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,7,0.059463484,0.042316948,0.88434062,0.009475242,0.094911778,0.084719437,0.781478721,0.008174742,0.078436123
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,8,0.041766531,0.055005193,0.903414591,0.010002442,0.015698694,0.098748412,0.117988742,0.004340983,0.08085625
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,9,0.040344713,0.045101897,0.080754456,0.007570448,0.076321356,0.044830488,0.75608911,0.03025252,0.084805125
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,10,0.045677945,0.056741925,0.894849171,0.007513871,0.074590761,0.933381965,0.814976092,0.003138371,0.078235908
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,11,0.046491617,0.047666046,0.078678079,0.005560825,0.050295233,0.933381965,0.865729327,0.003212776,0.096901262
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,12,0.041695887,0.040131213,0.671492039,0.006077994,0.05611759,0.080050679,0.599418699,0.049358223,0.075846618
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,13,0.048361147,0.05448187,0.086231948,0.007284893,0.089624007,0.673292612,0.999961224,0.010365605,0.083268595
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,14,0.040179463,0.034986141,0.167294672,0.005653514,0.028693656,0.070831419,0.43403717,0.031084699,0.082732525
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,15,0.037489113,0.054139337,0.866791331,0.007051704,0.089484051,0.094231906,0.303675889,0.00472297,0.086936363
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,16,0.04089386,0.047288677,0.066420941,0.005823233,0.087403998,0.037919941,0.721518319,0.005279279,0.082106072
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,17,0.05745144,0.038427831,0.953039789,0.007650354,0.012379829,0.773976234,0.633602035,0.003329179,0.079131057
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,18,0.042303152,0.040032584,0.934774137,0.007457349,0.014967195,0.083214932,0.987384812,0.064733862,0.083550095
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,19,0.050006581,0.055195098,0.717566393,0.008611273,0.032880715,0.013181154,0.960626246,0.004269017,0.077776781
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,20,0.04137572,0.041933719,0.811800044,0.006430811,0.004963868,0.049111724,0.957687245,0.014763028,0.089779729
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,21,0.044420369,0.045150141,0.8834446,0.00597779,0.010012632,0.764622577,0.816271896,0.006477039,0.090393005
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,22,0.062205432,0.042079205,0.06643995,0.005559581,0.00950639,0.085319335,0.542252384,0.099104673,0.080352291
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,23,0.035661293,0.05026225,0.761787216,0.013523699,0.08055761,0.879666268,0.24988531,0.060682088,0.097251451
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,24,0.050006658,0.042347247,0.864824075,0.006457663,0.01794841,0.871903053,0.942164186,0.049312541,0.094777441
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,25,0.05065474,0.037891157,0.06838354,0.006251455,0.012172677,0.876443429,0.444810476,0.004352673,0.087075979
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,26,0.043489954,0.036754592,0.905087935,0.00516027,0.098515986,0.077352767,0.857595355,0.006613099,0.087516085
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,27,0.045480793,0.043236542,0.840591513,0.012716959,0.06707998,0.84888977,0.351112178,0.060582409,0.098747115
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,28,0.039980197,0.041955428,0.330972539,0.006077356,0.101044986,0.067428716,0.90070862,0.005329343,0.087913484
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,29,0.037669523,0.049233155,0.480115883,0.006118742,0.092226129,0.871903053,0.613430182,0.001485405,0.083311775
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,30,0.04235994,0.046029999,0.517160632,0.004860599,0.078994826,0.879666268,0.378611751,0.061560466,0.084493566
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,31,0.064573033,0.050045874,0.949551436,0.007161066,0.093766977,0.051030862,0.974186079,0.004707001,0.07798453
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,32,0.039582668,0.045239414,0.087096467,0.008886927,0.075128645,0.876443429,0.143635362,0.011387623,0.07905233
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,33,0.041188488,0.054284129,0.478163415,0.005479193,0.097632984,0.035210226,0.980493139,0.068130266,0.076704062
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,34,0.044885385,0.048676305,0.241526997,0.007020016,0.013065355,0.876443429,1.015738497,0.062723653,0.087122113
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,35,0.037336833,0.040194481,0.411849816,0.008701077,0.046733678,0.871903053,0.900345942,0.080736803,0.077326861
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,36,0.049037628,0.04186966,0.213914233,0.005029108,0.04158281,0.876443429,0.283647479,0.008035713,0.093531968
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,37,0.040289417,0.044000145,0.100873234,0.006673757,0.052426898,0.876443429,0.96331165,0.074375927,0.090271945
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,38,0.052935029,0.053698059,0.052450631,0.009636282,0.07012585,0.041154858,0.311475349,0.002974959,0.099338562
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,39,0.049112414,0.035129309,0.856842912,0.006942118,0.011418613,0.773976234,0.780834825,0.006463523,0.077877836
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,40,0.054937,0.054305146,0.59202581,0.006095611,0.098834483,0.434872034,0.706197307,0.004589064,0.086776245
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,41,0.043084805,0.05024108,0.237440212,0.007789531,0.028020187,0.085508426,0.915070512,0.004278453,0.092908681
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,42,0.037624059,0.042119621,0.949659651,0.006901615,0.054158378,0.037783367,0.214421728,0.006976092,0.080010772
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,43,0.043957937,0.035381501,0.116230102,0.006167273,0.013352482,0.024525193,0.886412301,0.003490392,0.078994213
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,44,0.046813141,0.039931938,0.819861516,0.004650634,0.085330572,0.081646939,0.880423609,0.004147864,0.078283625
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,45,0.046831529,0.050046779,0.912305448,0.006730833,0.013290909,0.041379411,0.760844775,0.004818581,0.0833291
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,46,0.048322495,0.047638958,0.449338707,0.009967424,0.021752953,0.003223323,0.971048312,0.004520148,0.077886354
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,47,0.038413912,0.049052661,0.050344604,0.008746311,0.035034311,0.090296136,0.718005016,0.004290849,0.093395597
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,48,0.044430104,0.037743552,0.268835499,0.010927212,0.016142584,0.876741037,0.971247037,0.002808871,0.074407394
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,49,0.923754305,0.045198139,0.898774681,0.007467239,0.086757659,0.871211848,0.9922138,0.028332558,0.080784555
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,50,0.841462248,0.047633564,0.694794806,0.004864186,0.015338276,0.085247436,0.965534498,0.005726272,0.078478793
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,51,0.761079734,0.059000537,0.897777434,0.011015546,0.028331355,0.006645062,0.881854925,0.071000324,0.088411057
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,52,0.614724345,0.040983214,0.109093467,0.00543654,0.089839193,0.058680202,0.951355775,0.004588311,0.077863353
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,53,0.00980991,0.041605161,0.365053856,0.006497729,0.094978504,0.087453506,0.840768116,0.007062529,0.076649888
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,54,0.005790762,0.05394777,0.843395387,0.004311355,0.017543452,0.422397604,0.958087277,0.006428761,0.083623272
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,55,0.006926066,0.050081657,0.908701504,0.009835692,0.056080995,0.087832762,0.8685237,0.005522268,0.100936748
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,56,0.005992899,0.058781231,0.956955409,0.005377103,0.021747033,0.012539313,0.927645567,0.003538331,0.082913172
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,57,0.005950602,0.052366366,0.915469591,0.003677602,0.094436773,0.046895475,0.931369056,0.003069696,0.080632733
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,58,0.006543489,0.048348696,0.610978964,0.006275129,0.043903326,0.007820854,0.88808943,0.004872137,0.09576411
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,59,0.006835599,0.050907383,0.579810754,0.005073553,0.078734751,0.047030758,0.972361184,0.005078314,0.076884345
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,60,0.006864938,0.050623263,0.113684595,0.011400233,0.008810282,0.876443429,0.862367261,0.01476417,0.093361018
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,61,0.007317605,0.041543197,0.144546835,0.005254659,0.074944163,0.078317312,0.283514938,0.02035712,0.082197837
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,62,0.011045645,0.047531016,0.918096781,0.009642734,0.034006371,0.879666268,0.690877009,0.004897605,0.078861314
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,63,0.005790942,0.037323015,0.919107715,0.008594709,0.012335111,0.760234528,0.838433801,0.002866852,0.081381074
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,64,0.004666045,0.044490619,0.836585039,0.006293887,0.093136902,0.056681773,0.807494768,0.001272687,0.085304513
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,65,0.006675745,0.042626094,0.909538463,0.006094494,0.006126737,0.06865092,0.994274865,0.006766112,0.084688715
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,66,0.005222007,0.048034974,0.687656939,0.007916119,0.053811843,0.046097679,0.737405219,0.019297822,0.09001013
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,67,0.007180467,0.045411221,0.594004739,0.010574051,0.040126565,0.876443429,0.869232629,0.004858325,0.0904477
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,68,0.007590034,0.051175393,0.123053166,0.004331699,0.052427606,0.085205912,0.777474989,0.065994876,0.07428291
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,69,0.009115122,0.040283936,0.062238585,0.006954885,0.039714847,0.735463572,0.987749699,0.006524066,0.080765838
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,70,0.006888116,0.042828884,0.856631751,0.011123179,0.092682999,0.871903053,0.867984146,0.02096495,0.082295601
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,71,0.015120654,0.045996842,0.681215491,0.006042891,0.041143584,0.007273931,0.963028709,0.019165178,0.076252001
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,72,0.008188037,0.042940761,0.095151286,0.007341221,0.010016404,0.864813455,0.763984831,0.066399318,0.079682341
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,73,0.00770006,0.041451775,0.513419402,0.007875155,0.058591003,0.707050964,0.654758277,0.008838623,0.085080881
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,74,0.005340149,0.053286757,0.095000012,0.004420445,0.101423482,0.005022852,0.340933279,0.003125032,0.08704068
