bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,MichaelisMenten,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,1,0.513521744,0.074356575,0.881579052,0.001040365,0.008686459,0.00312141,0.90445698,0.00015051,0.098466907
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,2,0.000995116,0.047023695,0.584167403,0.000887874,0.009796049,0.007094432,0.855845729,8.67101E-05,0.099069476
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,3,0.000911628,0.065347765,0.75328133,0.000973431,0.001397899,0.006750488,0.979865594,0.000182628,0.124313408
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,4,0.000932765,0.085949621,0.96458787,0.000858579,0.008272548,0.005500782,0.582943457,0.000238565,0.089116932
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,5,0.000897151,0.066168525,0.969354295,0.001015521,0.007442846,0.000958044,0.485259743,0.000172141,0.13060535
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,6,0.000955533,0.067651562,0.594526932,0.001291843,0.007675331,0.005593138,0.878771841,0.0002494,0.099617049
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,7,0.000948126,0.080620765,0.992783028,0.000939938,0.008810468,0.004867713,0.555203225,7.90139E-05,0.13516111
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,8,0.001281217,0.071011951,0.954658507,0.001204403,0.009960304,0.000890836,0.477924667,0.00013835,0.110545832
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,9,0.000881285,0.066903856,0.902787574,0.001125005,0.008887831,0.007995195,0.900820667,5.77565E-05,0.114422401
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,10,0.000858122,0.065568704,0.933837879,0.000843571,0.005303532,0.005616298,0.849713592,0.000135907,0.098337056
