bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,MichaelisMenten,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,1,53.5043897,39.98617738,94.26532784,32.69542758,109.003797,101.8516911,103.4365845,25.74172041,46.65086104
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,2,39.44669433,39.09440919,91.3662494,37.81047319,72.02043472,109.4228502,87.34717333,26.77520228,52.13750384
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,3,42.55563391,37.27357766,78.82248978,41.96179801,61.33774755,54.93375123,123.1426434,24.47583123,54.07563743
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,4,32.3122807,48.3461921,97.01647162,34.55569728,76.30786642,131.8977389,67.63342028,35.28644007,46.35511473
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,5,42.77107419,39.80934594,55.92295314,36.3379152,122.9035644,147.1588496,68.13282595,32.96137907,46.86196973
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,6,42.84168568,41.82809599,59.90123338,35.79260064,65.46798152,98.10320379,49.34601563,21.85062243,52.59674138
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,7,38.53322617,38.52200553,57.04253718,32.69542758,69.49502739,79.13680739,56.33454347,24.44391933,47.58514049
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,8,36.82714171,38.07984115,72.8181473,40.3389532,127.9362442,133.3589033,71.81081219,23.50266289,46.84551204
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,9,36.48622731,38.19658603,50.88382844,36.8163609,74.75428325,73.87235574,58.03348661,31.80958372,46.31285517
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,10,36.01339248,39.68881939,76.41203148,28.9962347,57.1791251,68.64580631,92.99325952,28.39463715,47.529686
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,11,38.37219964,41.91269381,59.06079154,33.5806633,112.0907587,60.0584609,81.41789068,23.19568363,48.17070463
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,12,37.82839652,48.63355232,55.73566027,36.72025242,91.54171816,50.87965103,98.18805363,29.19543851,51.24796919
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,13,36.87706166,38.71532913,44.01182909,45.57980033,57.32458812,101.8027501,50.60920563,28.45323544,47.74038735
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,14,44.66135185,38.55138316,120.1247087,33.15562944,77.85465667,96.79540941,122.2905436,26.30083641,45.7086393
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,15,37.74335104,43.47407642,79.05525158,41.25713376,125.5819116,80.08876867,75.7663301,29.04775913,45.88907629
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,16,40.8005878,40.33133809,85.30295793,38.03732403,128.7434495,65.73245698,96.11766518,29.48014522,43.49176614
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,17,35.63262144,37.96703554,86.63909322,33.36928271,142.9632918,104.8730457,88.3514067,36.42743282,45.38641348
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,18,39.47950012,38.29270447,69.86156975,32.69542758,92.06526853,69.8794846,73.55131231,31.20504335,43.76872223
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,19,37.4574342,39.21470964,90.18890621,39.96404542,64.72308053,65.9573112,70.74400765,31.7367586,41.86084829
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,20,37.17524053,36.83668947,124.9728262,43.32445128,95.17861423,77.45196217,55.35057449,34.33175216,46.50944206
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,21,43.17887686,43.1563323,56.08396578,38.34465645,67.52258847,70.39200479,81.31067235,27.39353659,46.52982566
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,22,38.74313377,39.53151429,122.4511938,41.08040647,66.44247109,122.7391513,68.20126925,21.02308373,47.27960874
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,23,40.35596776,37.46245493,69.32396808,35.45172449,96.79179808,83.16795076,146.8089028,22.19491146,47.03087275
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,24,33.48890493,44.72789557,70.81607877,35.95965786,72.97471875,131.5208237,80.37924671,31.80115066,42.85476052
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,25,42.0131247,36.87177985,46.20850421,33.36928271,135.5670099,74.5723394,99.8334392,36.0540019,43.78733164
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,26,38.52152655,49.68594829,41.10405423,32.69542758,127.085826,100.8278402,47.43443099,37.46523119,47.09445797
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,27,41.81400856,38.90590925,51.47543642,30.16973887,73.96295538,119.9700733,64.77787735,35.40640872,48.60283122
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,28,51.15977683,41.51351752,72.28087884,41.80139856,96.57493164,98.83311435,61.7630781,31.48904836,48.85716169
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,29,43.70516624,34.57689443,68.52673684,31.7678271,56.89616062,123.446051,66.68145194,29.33555137,46.98788971
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,30,45.68028945,36.87187028,61.19957507,36.57790894,96.62532985,77.29047236,94.41939388,25.03036791,45.44685418
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,31,40.23733079,40.06513376,92.34292692,33.03497155,129.4047572,65.43086573,90.38541226,30.13946387,42.62451706
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,32,32.76783012,34.50401657,45.0732076,32.69542758,102.5042989,105.6098901,63.69746012,26.45820675,46.33305705
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,33,34.12972101,40.07127066,54.14090856,37.32009189,46.23198806,113.0865712,62.32257328,34.09360144,40.96551694
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,34,46.70717337,43.72524972,69.43070693,32.69542758,96.47377675,92.78098146,87.19277823,39.52756651,53.31938399
