bmr,index,model_average,Logistic,LogLogistic,Probit,LogProbit,QuantalLinear,Multistage2,Weibull,DichotomousHill
"BMR = 10%: Added, BMR: 0.1",1,3.634212725,3.555741874,1.973369629,1.921417562,22.13471316,70.13542452,8.849483058,5.916992206,1.577352694
"BMR = 10%: Added, BMR: 0.1",2,3.259957132,9.404541563,1.087851796,1.278505771,4.99470243,23.79524526,3.05097366,4.811056638,1.560249832
"BMR = 10%: Added, BMR: 0.1",3,3.82989938,3.105920691,4.618429622,2.135110522,5.725622892,3.8175271,19.95123578,6.459149984,0.306671157
"BMR = 10%: Added, BMR: 0.1",4,0.873191375,4.192300031,4.436353134,1.600722088,1.724507293,1.563666581,2.275344171,14.01725935,2.020098544
"BMR = 10%: Added, BMR: 0.1",5,3.012358521,4.081722202,6.886558175,0.831266565,0.975735915,6.590786533,1.338166799,11.32415138,0.022726859
"BMR = 10%: Added, BMR: 0.1",6,1.466269234,2.086655753,20.82175204,0.831266565,3.314670061,30.62641094,12.96476463,31.62836474,0.027651516
"BMR = 10%: Added, BMR: 0.1",7,1.596632146,2.815698149,0.492857376,1.946678598,3.524626221,26.04292703,3.495852722,1.016072838,0.406710437
"BMR = 10%: Added, BMR: 0.1",8,3.6439464,3.074198317,2.414867056,0.838378149,4.002577016,1.953865852,11.38099017,6.300468744,0.178299259
"BMR = 10%: Added, BMR: 0.1",9,2.572384227,0.886397566,0.719104835,1.029047702,2.419935798,2.215866761,6.228074349,3.087598363,0.256079405
"BMR = 10%: Added, BMR: 0.1",10,1.130237799,5.466347766,2.01577759,1.228060139,1.42490364,0.292556745,20.36719429,4.091451447,1.149440854
"BMR = 10%: Added, BMR: 0.1",11,1.445395211,2.246170552,2.403600629,0.912235312,4.587555069,2.644435746,3.388531064,3.733055643,0.143047368
"BMR = 10%: Added, BMR: 0.1",12,0.98656332,3.136691967,5.63447982,0.690870455,2.26680468,6.908802098,3.230051894,3.925226103,0.085029821
"BMR = 10%: Added, BMR: 0.1",13,1.623921736,3.136691967,2.227650328,1.150524774,4.81248833,8.006599836,0.733723326,16.22388583,0.290287205
"BMR = 10%: Added, BMR: 0.1",14,2.052964323,1.995346388,0.644518806,0.871588905,8.84005727,18.46205478,5.526191879,6.856299134,0.130850982
"BMR = 10%: Added, BMR: 0.1",15,8.975863057,0.960586262,2.694757823,1.649551057,1.98327998,3.14281847,5.967280684,1.785535136,0.130850982
"BMR = 10%: Added, BMR: 0.1",16,2.696029027,0.960586262,1.379865114,1.025977222,4.233521081,1.876072518,1.135607453,1.241662902,0.391998679
"BMR = 10%: Added, BMR: 0.1",17,8.791652025,1.226471979,1.964233287,1.486946847,2.980770406,3.572982708,0.551863456,1.781354866,0.258707975
"BMR = 10%: Added, BMR: 0.1",18,1.321146599,3.005359342,2.566199722,2.24411778,2.22840802,3.374494689,0.629552573,4.368215507,0.21080691
"BMR = 10%: Added, BMR: 0.1",19,1.11980686,3.500097001,1.238470293,4.318850601,1.822861807,3.215503014,1.284602459,4.431278854,0.125128666
"BMR = 10%: Added, BMR: 0.1",20,3.481365812,2.771605998,0.108362327,2.964449718,3.304488591,2.809810713,1.162713989,3.509287698,0.028260234
"BMR = 10%: Added, BMR: 0.1",21,1.348057191,13.53743523,1.377995716,0.490530495,1.153295666,10.85010221,0.540777462,11.30992071,0.131467109
"BMR = 10%: Added, BMR: 0.1",22,1.662057573,2.159175785,3.666850948,3.096863291,2.317217253,0.653874288,2.878736501,11.30992071,1.236883468
"BMR = 10%: Added, BMR: 0.1",23,2.915380718,1.417728893,0.624741063,2.636702768,1.660537458,73.20902818,12.23404574,1.201815285,0.557679789
"BMR = 10%: Added, BMR: 0.1",24,1.323051588,2.880528718,2.717835201,4.41506212,1.816560046,116.7573102,2.451788675,2.119528943,7.209311329
"BMR = 10%: Added, BMR: 0.1",25,4.855448258,5.062042982,10.00777395,9.623230421,1.273277697,1.674189927,1.247174636,2.265514673,20.62743211
"BMR = 10%: Added, BMR: 0.1",26,1.922808627,1.490586905,7.065660301,0.788411958,1.865405777,6.353027182,1.445225354,1.274578362,1.345402865
"BMR = 10%: Added, BMR: 0.1",27,49.16929363,3.398751199,27.37772222,0.99327861,0.429753959,6.353027182,2.876386675,2.760276136,0.014280756
"BMR = 10%: Added, BMR: 0.1",28,5.091855047,2.81363114,2.738832442,30.06266643,0.480241066,3.953286542,8.732532738,37.2044219,0.695093508
"BMR = 10%: Added, BMR: 0.1",29,1.762916258,1.108871283,8.117378839,21.16844302,0.680709336,0.944096248,85.07527147,47.08594247,0.82634104
"BMR = 10%: Added, BMR: 0.1",30,2.001959496,1.052597684,2.374789549,89.62780094,1.32286475,5.272500044,3.809237457,26.28150724,0.096643842
