bmr,index,model_average,Logistic,LogLogistic,Probit,LogProbit,QuantalLinear,Multistage2,Weibull,DichotomousHill
"BMR = 10%: Added, BMR: 0.1",1,1.487192324,2.683867689,2.333605341,1.590725718,2.489478841,0.510315274,2.322063263,2.691812815,0.165105559
"BMR = 10%: Added, BMR: 0.1",2,1.820421559,1.284607805,0.314378248,1.042905103,0.635907822,1.026074958,0.842276821,7.477672758,0.044344091
"BMR = 10%: Added, BMR: 0.1",3,25.12628228,2.639808955,1.516339386,0.814414122,1.343690562,3.444304842,2.438917129,2.972468653,1.58344793
"BMR = 10%: Added, BMR: 0.1",4,0.847366953,2.733660722,0.866650751,1.213842004,4.081987922,12.82236262,3.26921812,0.879803729,0.989098842
"BMR = 10%: Added, BMR: 0.1",5,3.056714754,1.195324775,0.941724766,1.352849747,1.157481178,23.8923034,0.408513887,1.296541855,0.558891169
"BMR = 10%: Added, BMR: 0.1",6,5.851948342,0.954108863,0.612816538,0.830728181,2.716244607,0.222142263,0.294159188,2.494690787,0.333818764
"BMR = 10%: Added, BMR: 0.1",7,5.476139807,0.901050054,0.323789173,0.830728181,1.057284222,0.414980478,1.116608386,0.936580363,0.513179924
"BMR = 10%: Added, BMR: 0.1",8,3.176048536,2.932224678,0.940188899,0.518482119,1.675488141,0.190969426,4.567833607,1.075501627,0.51317958
"BMR = 10%: Added, BMR: 0.1",9,1.957733993,6.797253515,0.702460423,1.728898535,9.120060675,0.190969426,2.497834626,5.367517631,1.076191328
"BMR = 10%: Added, BMR: 0.1",10,0.938154709,4.713579139,2.294518585,1.615246194,1.838561682,0.80421467,0.789703103,0.453735965,0.475093062
"BMR = 10%: Added, BMR: 0.1",11,1.644543197,1.631574169,1.691708401,0.778502993,2.290795737,0.565557738,1.833689058,0.546022751,0.068404008
"BMR = 10%: Added, BMR: 0.1",12,3.029188191,1.310587854,1.871055448,1.532740535,1.564751935,0.728141197,1.428591781,0.424387199,0.350681388
"BMR = 10%: Added, BMR: 0.1",13,1.244811838,4.817803723,4.40927168,1.349434357,5.218550286,0.72353304,1.252104496,2.028874505,0.088339015
"BMR = 10%: Added, BMR: 0.1",14,1.215240022,17.00876432,1.058296912,0.590379977,2.977025867,1.76392894,1.129919898,3.181977228,0.774019926
"BMR = 10%: Added, BMR: 0.1",15,2.56583056,43.58427681,1.906983422,1.509781478,1.268605619,0.949176632,1.566514986,1.365520857,0.74016542
"BMR = 10%: Added, BMR: 0.1",16,1.3494213,14.16187921,1.943758753,2.615320558,3.375218233,0.867695562,5.219456065,2.181216261,0.03799011
"BMR = 10%: Added, BMR: 0.1",17,1.793058015,4.882964257,0.252890172,0.596556752,2.650958627,0.978650196,2.358778347,10.72771109,1.199238103
"BMR = 10%: Added, BMR: 0.1",18,1.400835857,5.300823575,0.947288965,0.934773853,2.231556722,0.839564697,1.570724998,11.31142917,0.130374275
"BMR = 10%: Added, BMR: 0.1",19,0.811671604,1.53665363,1.956163969,0.729862416,2.659013173,1.05700521,0.762561387,5.129958083,1.571672708
"BMR = 10%: Added, BMR: 0.1",20,1.389294656,1.564699606,0.308507762,0.788738572,0.792676823,0.292212872,1.561759802,1.897721464,2.226666507
"BMR = 10%: Added, BMR: 0.1",21,2.156646453,0.916162017,1.186537181,2.091850056,0.633051247,1.84581239,1.515746554,0.315659904,6.818026709
"BMR = 10%: Added, BMR: 0.1",22,2.850280539,7.586797454,0.366599581,2.184716044,0.562731313,0.410531659,1.276344299,7.265518302,8.302407107
"BMR = 10%: Added, BMR: 0.1",23,2.603986135,3.32414703,0.258581985,2.426766161,1.05176959,0.599006277,3.360696934,6.270986752,0.584125013
"BMR = 10%: Added, BMR: 0.1",24,3.081549636,1.166500035,2.502802871,5.179114603,1.843416014,1.596925724,1.559567488,3.383670562,1.980613322
"BMR = 10%: Added, BMR: 0.1",25,1.076818046,2.188689677,5.569571546,6.15528858,0.958491528,1.097990317,2.597817359,2.251332321,0.006732666
"BMR = 10%: Added, BMR: 0.1",26,0.613121182,2.185638464,4.51425027,1.066442694,1.49585913,9.151978364,0.589548452,17.23540129,0.029494168
"BMR = 10%: Added, BMR: 0.1",27,2.678962073,2.798273912,0.427265561,1.222081675,0.514020364,18.14636451,0.687165198,9.941522734,0.049561538
"BMR = 10%: Added, BMR: 0.1",28,3.047519348,3.500529583,1.194087572,0.692484759,5.09583605,1.487660237,0.619652071,12.91151618,0.16423849
"BMR = 10%: Added, BMR: 0.1",29,1.317980258,3.976351132,2.022659961,0.659267331,2.164574014,5.985182623,2.387349277,0.553096183,0.312939553
"BMR = 10%: Added, BMR: 0.1",30,2.625125909,1.593150885,2.392826901,1.156379467,0.995455193,6.719457719,2.124855953,5.957400979,4.287205889
"BMR = 10%: Added, BMR: 0.1",31,2.228542759,0.849862343,0.879642397,1.326700624,1.035306827,1.970592928,1.493969664,1.541575233,2.144164837
"BMR = 10%: Added, BMR: 0.1",32,2.853048979,1.535932435,10.65933533,2.173041642,1.281939007,1.482560305,1.745479572,3.90270025,0.898035712
"BMR = 10%: Added, BMR: 0.1",33,1.506859231,1.158111977,0.221861002,0.77597297,3.436845825,0.5060683,1.196343853,1.116441165,0.084871077
"BMR = 10%: Added, BMR: 0.1",34,1.098067679,0.608151873,1.12750616,0.538531865,0.909317244,0.864578505,1.942107385,1.383786265,0.401240292
"BMR = 10%: Added, BMR: 0.1",35,2.571167553,5.031527982,0.920629577,1.571610369,1.347598161,1.06031078,2.878661923,2.045246441,0.416597072
"BMR = 10%: Added, BMR: 0.1",36,1.508174186,0.910742029,1.701322683,1.017008933,1.100684026,1.260067209,2.500000634,1.154019893,0.069399074
"BMR = 10%: Added, BMR: 0.1",37,1.527822278,0.910742029,0.362803463,0.688791576,1.622409508,0.972738465,1.608825275,2.84617899,0.23693473
"BMR = 10%: Added, BMR: 0.1",38,0.568614015,2.937095657,1.677309686,1.54455282,0.797910609,4.865177878,0.491642415,0.66315005,0.053972027
"BMR = 10%: Added, BMR: 0.1",39,2.832844801,4.426884065,1.18819887,1.272092161,2.417706479,4.118152612,4.370017998,1.021293606,0.143330273
"BMR = 10%: Added, BMR: 0.1",40,2.209731219,4.69740198,0.530638579,1.316857575,2.343590644,3.495965816,1.385339699,0.908177315,1.582670684
