NAME,DESCRIPTION,SEQAPASS,GENE_SYMBOLS,GENE_NAMES,GENE_URLS,AOP,EVENT,HIT_CALL,TOP,SCALED_TOP,AC50,LOGAC50,BMAD,MAXMED,MAXMED_UNITS,MAXMEDCONC,CUTOFF,FLAGS,MODLACC,MODLAC10,MODLACB,STOCK_CONCENTRATION,INTENDED_TARGET_FAMILY
ACEA_ER_80hr,"Data from the assay component ACEA_ER_80hr was analyzed into 2 assay endpoints. 
This assay endpoint, ACEA_ER_80hr_Positive, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of growth reporter, measures of the cells for gain-of-signal activity can be used to understand the signaling at the pathway-level as they relate to the gene ESR1. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""nuclear receptor"" intended target family, where the subfamily is ""steroidal"".",NP_000116.2, , , ,,,Active,30.711617230750583,1.204755417284308,24.88831944633119,1.3959955723890012,8.497331156775092,30.71059627437014,percent_activity,2,25.491993470325276,"[""Less than 50% efficacy"",""Only highest conc above baseline, active""]",1.482092113545231,1.482092113545231,1.276713920007547,20,nuclear receptor
ATG_PXRE_CIS_up,"Data from the assay component ATG_PXRE_CIS was analyzed into 1 assay endpoint. 
This assay endpoint, ATG_PXRE_CIS_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene NR1I2. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is non-steroidal.",NP_071285.1, , , ,"[8,11,60,8,11,60]",,Active,0.6755941982895727,1.0137891411048692,78.068581896996,1.8924762905482024,0.13328100901796647,0.6752291553438148,log2_fold_induction,2.30102999566398,0.6664050450898323,"[""Hit-call potentially confounded by overfitting"",""Borderline active"",""Only one conc above baseline, active""]",2.1250374683451825,1.9126480994785817,1.7731942690099132,20,nuclear receptor
ATG_RXRb_TRANS_up,"Data from the assay component ATG_RXRb_TRANS was analyzed into 1 assay endpoint. This assay endpoint, ATG_RXRb_TRANS_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene RXRB. Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is non-steroidal.",NP_068811.1, , , ,,,Active,1.1026853567543626,1.1100160172968774,72.4201336311283,1.8598593218508919,0.19867917932204862,1.102353777493015,log2_fold_induction,2.30102999566398,0.9933958966102431,"[""Borderline active"",""Hit-call potentially confounded by overfitting"",""Only one conc above baseline, active""]",1.9796773362246236,1.8686802515189427,1.740579003947365,20,nuclear receptor
CCTE_Shafer_MEA_dev_AB_dn,"Data from the assay component CCTE_Shafer_MEA_dev_AB was analyzed into 1 assay endpoint. This assay endpoint, CCTE_Shafer_MEA_dev_AB_dn, was analyzed in the negative analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of viability reporter, loss-of-signal activity can be used to understand cell viability.",, , , ,,,Active,20.3397621778911,1.0427661068530067,0.060558644243302436,-1.21782385616722,6.50186142549743,30.9498267040766,percent_activity,1.30102999566398,19.5055842764923,"[""Less than 50% efficacy"",""Noisy data"",""Borderline active""]",-1.04671131352602,-1.04671131352602,-1.33710417488823,20,cell cycle
CCTE_Shafer_MEA_dev_AB_dn,"Data from the assay component CCTE_Shafer_MEA_dev_AB was analyzed into 1 assay endpoint. This assay endpoint, CCTE_Shafer_MEA_dev_AB_dn, was analyzed in the negative analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of viability reporter, loss-of-signal activity can be used to understand cell viability.",, , , ,,,Active,20.3397621778911,1.0427661068530067,0.060558644243302436,-1.21782385616722,6.50186142549743,30.9498267040766,percent_activity,1.30102999566398,19.5055842764923,"[""Less than 50% efficacy"",""Noisy data"",""Borderline active""]",-1.04671131352602,-1.04671131352602,-1.33710417488823,20,cell cycle
LTEA_HepaRG_CDKN1A_dn,Change in transcription factor expression relative to control (delta-delta-ct) for HepaRG cell cultures in an induction preparation. The adherent cells have some metabolic capability. Expression measured by inducible reporter assay using Fluidigm qRT-PCR to monitor. Suffix _dn indicates curve fitting for decrease in expression (down).,NP_000380.1, , , ,,,Active,0.868679352530139,2.2310176008490354,0.6374020262477661,-0.195586560274233,0.129788211471984,0.49838073918104,log2_fold_induction,0,0.389364634415952,"[""Hit-call potentially confounded by overfitting"",""Less than 50% efficacy"",""Hit-call potentially confounded by overfitting"",""Less than 50% efficacy""]",-0.250451918213874,-0.250451918213874,-0.775604115730194,20,cell cycle
LTEA_HepaRG_CYP1A1_up,Change in transcription factor expression relative to control (delta-delta-ct) for HepaRG cell cultures in an induction preparation. The adherent cells have some metabolic capability. Expression measured by inducible reporter assay using Fluidigm qRT-PCR to monitor. Suffix _up indicates curve fitting for increase in expression (induction).,NP_000490.1, , , ,"[57,57]",,Active,2.23650207489597,2.4833999770035993,38.41869272505801,1.58454258301519,0.300193564683644,2.23546750585857,log2_fold_induction,2,0.900580694050932,"[""Only highest conc above baseline, active"",""Only highest conc above baseline, active""]",1.56313529947936,1.56313529947936,1.46526226909603,20,cyp
LTEA_HepaRG_CYP1A2_up,Change in transcription factor expression relative to control (delta-delta-ct) for HepaRG cell cultures in an induction preparation. The adherent cells have some metabolic capability. Expression measured by inducible reporter assay using Fluidigm qRT-PCR to monitor. Suffix _up indicates curve fitting for increase in expression (induction).,NP_000752.2, , , ,"[131,131]",,Active,1.24297363443252,1.3090921970662928,83.26096412303947,1.92044143550694,0.316497604782422,1.0014784152537,log2_fold_induction,2,0.949492814347266,"[""Borderline active"",""Only highest conc above baseline, active"",""Borderline active"",""Only highest conc above baseline, active""]",1.98611309205391,1.98611309205391,1.79754436414555,20,cyp
LTEA_HepaRG_CYP2B6_up,Change in transcription factor expression relative to control (delta-delta-ct) for HepaRG cell cultures in an induction preparation. The adherent cells have some metabolic capability. Expression measured by inducible reporter assay using Fluidigm qRT-PCR to monitor. Suffix _up indicates curve fitting for increase in expression (induction).,NP_000758.1, , , ,,,Active,1.84261352224975,2.444251046748295,67.36384405891376,1.82842686183394,0.251285361310856,1.22539422222541,log2_fold_induction,2,0.753856083932568,"[""Only highest conc above baseline, active"",""Only highest conc above baseline, active""]",1.7348409151019,1.7348409151019,1.26902957210234,20,cyp
LTEA_HepaRG_CYP2E1_dn,Change in transcription factor expression relative to control (delta-delta-ct) for HepaRG cell cultures in an induction preparation. The adherent cells have some metabolic capability. Expression measured by inducible reporter assay using Fluidigm qRT-PCR to monitor. Suffix _dn indicates curve fitting for decrease in expression (down).,NP_000764.1, , , ,,,Active,0.857581239060632,1.7906285869985954,0.5841084913010053,-0.233506480289383,0.159642493756543,0.565686769309372,log2_fold_induction,0.477121254719662,0.478927481269629,"[""Less than 50% efficacy"",""Borderline active"",""Less than 50% efficacy"",""Borderline active""]",-0.201828962617359,-0.201828962617359,-0.529779915094152,20,cyp
