NAME,DESCRIPTION,SEQAPASS,GENE_SYMBOLS,GENE_NAMES,GENE_URLS,AOP,EVENT,HIT_CALL,TOP,SCALED_TOP,AC50,LOGAC50,BMAD,MAXMED,MAXMED_UNITS,MAXMEDCONC,CUTOFF,FLAGS,MODLACC,MODLAC10,MODLACB,STOCK_CONCENTRATION,INTENDED_TARGET_FAMILY
ACEA_AR_agonist_AUC_viability,"Data from the assay component ACEA_AR_AUC_viability was analyzed  in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of growth reporter, loss-of-signal activity can be used to understand changes in the viability. 
Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves a viability function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cell cycle"" intended target family, where the subfamily is ""cytotoxicity"".",, , , ,,,Active,126.728262812403,4.716450631177394,12.266569373293223,1.08872311932265,8.95647120560566,126.723226955911,percent_activity,1.69897000433602,26.869413616817,"[""Only highest conc above baseline, active"",""Only highest conc above baseline, active""]",1.01745690597845,1.01745690597845,0.969442525567637,10.199999809265137,cell cycle
ACEA_AR_antagonist_80hr,"Data from the assay component ACEA_AR_antagonist_80hr was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of growth reporter, measures of the cells for loss-of-signal activity can be used to understand the signaling at the pathway-level as they relate to the gene AR. Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""nuclear receptor"" intended target family, where the subfamily is ""steroidal"".",, , , ,,,Active,3.08563410607327,8.429584237301604,21.213877585035213,1.32662005842076,0.122016065451132,2.85986524216955,log2_fold_induction,1.69897000433602,0.366048196353396,"[""Only highest conc above baseline, active"",""Only highest conc above baseline, active""]",1.03251455080914,1.03251455080914,1.00439340735198,10.199999809265137,nuclear receptor
ACEA_AR_antagonist_AUC_viability,"Data from the assay component ACEA_AR_antagonist_AUC_viability was analyzed  in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of growth reporter, loss-of-signal activity can be used to understand changes in the viability. 
Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves a viability function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cell cycle"" intended target family, where the subfamily is ""cytotoxicity"".",, , , ,,,Active,136.506344134523,4.715117450248716,21.39013161208714,1.33021345676542,9.65026114229828,118.529903731384,percent_activity,1.69897000433602,28.9507834268948,"[""Only highest conc above baseline, active"",""Only highest conc above baseline, active""]",1.07047149061399,1.07047149061399,0.895355977423959,10.199999809265137,cell cycle
APR_HepG2_CellCycleArrest_24h_dn,"Data from the assay component APR_HepG2_CellCycleArrest_24hr was analyzed into 2 assay endpoints. 
This assay endpoint, APR_HepG2_CellCycleArrest_24h_dn, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of morphology reporter, measures of all nuclear dna for loss-of-signal activity can be used to understand the signaling at the pathway-level as they relate to the gene . 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cell cycle"" intended target family, where the subfamily is ""proliferation"".",, , , ,,,Active,1.02770986934028,1.458478343872151,82.17532360608014,1.91474142300688,0.070464527201123,0.856424972654219,log2_fold_induction,2,0.70464527201123,"[""Only highest conc above baseline, active"",""Only highest conc above baseline, active""]",1.95741909004689,1.84080217178763,1.79449604977182,10.199999809265137,cell cycle
APR_HepG2_CellCycleArrest_72h_dn,"Data from the assay component APR_HepG2_CellCycleArrest_72hr was analyzed into 2 assay endpoints. 
This assay endpoint, APR_HepG2_CellCycleArrest_72h_dn, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of morphology reporter, measures of all nuclear dna for loss-of-signal activity can be used to understand the signaling at the pathway-level as they relate to the gene . 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cell cycle"" intended target family, where the subfamily is ""proliferation"".",, , , ,,,Active,2.29973011073503,2.4800955148118216,55.22997835332492,1.74217487300761,0.0927274815425616,2.10740843190227,log2_fold_induction,2,0.927274815425616,,1.6999443138819,1.52856557546834,1.50552999876409,10.199999809265137,cell cycle
APR_HepG2_CellLoss_24h_dn,"Data from the assay component APR_HepG2_CellLoss_24hr was analyzed into 2 assay endpoints. 
This assay endpoint, APR_HepG2_CellLoss_24h_dn, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of viability reporter, measures of all nuclear dna for loss-of-signal activity can be used to understand the viability at the cellular-level. 
Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves a viability function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cell cycle"" intended target family, where the subfamily is ""cytotoxicity"".",, , , ,,,Active,0.780274314183844,1.178623412344048,50.66637644732416,1.7047198455734,0.066202173316075,0.740387158006228,log2_fold_induction,2,0.66202173316075,"[""Borderline active"",""Borderline active""]",1.87900333528815,1.5959923272122,1.48240030597005,10.199999809265137,cell cycle
APR_HepG2_CellLoss_72h_dn,"Data from the assay component APR_HepG2_CellLoss_72hr was analyzed into 2 assay endpoints. 
This assay endpoint, APR_HepG2_CellLoss_72h_dn, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of viability reporter, measures of all nuclear dna for loss-of-signal activity can be used to understand the viability at the cellular-level. 
Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves a viability function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cell cycle"" intended target family, where the subfamily is ""cytotoxicity"".",, , , ,,,Active,1.86871839513006,2.1058844343493424,52.43008409954252,1.71958055433661,0.0887379366431112,1.77810506976425,log2_fold_induction,2,0.887379366431112,,1.71009741356478,1.55044756865388,1.51255084072644,10.199999809265137,cell cycle
ATG_Ahr_CIS_up,"Data from the assay component ATG_Ahr_CIS was analyzed into 1 assay endpoint. 
This assay endpoint, ATG_Ahr_CIS_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene AHR. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the dna binding intended target family, where the subfamily is basic helix-loop-helix protein.",NP_001612.1, , , ,"[131,21,57,310,41,150,57,131,21,41,150,310]",[165],Active,4.3047351438887125,4.345247010286112,5.479062248966094,0.7387062345885528,0.19813534805724511,4.518734899611112,log2_fold_induction,2,0.9906767402862255,,0.5682264821280275,0.4801626816866823,0.42850356143812623,10.199999809265137,dna binding
ATG_AP_1_CIS_up,"Data from the assay component ATG_AP_1_CIS was analyzed into 1 assay endpoint. 
This assay endpoint, ATG_AP_1_CIS_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene FOS and JUN. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the dna binding intended target family, where the subfamily is basic leucine zipper.","NP_005243.1|NP_002219.1", , , ,,,Active,1.6099521821010634,2.684174546225883,16.0670625788065,1.2059364852000498,0.11995882938125292,1.3361620393330798,log2_fold_induction,1.47712125471966,0.5997941469062646,,1.116262482809302,0.9917274530792438,0.8279522921268772,10.199999809265137,dna binding
ATG_AP_2_CIS_dn,ATG_AP_2_CIS_dn was not developed or optimized to detect loss of signal. Use data with caution.,"NP_003211.1|NP_003212.2|NP_758438.2", , , ,,,Active,0.326208402716255,1.0225911448071276,17.68400734704153,1.247580686666936,0.06380035742980772,0.3824358536135948,log2_fold_induction,1.47712125471966,0.3190017871490386,"[""Less than 50% efficacy"",""Borderline active"",""Hit-call potentially confounded by overfitting""]",1.4533384073516356,1.266609543973276,1.128300372635925,10.199999809265137,dna binding
