sex,endpoint,dose,N,mean,SD,chemical
male,bw,0,9,471,54,123tcb
male,bw,0.08,10,447,37,123tcb
male,bw,0.78,10,425,43,123tcb
male,bw,7.7,10,458,47,123tcb
male,bw,78,10,423,42,123tcb
male,chole,0,10,168,24.9,acenaphthene
male,chole,175,10,160,36.8,acenaphthene
male,chole,350,10,202,42.6,acenaphthene
male,chole,700,10,252,45.8,acenaphthene
female,chole,0,10,105,33.2,acenaphthene
female,chole,175,10,136,29.8,acenaphthene
female,chole,350,10,155,28.4,acenaphthene
female,chole,700,7,232,51.3,acenaphthene
male,liver weight,0,20,4.172,0.29,acenaphthene
male,liver weight,175,20,4.646,0.291,acenaphthene
male,liver weight,350,20,4.86,0.275,acenaphthene
male,liver weight,700,19,5.47,0.28,acenaphthene
female,liver weight,0,20,4.273,0.388,acenaphthene
female,liver weight,175,20,4.644,0.339,acenaphthene
female,liver weight,350,20,5.092,0.476,acenaphthene
female,liver weight,700,17,5.856,0.409,acenaphthene
male,Che,0,4,2.87,0.36,azinphos-methyl
male,Che,0.2,4,3.01,0.84,azinphos-methyl
male,Che,0.69,4,2.1,0.45,azinphos-methyl
male,Che,3.8,4,0.41,0.15,azinphos-methyl
female,Che,0,4,3.36,1.72,azinphos-methyl
female,Che,0.16,4,2.87,0.73,azinphos-methyl
female,Che,0.78,4,2.2,0.5,azinphos-methyl
female,Che,4.3,4,0.47,0.16,azinphos-methyl
male,plasma,0,7,0.682222222,0.115555556,chlopyrifos
male,plasma,0.01,7,0.691111111,0.115555556,chlopyrifos
male,plasma,0.03,7,0.62,0.195555556,chlopyrifos
male,plasma,0.1,7,0.691111111,0.164444444,chlopyrifos
male,plasma,1,7,0.508888889,0.057777778,chlopyrifos
male,plasma,3,7,0.455555556,0.035555556,chlopyrifos
female,plasma,0,7,1.87032967,0.896703297,chlopyrifos
female,plasma,0.01,7,1.448351648,0.501098901,chlopyrifos
female,plasma,0.03,7,1.237362637,0.334065934,chlopyrifos
female,plasma,0.1,7,1.465934066,0.545054945,chlopyrifos
female,plasma,1,7,0.832967033,0.123076923,chlopyrifos
female,plasma,3,7,0.604395604,0.123076923,chlopyrifos
male,rbc,0,7,1.716814159,0.300884956,chlopyrifos
male,rbc,0.01,7,2.017699115,0.424778761,chlopyrifos
male,rbc,0.03,7,1.867256637,0.230088496,chlopyrifos
male,rbc,0.1,7,1.672566372,0.345132743,chlopyrifos
male,rbc,1,7,0.442477876,0.212389381,chlopyrifos
male,rbc,3,7,0.283185841,0.123893805,chlopyrifos
female,rbc,0,7,1.548672566,0.150442478,chlopyrifos
female,rbc,0.01,7,1.663716814,0.389380531,chlopyrifos
female,rbc,0.03,7,1.637168142,0.238938053,chlopyrifos
female,rbc,0.1,7,1.663716814,0.159292035,chlopyrifos
female,rbc,1,7,0.504424779,0.159292035,chlopyrifos
female,rbc,3,7,0.283185841,0.079646018,chlopyrifos
male,brain,0,7,12.17182131,2.213058419,chlopyrifos
male,brain,0.01,7,14.04810997,1.683848797,chlopyrifos
male,brain,0.03,7,15.15463918,0.865979381,chlopyrifos
male,brain,0.1,7,12.4604811,0.817869416,chlopyrifos
male,brain,1,7,10.34364261,1.298969072,chlopyrifos
male,brain,3,7,7.457044674,0.962199313,chlopyrifos
female,brain,0,7,13.61245675,1.114186851,chlopyrifos
female,brain,0.01,7,13.95155709,0.532871972,chlopyrifos
female,brain,0.03,7,13.2733564,0.726643599,chlopyrifos
female,brain,0.1,7,13.85467128,0.532871972,chlopyrifos
female,brain,1,7,12.93425606,1.162629758,chlopyrifos
female,brain,3,7,7.799307958,1.598615917,chlopyrifos
male,cortisol,0,6,7.77,1.93,dicofol
male,cortisol,0.12,6,8.38,1.13,dicofol
male,cortisol,0.82,6,6.88,1.85,dicofol
